"title","number","date","keywords","link"
"Weltbühne: Frieden in Afghanistan? |","1992.17.3862","1992-04-17","DIE ZEIT, Weltbühne, Frieden, Afghanistan, Atheismus, Gulbuddin Hekmatyar, Mohammed, Pakistan, Vereinte Nationen, Kabul, Hindukusch, Moskau, Wien","http://www.zeit.de/1992/17/frieden-in-afghanistan"
"Karlsruhe springt über den eigenen Schatten: Der Staat als Futterkrippe |","1992.17.3863","1992-04-17","DIE ZEIT, Karlsruhe springt über den eigenen Schatten, Grüne, Karlsruhe, Ernst-Wolfgang Böckenförde, Bundesverfassungsgericht, Ernst Gottfried Mahrenholz, Parteispende, Spendengeld","http://www.zeit.de/1992/17/der-staat-als-futterkrippe"
"Bürgerkrieg im Punjab: Terror in der Nacht |","1992.17.3864","1992-04-17","DIE ZEIT, Bürgerkrieg im Punjab, Bürgerkrieg, Indien, Kommunistische Partei, Minderheitsregierung, Sowjetunion, Bihar, Delhi","http://www.zeit.de/1992/17/terror-in-der-nacht"
"Bonner Bühne: Jede Menge Putz |","1992.17.3865","1992-04-17","DIE ZEIT, Bonner Bühne, Bühne, Helmut Kohl, Helmut Schmidt, Michail Gorbatschow, ZDF, Medien, Arbeitszimmer, Bilderbuch, DDR, Golfkrieg, Jugendbuch, Kanzleramt, Václav Havel, Berlin, Bonn, Osteuropa","http://www.zeit.de/1992/17/jede-menge-putz"
"Noch sechs Wochen bleiben bis zum Erdgipfel in Rio. Die Experten aller Länder produzierten 24 Millionen Seiten Papier – und setzten die Zukunft des Planeten in Klammern.: Das Glashaus im Treibhaus |","1992.17.3866","1992-04-17","DIE ZEIT, Noch sechs Wochen bleiben bis zum Erdgipfel in Rio. Die Experten aller Länder produzierten 24 Millionen Seiten Papier – und setzten die Zukunft des Planeten in Klammern., George W.  Bush, Entwicklungsland, Planet, Weltbank, Japan, Planeten, Tansania, Washington D.C., New York, Osteuropa, Berlin, Stockholm","http://www.zeit.de/1992/17/das-glashaus-im-treibhaus"
"Nachruf: Zum Tode von Martin Hirsch: Richter mit Leidenschaft |","1992.17.3867","1992-04-17","DIE ZEIT, Nachruf: Zum Tode von Martin Hirsch, Richter, Kurt Georg Kiesinger, Ernst Benda, Arnold Zweig, Flüchtling, Grundgesetz, Skandal, Strafvollzug, Vizepräsident, MIT, Karlsruhe, Bayern, Berlin, Bonn","http://www.zeit.de/1992/17/richter-mit-leidenschaft"
"Wolfgang Ebert: Neue Gangart |","1992.17.3868","1992-04-17","DIE ZEIT, Wolfgang Ebert, Oskar Lafontaine, Trainer, Herz, Natur, Wolfgang Ebert, Bonn, Kiel, München, Oder, Stuttgart","http://www.zeit.de/1992/17/neue-gangart"
"Rückblick: Urteil gegen Manuel Noriega: Herzliche Geschäfte |","1992.17.3869","1992-04-17","DIE ZEIT, Rückblick: Urteil gegen Manuel Noriega, Dollar, Drogenhandel, Richter, Sonne, Wunder, Zeugenschutzprogramm, Florida, Miami","http://www.zeit.de/1992/17/herzliche-geschaefte"
"Worte der Woche |","1992.17.3870","1992-04-17","DIE ZEIT, , CDU, George W.  Bush, Margaret Thatcher, Norbert Blüm, RAF, Heide Simonis, Heiner Geißler, John Major, Manfred Stolpe, Nelson Mandela, ANC, Gesundheitssystem, Manuel Noriega, Monika Wulf-Mathies, Premierminister, Rainer Eppelmann, Rote-Armee-Fraktion, Streik, Wiederbelebung, ÖTV","http://www.zeit.de/1992/17/worte-der-woche"
"Schießwütige Schinder |","1992.17.3871","1992-04-17","DIE ZEIT, , Bürgerkrieg, Chaos, Rakete, Soldat, Umwelt, Waffenruhe, Bosnien und Herzegowina, Jugoslawien, Belgrad, Sarajevo","http://www.zeit.de/1992/17/schiesswuetige-schinder"
"Wahlsieg der Konservativen in Großbritannien: Graue Maus wird Supermann |","1992.17.3872","1992-04-17","DIE ZEIT, Wahlsieg der Konservativen in Großbritannien, Großbritannien, John Major, Neil Kinnock, Chris Patten, Michael Heseltine, Labour Partei, Ralf Dahrendorf, Robert Harris, England, London, Europa","http://www.zeit.de/1992/17/graue-maus-wird-supermann"
