"title","number","date","keywords","link"
"„Das ist der Sinn unserer Sisyphusarbeit“ |","1990.31.925","1990-07-27","DIE ZEIT, , Christian Wernicke, DDR, Datenschutz, Innenminister, Parlament, Volkskammer, Bonn, Mitteleuropa, Rostock","http://www.zeit.de/1990/31/das-ist-der-sinn-unserer-sisyphusarbeit"
"Rückblick: Amerikas höchstes Gericht: Ruck nach rechts? |","1990.31.926","1990-07-27","DIE ZEIT, Rückblick: Amerikas höchstes Gericht, George W.  Bush, Gericht, Bundesgericht, Debatte, Epoche, Präsident, Richter, Schwangerschaftsabbruch, Sozialstaat, USA, Verfassung, Verfassungsrecht","http://www.zeit.de/1990/31/ruck-nach-rechts"
"Bonner Bühne: Bauen bis auf weiteres |","1990.31.927","1990-07-27","DIE ZEIT, Bonner Bühne, Bühne, CDU, SPD, Theo Waigel, Sozialpolitik, Kindergeld, Schizophrenie, Sozialstaat, Volkskammer, Bauen, Bundesrepublik Deutschland, Bonn, Berlin, Ost-Berlin, Rhein","http://www.zeit.de/1990/31/bauen-bis-auf-weiteres"
"Nachlese: Kuba und Spanien: Ende einer Freundschaft |","1990.31.928","1990-07-27","DIE ZEIT, Nachlese: Kuba und Spanien, Fidel Castro, Spanien, Freundschaft, Kuba, Außenminister, Diplomat, Felipe González, Flüchtling, Konflikt, Ministerpräsident, Regierung, Albanien, Italien, Schweiz, Europa, Havanna, Madrid","http://www.zeit.de/1990/31/ende-einer-freundschaft"
"Worte der Woche |","1990.31.929","1990-07-27","DIE ZEIT, , Helmut Kohl, Lothar de Maizière, Nelson Mandela, Otto Graf Lambsdorff, Rudolf Augstein, Außenminister, Bundeskanzler, David Owen, Dieter Schröder, Freundschaft, Gestapo, Jegor Ligatschow, Markus Meckel, Rainer Eppelmann, Roland Dumas, Steffen Reiche, Wiedervereinigung, Bonn, Brandenburg, Europa","http://www.zeit.de/1990/31/worte-der-woche"
"Land der verlorenen Hoffnung |","1990.31.930","1990-07-27","DIE ZEIT, , Rudi Dutschke, DDR, Egon Krenz, Hoffnung, Ungarn, Dresden, Sachsen","http://www.zeit.de/1990/31/land-der-verlorenen-hoffnung"
"Zeitspiegel |","1990.31.931","1990-07-27","DIE ZEIT, , Nato, Dick Cheney, Band, Essay, Kreml, Lyrik, Prosa, Suhrkamp-Verlag, US-Dollar, Verteidigungsminister, Übersetzung, Bolivien, Peru, Lima, Osteuropa","http://www.zeit.de/1990/31/zeitspiegel"
"Amerikas Politik in Südostasien: Eine Chance für Kambodscha |","1990.31.932","1990-07-27","DIE ZEIT, Amerikas Politik in Südostasien, George W.  Bush, James Baker, Jimmy Carter, Norodom Sihanouk, Kambodscha, Südostasien, Vietnam, Eduard Schewardnadse, Khmer, USA, China, Washington D.C., Hanoi, Phnom Penh, Moskau, Peking","http://www.zeit.de/1990/31/eine-chance-fuer-kambodscha"
"Denken an Deutschland: Versunkene Nischen |","1990.31.933","1990-07-27","DIE ZEIT, Denken an Deutschland, Autobahn, Biografie, DDR, Selbstbewusstsein, Sozialismus, Wiedervereinigung, Tschechoslowakei, Auschwitz, Berlin, Halle an der Saale, Nürnberg","http://www.zeit.de/1990/31/versunkene-nischen"
"Allein gegen ein gnadenloses Regime |","1990.31.934","1990-07-27","DIE ZEIT, , Walter Ulbricht, DDR, Peter-Michael Diestel, Mexiko, Chemnitz, Frankfurt an der Oder, Hannover, München, Osteuropa","http://www.zeit.de/1990/31/allein-gegen-ein-gnadenloses-regime"
"Wirtschaftskriminalität: Fette Beute für Piraten |","1990.31.935","1990-07-27","DIE ZEIT, Wirtschaftskriminalität, Bundesjustizministerium, Bundeskriminalamt, DDR, Lotus, Produktpiraterie, Ruhrgebiet, Urheberrecht, Wirtschaftskriminalität, Saudi Arabien, Piraterie, Düsseldorf, Frankfurt am Main, Osteuropa","http://www.zeit.de/1990/31/fette-beute-fuer-piraten"
