"title","number","date","keywords","link"
"Wieder im Kino: „Frühstück bei Tiffany“ |","1990.3.43","1990-01-12","DIE ZEIT","http://www.zeit.de/1990/03/bezaubernde-audrey"
"Michail Gorbatschow gerät unter Druck – in Moskau und in Litauen: Die Generäle zürnen dem Kreml-Chef |","1990.3.44","1990-01-12","DIE ZEIT, Michail Gorbatschow gerät unter Druck – in Moskau und in Litauen, Moskau, Litauen, Militär, Michail Gorbatschow, Kasachstan, Wehrdienst, Russland, Usbekistan, Kaukasus, Baltikum, Osteuropa, Tbilissi","http://www.zeit.de/1990/03/die-generaele-zuernen-dem-kreml-chef"
"„Türken in die Türkei!“ |","1990.3.45","1990-01-12","DIE ZEIT, , Bulgarien, Kommunistische Partei, Minderheit, Türkei, Sofia, Ankara, Europa, Istanbul","http://www.zeit.de/1990/03/tuerken-in-die-tuerkei"
"Wolfgang Ebert: Aufgeschnappt |","1990.3.46","1990-01-12","DIE ZEIT, Wolfgang Ebert, CDU, DKP, Václav Havel, Willy Brandt, Theater, Arbeitslose, Eigentumswohnung, Jagd, Jahreszeit, Kapitalismus, Obdachlose, Sozialismus, Urlaub, Vermögen, Vertreibung, Rumänien, Wolfgang Ebert, Wandlitz, Washington D.C","http://www.zeit.de/1990/03/aufgeschnappt"
"Der Volkszorn wächst |","1990.3.47","1990-01-12","DIE ZEIT, , SED, Stefan Heym, Adolf Endler, DDR, DEFA, Demonstration, Enteignung, Forum, Günter de Bruyn, Klaus Schlesinger, Konrad Weiß, Rolf Schneider, Waffenhandel, Babelsberg, Leipzig, Magdeburg, Potsdam, Rostock","http://www.zeit.de/1990/03/der-volkszorn-waechst"
"Worte der Woche |","1990.3.48","1990-01-12","DIE ZEIT, , George W.  Bush, Hans-Dietrich Genscher, Helmut Kohl, Margaret Thatcher, François Mitterrand, Gregor Gysi, Aristoteles, Außenminister, Bibliothek, Diktatur, Eduard Schewardnadse, Komödie, Lateinamerika, Premierminister, Richard Cheney, Securitate, Verteidigungsminister, Wetter, Panama, USA, Bukarest","http://www.zeit.de/1990/03/worte-der-woche"
"Korrektur nach 33 Jahren: Mit knappen Worten kassiert |","1990.3.49","1990-01-12","DIE ZEIT, Korrektur nach 33 Jahren, Wolfgang Harich, SPD, Aufbau-Verlag, Walter Ulbricht, DDR, Gericht, Hilde Benjamin, Kommunistische Partei, Rechtsanwalt, England, MIT","http://www.zeit.de/1990/03/mit-knappen-worten-kassiert"
"Aus- und Übersiedler: Angekommen – auch angenommen? |","1990.3.50","1990-01-12","DIE ZEIT, Aus- und Übersiedler, Bundesregierung, Helmut Kohl, Aussiedler, Bonner Innenministerium, Christian Wernicke, DDR, Fremdenfeindlichkeit, Ruhrgebiet, Sprachkurs, Polen, Rumänien, Sowjetunion, Österreich, Bonn, Bayern, Berlin, Nordrhein-Westfalen, Prag, Sachsen, Wuppertal","http://www.zeit.de/1990/03/angekommen-auch-angenommen"
"Zeitspiegel |","1990.3.51","1990-01-12","DIE ZEIT, , Bewerbung, DDR, Geheimagent, Germanistik, Müll, Wasserstoff, USA, London, Moskau, Wisconsin","http://www.zeit.de/1990/03/zeitspiegel"
"Geht die friedliche Revolution zu Ende? |","1990.3.52","1990-01-12","DIE ZEIT, , Gregor Gysi, Jens Reich, Revolution, CDU, SED, DDR, Datenspeicher, Forum, Opposition, Stasi, Volkskammer, Berlin","http://www.zeit.de/1990/03/geht-die-friedliche-revolution-zu-ende"
"Ungarn war das erste Reformland im Ostblock. Inzwischen aber machen sich dort Ernüchterung und Sorge über den Umwandlungsprozeß breit. Die drastischen Preiserhöhungen für Lebensmittel und Benzin vom Wochenanfang sorgen für zusätzliche Unruhe.: Einig nur im Blick nach Westen |","1990.3.53","1990-01-12","DIE ZEIT, Ungarn war das erste Reformland im Ostblock. Inzwischen aber machen sich dort Ernüchterung und Sorge über den Umwandlungsprozeß breit. Die drastischen Preiserhöhungen für Lebensmittel und Benzin vom Wochenanfang sorgen für zusätzliche Unruhe., Benzin, Ungarn, Finanzministerium, DDR, Polen, Lebensmittel, Budapest, Europa, Moskau, Westeuropa","http://www.zeit.de/1990/03/einig-nur-im-blick-nach-westen"
