"title","number","date","keywords","link"
"Nachlese: Volkskongreß in China: Aufstieg eines Reformers |","1991.16.2136","1991-04-12","DIE ZEIT, Nachlese: Volkskongreß in China, China, Zhu Rongji, Michail Gorbatschow, Bürokratie, Erdbeben, Erdstoß, Ministerpräsident, Oberbürgermeister, Hoffnung, Regierung, Shanghai, Peking","http://www.zeit.de/1991/16/aufstieg-eines-reformers"
"Verfolgung und Armut in der Dritten Welt: Den Reichen das Gewissen schärfen |","1991.16.2137","1991-04-12","DIE ZEIT, Verfolgung und Armut in der Dritten Welt, Armut, UNHCR, Vereinte Nationen, Japan, tTokyo, Burma, Iran, Türkei, USA, Berkeley, Europa, Washington D.C","http://www.zeit.de/1991/16/den-reichen-das-gewissen-schaerfen"
"Alexander Schalck-Golodkowski ist als Devisenbeschaffer der DDR zu zweifelhaftem Ruhm gelangt. Doch er war auch eine Figur von großer politischer Bedeutung. Seine Aufzeichnungen, die der ZEIT vorliegen, geben einen minutiösen Einblick in die Beziehungen zwischen Bonn und Ost-Berlin. Im ersten Teil einer Folge von Artikeln: die Vorgeschichte des Milliardenkredits.: Das große Spiel hinter der Kulisse |","1991.16.2138","1991-04-12","DIE ZEIT, Alexander Schalck-Golodkowski ist als Devisenbeschaffer der DDR zu zweifelhaftem Ruhm gelangt. Doch er war auch eine Figur von großer politischer Bedeutung. Seine Aufzeichnungen, die der ZEIT vorliegen, geben einen minutiösen Einblick in die Beziehungen zwischen Bonn und Ost-Berlin. Im ersten Teil einer Folge von Artikeln: die Vorgeschichte des Milliardenkredits., Erich Honecker, Franz Josef Strauß, Bonn, DDR, Günter Mittag, Philipp Jenninger, Bundesregierung, CSU, Deutschlandpolitik, Gespräch, Kredit, Bayern, Berlin, Chiemsee, Ost-Berlin","http://www.zeit.de/1991/16/das-grosse-spiel-hinter-der-kulisse"
"Bonner Bühne: Überall ist Provinz |","1991.16.2139","1991-04-12","DIE ZEIT, Bonner Bühne, Otto Graf Lambsdorff, Bühne, CDU, Helmut Kohl, Jens Reich, Theo Waigel, Björn Engholm, Hans-Jochen Vogel, Jürgen Möllemann, CSU-Fraktion, Demonstration, Ostdeutschland, Provinz, Selbstbewusstsein, Bonn, Berlin, Europa, Thüringen","http://www.zeit.de/1991/16/ueberall-ist-provinz"
"KOLUMNE: Keine Amnestie für die Stasi |","1991.16.2140","1991-04-12","DIE ZEIT, KOLUMNE, Amnestie, Stasi, DDR, Geheimdienst, Ministerium für Staatssicherheit, Richard Schröder, Spionage, Straftat","http://www.zeit.de/1991/16/keine-amnestie-fuer-die-stasi"
"Ein Koffer voller Geheimnisse |","1991.16.2141","1991-04-12","DIE ZEIT, , Alexander Schalck-Golodkowski, Franz Josef Strauß, Bundeskanzleramt, Berg, Beziehung, DDR, Deutschlandpolitik, Fälschung, Gespräch, Justiz, Rechtsanwalt, Verlust, Ost-Berlin","http://www.zeit.de/1991/16/ein-koffer-voller-geheimnisse"
"Kein Ende des Nationalitätenstreits: „Wir Serben töten anständig“ |","1991.16.2142","1991-04-12","DIE ZEIT, Kein Ende des Nationalitätenstreits, Franjo Tudjman, Unesco, Kroatien, Minderheit, Ostern, Jugoslawien, Serbien, Zagreb, Belgrad, Nordirland","http://www.zeit.de/1991/16/wir-serben-toeten-anstaendig"
"Worte der Woche |","1991.16.2143","1991-04-12","DIE ZEIT, , George W.  Bush, Helmut Kohl, Norbert Blüm, RAF, Bernard Kouchner, Klaus Kinkel, Lothar Späth, Otto Graf Lambsdorff, Richard Nixon, Bürgerkrieg, Entlassung, Flüchtlingslager, Georg von Waldenfels, Intervention, Mafia, Max Streibl, Ministerpräsident, Palästinenser, Staatssekretär, Verteidigungsminister, Wolfgang Kubicki, Iran, Sowjetunion, Türkei, Potsdam","http://www.zeit.de/1991/16/worte-der-woche"
"Wolfgang Ebert: Für den Hausgebrauch |","1991.16.2144","1991-04-12","DIE ZEIT, Wolfgang Ebert, Heide, Mode, Rakete, Saison, TÜV, U-Boot, Wolfgang Ebert, Genfer See, Oder","http://www.zeit.de/1991/16/fuer-den-hausgebrauch"
"Deutsch-polnische Nachbarschaft: Fremde an den „Friedensbrücken“ |","1991.16.2145","1991-04-12","DIE ZEIT, Deutsch-polnische Nachbarschaft, Nachbarschaft, Polen, Bürgerinitiative, D-Mark, DDR, Michael Kühnen, Reiseverkehr, Italien, Niederlande, Europa, Frankfurt an der Oder, Niedersachsen, Warschau, Westeuropa","http://www.zeit.de/1991/16/fremde-an-den-friedenbruecken"
"Weltbühne: Verbeugung vor der Macht |","1991.16.2146","1991-04-12","DIE ZEIT, Weltbühne, Hongkong, Autonomie, China, Dalai Lama, Falklandinseln, Flughafen, Flüchtlingslager, Großbritannien, Ostasien, Revolte, Territorium, Vertrag, Übernahme, Argentinien, Peking, London","http://www.zeit.de/1991/16/verbeugung-vor-der-macht"
