"title","number","date","keywords","link"
"Im Kaufhaus des Westens |","1991.30.2600","1991-07-19","DIE ZEIT, , Michail Gorbatschow, Sowjetunion, Lebensmittelindustrie, Privatisierung, Rubel, Rüstungsindustrie, Polen, London, Moskau","http://www.zeit.de/1991/30/im-kaufhaus-des-westens"
"Worte der Woche |","1991.30.2601","1991-07-19","DIE ZEIT, , CDU, CSU, FDP, Grüne, Helmut Kohl, Michail Gorbatschow, Antje Vollmer, Björn Engholm, Boris Jelzin, Heiner Geißler, Jürgen Möllemann, Otto Graf Lambsdorff, Bundeswirtschaftsminister, Kommunismus, Nationalsozialismus, Ostdeutschland, Rassismus, Vizepräsident, Wirtschaftsminister, London","http://www.zeit.de/1991/30/worte-der-woche"
"Erste Bilanz nach der Einheit: Fröhlich im Zwischentief |","1991.30.2602","1991-07-19","DIE ZEIT, Erste Bilanz nach der Einheit, Helmut Kohl, Volker Rühe, CDU, Hans-Jochen Vogel, Heiner Geißler, SPD, Grüne, Hans-Dietrich Genscher, Oskar Lafontaine, Björn Engholm, Golfkrieg, Kanzleramt, Opposition, Jugoslawien, Berlin, Bonn, Rheinland-Pfalz","http://www.zeit.de/1991/30/froehlich-im-zwischentief"
"Wolfgang Ebert: Der Möllemann-Effekt |","1991.30.2603","1991-07-19","DIE ZEIT, Wolfgang Ebert, Anzeige, Drohung, Erpressung, Redaktion, Wirtschaftsminister, Öffentlichkeit, Wolfgang Ebert","http://www.zeit.de/1991/30/der-moellemann-effekt"
"Bisher wurde die Zahl der Opfer des Golfkriegs auf200000 Tote geschätzt. Beobachter im Irak sprechen jetzt von 20 000.: Nicht in die Steinzeit gebombt |","1991.30.2604","1991-07-19","DIE ZEIT, Bisher wurde die Zahl der Opfer des Golfkriegs auf200000 Tote geschätzt. Beobachter im Irak sprechen jetzt von 20 000., Irak, Saddam Hussein, Opfer, George W.  Bush, Steinzeit, Bunker, Pepsi, Vereinte Nationen, Bagdad, Dubai, Iran, Syrien, Amman, Basra, Kuwait","http://www.zeit.de/1991/30/nicht-in-die-steinzeit-gebombt"
"NS-Verfahren in Stuttgart: Steiniger Weg zur Wahrheit |","1991.30.2605","1991-07-19","DIE ZEIT, NS-Verfahren in Stuttgart, Stuttgart, Simon Wiesenthal, Argentinien, Raul Hilberg, Richter, Israel, Prozess, Waffen-SS, Österreich, Buenos Aires, Innsbruck, Krakau","http://www.zeit.de/1991/30/steiniger-weg-zur-wahrheit"
"Rückblick: Irakisches Atomprogramm: Warnung an Saddam |","1991.30.2606","1991-07-19","DIE ZEIT, Rückblick: Irakisches Atomprogramm, George W.  Bush, Saddam Hussein, Atomprogramm, UN-Sicherheitsrat, Atombombe, Golfkrieg, Irak, Militäraktion, Produktion, Präsident, Regierung, Uran, Versicherung, Bagdad, Washington D.C","http://www.zeit.de/1991/30/warnung-an-saddam"
"Trotz aller Vermittlungsversuche ist eine friedliche Lösung der Krise in Jugoslawien nicht in Sicht: Das Gespenst von Brioni |","1991.30.2607","1991-07-19","DIE ZEIT, Trotz aller Vermittlungsversuche ist eine friedliche Lösung der Krise in Jugoslawien nicht in Sicht, Jugoslawien, Alija Izetbegovic, Albanien, Bosnien und Herzegowina, Kosovo, Serbien, Slowenien, Balkan, Belgrad, Zagreb","http://www.zeit.de/1991/30/das-gespenst-von-brioni"
"Nachlese: Klage in Karlsruhe: Abstand zur PDS |","1991.30.2608","1991-07-19","DIE ZEIT, Nachlese: Klage in Karlsruhe, Karlsruhe, Grüne, PDS, Bildung, Bundestagswahl, DDR, Gericht, Logik, Richter, Geld","http://www.zeit.de/1991/30/abstand-zur-pds"
"Zeitspiegel |","1991.30.2609","1991-07-19","DIE ZEIT, , Edith Cresson, Auto, Filmindustrie, Funk, Gefängnis, Hollywood, Polizei, Premierminister, Prostitution, tTokyo, Video, Winter, Los Angeles, Oregon, Portland","http://www.zeit.de/1991/30/zeitspiegel"
"Weltbühne: Kein Gespür fürs Personal |","1991.30.2610","1991-07-19","DIE ZEIT, Weltbühne, George W.  Bush, Robert Gates, Personal, Bundesgericht, Nachfolge, Präsident, Richard Cheney, Skandal, Iran, Washington D.C","http://www.zeit.de/1991/30/kein-gespuer-fuers-personal"
