"title","number","date","keywords","link"
"Rußland: Ein Flughafendirektor will Touristen nach Tschukotka locken: Rote Sonne überm Packeis |","1992.50.4896","1992-12-04","DIE ZEIT, Rußland: Ein Flughafendirektor will Touristen nach Tschukotka locken","http://www.zeit.de/1992/50/rote-sonne-ueberm-packeis"
"Nach der Wahl und dem Abtreibungs-Referendum in Irland: Die Konservativen verlieren an Einfluß: Die Nase voll |","1992.50.4897","1992-12-04","DIE ZEIT, Nach der Wahl und dem Abtreibungs-Referendum in Irland: Die Konservativen verlieren an Einfluß, Wahl, Abtreibung, Bischofskonferenz, Chaos, Erpressung, Gericht, Gesundheit, Irland, Kirche, Mary Robinson, Parlamentswahl, Schwangerschaftsabbruch, Selbstmord, Wüste, England, Dublin","http://www.zeit.de/1992/50/die-nase-voll"
"Bei den Wahlen am 20. Dezember stimmen die Serben auch über die Fortsetzung des Krieges in Bosnien ab: Die Illusion des normalen Lebens |","1992.50.4898","1992-12-04","DIE ZEIT, Bei den Wahlen am 20. Dezember stimmen die Serben auch über die Fortsetzung des Krieges in Bosnien ab, Bosnien und Herzegowina, Autotest, Bosnien und Herzegowina, Präsidentschaft, Serbien, Belgrad, Jugoslawien, Kroatien, Sarajevo, Bonn, Zagreb","http://www.zeit.de/1992/50/die-illusion-des-normalen-lebens"
"Streben nach Konsens |","1992.50.4899","1992-12-04","DIE ZEIT, , Boris Jelzin, Ideologie, Juri Andropow, Kabinett, Regierung, Rüstungsindustrie, Vizepräsident, Präsident, Russland, Wahl, Moskau","http://www.zeit.de/1992/50/streben-nach-konsens"
"Worte der Woche |","1992.50.4900","1992-12-04","DIE ZEIT, , Gerhard Schröder, Helmut Kohl, SPD, Björn Engholm, Rainer Barzel, Konzentrationslager, Mord, Parlament, Selbstjustiz, Simon Wiesenthal, Solidaritätszuschlag, Vergewaltigung, Windsor, Israel, Bergen-Belsen, Dachau, Niedersachsen, Thüringen, Wien","http://www.zeit.de/1992/50/worte-der-woche"
"Verlangen nach mehr Eigenständigkeit: Die Ostdeutschen finden längst nicht alles gut, was ihnen der Westen beschert: Schluß mit der Schocktherapie |","1992.50.4901","1992-12-04","DIE ZEIT, Verlangen nach mehr Eigenständigkeit: Die Ostdeutschen finden längst nicht alles gut, was ihnen der Westen beschert, CDU, Wolfgang Schäuble, Birgit Breuel, DDR, Ostdeutschland, Renate Schmidt, Selbstbestimmung, Separatismus, Wiedervereinigung, MIT, Berlin","http://www.zeit.de/1992/50/schluss-mit-der-schocktherapie"
"Die Enquetekommission des Bundestages inspiziert „Geschichte und Folgen der SED-Diktatur in Deutschland“: Haschen nach Wind? |","1992.50.4902","1992-12-04","DIE ZEIT, Die Enquetekommission des Bundestages inspiziert „Geschichte und Folgen der SED-Diktatur in Deutschland“, CDU, Rainer Eppelmann, Wolfgang Templin, Christoph Dieckmann, DDR, Klagemauer, Rudolf Bahro, Bayern, Berlin, Bonn, Frankfurt an der Oder, Leipzig, München","http://www.zeit.de/1992/50/haschen-nach-wind"
"Zeitspiegel |","1992.50.4903","1992-12-04","DIE ZEIT, , Bill Clinton, Lufthansa, Benzin, Berichterstattung, Bundesgerichtshof, Diesel, Freihandelszone, Ostdeutschland, Patent, Bosnien und Herzegowina, Bulgarien, Kanada, Mexiko, Rumänien, Dresden, Sachsen, Bayern, Belgrad, München, Washington D.C","http://www.zeit.de/1992/50/zeitspiegel"
"Mit einer Reform von oben versucht die englische Königin die institutionelle Krise zu entschärfen: Ein kluger Schachzug der Queen |","1992.50.4904","1992-12-04","DIE ZEIT, Mit einer Reform von oben versucht die englische Königin die institutionelle Krise zu entschärfen, Elisabeth II, Margaret Thatcher, Queen, John Major, Königshaus, Monarchie, Staatsoberhaupt, Windsor, England, Großbritannien, MIT, Reform, London","http://www.zeit.de/1992/50/ein-kluger-schachzug-der-queen"
"Von der Asyldebatte und dem Terror in Deutschland unberührt: Inmitten der Herbststürme richtet sich der Kanzler aufs Überwintern ein: Bereit sein scheint alles |","1992.50.4905","1992-12-04","DIE ZEIT, Von der Asyldebatte und dem Terror in Deutschland unberührt: Inmitten der Herbststürme richtet sich der Kanzler aufs Überwintern ein, Helmut Kohl, CDU, SPD, Volker Rühe, Gerhard Schröder, Norbert Blüm, Theo Waigel, François Mitterrand, Hans-Ulrich Klose, Advent, Asylrecht, Aussiedler, CSU-Fraktion, Herbst, Kanzleramt, Leuna, Opposition, Rechtsradikalismus, Adria, Bonn, Hamburg, Maastricht, Paris","http://www.zeit.de/1992/50/bereit-sein-scheint-alles"
"In Europa sind die rechtsextremen Parteien auf dem Vormarsch. Sie finden immer mehr Anhänger in der Mittelschicht. Die Demokraten reagieren hilflos: Eine Schneise ins Establishment |","1992.50.4906","1992-12-04","DIE ZEIT, In Europa sind die rechtsextremen Parteien auf dem Vormarsch. Sie finden immer mehr Anhänger in der Mittelschicht. Die Demokraten reagieren hilflos, Europa, Jean-Marie Le Pen, Jörg Haider, Franz Schönhuber, FPÖ, Frankreich, Francesco Cossiga, Front National, Rechtsextremismus, Umberto Bossi, Österreich, Italien, Paris, Westeuropa","http://www.zeit.de/1992/50/eine-schneise-ins-establishment"
