"title","number","date","keywords","link"
"Weslktheater: „Pelléas et Melisande“: Aus dem Schatten und dorthin zurück |","1992.16.3817","1992-04-10","DIE ZEIT, Weslktheater: „Pelléas et Melisande“","http://www.zeit.de/1992/16/aus-dem-schatten-und-dorthin-zurueck"
"Weltbühne: Die Welt trifft ein |","1992.16.3818","1992-04-10","DIE ZEIT, Weltbühne, BBC, CNN, Indien, RTL, Fernsehen, Sendung, Hongkong, Jugoslawien, Pakistan, Delhi","http://www.zeit.de/1992/16/die-welt-trifft-ein"
"Volksdeputierten-Kongreß in Moskau: Haßtiraden gegen den Volkshelden |","1992.16.3819","1992-04-10","DIE ZEIT, Volksdeputierten-Kongreß in Moskau, Boris Jelzin, Moskau, Jegor Gajdar, Moldawien, Russland, Ukraine, Armenien, USA, Kiew, Krim","http://www.zeit.de/1992/16/hasstiraden-gegen-den-volksheld"
"Wechsel im Verteidigungsministerium: Neuer Besen im alten Bau |","1992.16.3820","1992-04-10","DIE ZEIT, Wechsel im Verteidigungsministerium, Gerhard Stoltenberg, Volker Rühe, Hans-Ulrich Klose, SPD, Bundesregierung, Hans-Dietrich Genscher, SPD-Fraktion, Verteidigungsministerium, Bundestag, D-Mark, Verteidigungsminister, Walter Kolbow, Bonn","http://www.zeit.de/1992/16/neuer-besen-im-alten-bau"
"Vorbereitungskonferenz für Rio: Kompromißlos auf Kosten des Planeten |","1992.16.3821","1992-04-10","DIE ZEIT, Vorbereitungskonferenz für Rio, George W.  Bush, Greenpeace, Artenvielfalt, Christian Wernicke, Entwicklungshilfe, Entwicklungsland, Giftmüll, Planet, Regenwald, Rodung, Umwelt, Weltbank, Planeten, New York, Afrika, Stockholm","http://www.zeit.de/1992/16/kompromisslos-auf-kosten-des-planeten"
"Bonner Bühne: Blinde Visionäre |","1992.16.3822","1992-04-10","DIE ZEIT, Bonner Bühne, Bühne, Drama, Etat, Konzert, Oper, Umsiedlung, Wein, Werbung, Blinde, Bonn, Berlin, New York, Rheinland","http://www.zeit.de/1992/16/blinde-visionaere"
"Die Zahl der Nichtwähler wächst: Keine Lust auf die Kreuze |","1992.16.3823","1992-04-10","DIE ZEIT, Die Zahl der Nichtwähler wächst, CDU, Volker Kauder, NPD, SPD, Junge Union, Café, Landtag, Landtagswahl, Republikaner (USA), Universität Tübingen, Baden-Württemberg, Europa, Neckar, Stuttgart","http://www.zeit.de/1992/16/keine-lust-auf-die-kreuze"
"„Jetzt keine falschen Hoffnungen wecken“ |","1992.16.3824","1992-04-10","DIE ZEIT, , SPD, CDU, CSU, FDP, Georg Kronawitter, Theo Waigel, Wolfgang Schäuble, Asyl, Asylrecht, Bleiberecht, Bundestag, CSU-Fraktion, Einwanderung, Herta Däubler-Gmelin, Johannes Gerster, Kanzleramt, Oberbürgermeister, Verfassungsänderung, Jugoslawien, Bonn, Europa, Lissabon","http://www.zeit.de/1992/16/jetzt-keine-falschen-hoffnungen-wecken"
"KOLUMNE: Biblische Ökonomie |","1992.16.3825","1992-04-10","DIE ZEIT, KOLUMNE, Hus, Israel, Kibbuz, Pilgerfahrt, Richard Schröder, Griechenland, Sowjetunion, Ökonomie, Jerusalem, Sinai","http://www.zeit.de/1992/16/biblische-oekonomie"
"Der Stimmzettel als Denkzettel |","1992.16.3826","1992-04-10","DIE ZEIT, , DVU, NPD, SPD, Asyl, Bundestagswahl, Europawahl, Protest, Rekord, Republikaner (USA), Umfrage, Wahl, Baden-Württemberg, Schleswig-Holstein, Berlin, Mannheim","http://www.zeit.de/1992/16/der-stimmzettel-als-denkzettel"
"Regierungsumbildung in Paris: Alte Gesichter auf neuen Plätzen |","1992.16.3827","1992-04-10","DIE ZEIT, Regierungsumbildung in Paris, François Mitterrand, Paris, Alte, Lionel Jospin, Bernard Tapie, Edith Cresson, Grüne, Laurent Fabius, Ameise, Jack Lang, Premierminister, Regierungswechsel, Umweltministerium, Bonn, Europa","http://www.zeit.de/1992/16/alte-gesichter-auf-neuen-plaetzen"
"Wahlverwandtschaften am rechten Rand |","1992.16.3828","1992-04-10","DIE ZEIT, , Carl Schmitt, CDU, Franz Schönhuber, Helmut Kohl, CSU, DVU, Ernst Jünger, SPD, Hans Karl Filbinger, Heinrich Lummer, Landtag, Rechtsradikalismus, Baden-Württemberg, Stuttgart, Bremen, Schleswig-Holstein","http://www.zeit.de/1992/16/wahlverwandtschaften-am-rechten-rand"
"Die Ziele des Präsidenten der EG-Kommission: Ein Glücksfall in Brüssel |","1992.16.3829","1992-04-10","DIE ZEIT, Die Ziele des Präsidenten der EG-Kommission, Brüssel, Jacques Delors, Bundesbank, Helmut Schmidt, Europäische Gemeinschaft, D-Mark, Frankreich, Freihandelszone, Geldpolitik, Staatsverschuldung, Währung, Währungsunion, England, Italien, Niederlande, Polen, Schweden, Tschechoslowakei, Paris","http://www.zeit.de/1992/16/ein-gluecksfall-in-bruessel"
"Worte der Woche |","1992.16.3830","1992-04-10","DIE ZEIT, , Erwin Teufel, CDU, Grüne, Oskar Lafontaine, SPD, Fidel Castro, Otto Graf Lambsdorff, Bundeskanzler, Computer, Eduard Schewardnadse, Gerhard Frey, Landtagswahl, Republikaner (USA), Sozialismus, Staatsverschuldung, Walter Döring, Nordkorea, Sowjetunion, Baden-Württemberg, Schleswig-Holstein","http://www.zeit.de/1992/16/worte-der-woche"
"Rom nach der Wahl: Das Erdbeben vom Tiber |","1992.16.3831","1992-04-10","DIE ZEIT, Rom nach der Wahl, Rom, Wahl, Giulio Andreotti, Erdbeben, Italien, Verhältniswahlrecht, Wahlkampf, Albanien, USA, Palermo","http://www.zeit.de/1992/16/das-erdbeben-vom-tiber"
"Ben Witter: Angetippt |","1992.16.3832","1992-04-10","DIE ZEIT, Ben Witter, Reise, Aufenthaltsgenehmigung, Ben Witter, Obst, S-Bahn, Training, Auto, Gedächtnis, Gefängnis, Jugoslawien, Restaurant, Oder","http://www.zeit.de/1992/16/angetippt"
"Nationaler Volkskongreß in Peking: Von Singapur lernen, heißt siegen lernen |","1992.16.3833","1992-04-10","DIE ZEIT, Nationaler Volkskongreß in Peking, Peking, Deng Xiaoping, Lernen, Singapur, Zhu Rongji, China, Allianz, Reform, Veteran, Hongkong, Shanghai, Siegen, Sowjetunion, Macao","http://www.zeit.de/1992/16/von-singapur-lernen-heisst-siegen-lernen"
"Luftterrorismus: Muß Libyen ausliefern? |","1992.16.3834","1992-04-10","DIE ZEIT, Luftterrorismus, UN-Sicherheitsrat, Libyen, UN, Lockerbie-Anschlag, Norm, Resolution, Völkerrecht, China, Großbritannien, Niger, Den Haag, Montreal","http://www.zeit.de/1992/16/muss-libyen-ausliefern"
"Wolfgang Ebert: Aber nicht im Süden! |","1992.16.3835","1992-04-10","DIE ZEIT, Wolfgang Ebert, Analphabetismus, Mafia, Ozonloch, Waffenstillstand, Indien, Polen, Wolfgang Ebert, Alaska, Bagdad, Oder, Toskana","http://www.zeit.de/1992/16/aber-nicht-im-sueden"
"Zeitspiegel |","1992.16.3836","1992-04-10","DIE ZEIT, , Theo Sommer, Europäische Währungsunion, Nachfolge, Rechtsanwalt, Redaktion, Währung, Übersetzung, Großbritannien, Maastricht, Marshallinseln","http://www.zeit.de/1992/16/zeispiegel"
"Rückblick: Krise in Peru: Der Putsch des Japaners |","1992.16.3837","1992-04-10","DIE ZEIT, Rückblick: Krise in Peru, Alberto Fujimori, Peru, Agrarprodukt, Aufrüstung, Droge, Grundrecht, Lateinamerika, Putsch, Weltbank, Wirtschaftshilfe, Haiti, Venezuela, Brunnen, Kuwait, Lima, Washington D.C","http://www.zeit.de/1992/16/der-putsch-des-japaners"
"Angstkartell der großen Parteien? |","1992.16.3838","1992-04-10","DIE ZEIT, , Helmut Kohl, Björn Engholm, Oskar Lafontaine, SPD, CDU, Heiner Geißler, SPD-Fraktion, Hans Eichel, Hans Apel, Wolfgang Thierse, Bundestag, Kanzleramt, Ratifizierung, Bonn, Maastricht, Schleswig-Holstein","http://www.zeit.de/1992/16/angstkartell-der-grossen-parteien"
"Für die Sozialdemokraten in Kiel wird das Regieren schwerer: Der Wind dreht auf |","1992.16.3839","1992-04-10","DIE ZEIT, Für die Sozialdemokraten in Kiel wird das Regieren schwerer, Björn Engholm, CDU, Grüne, Kiel, SPD, Wolfgang Kubicki, Heide Simonis, Apartheid, Einwanderung, Friedrich-Ebert-Stiftung, Gerhard Frey, Günther Jansen, Koalitionsverhandlung, Landtag, Munition, Norbert Gansel, Bonn","http://www.zeit.de/1992/16/der-wind-dreht-auf"
"Nachlese: Das Erbe der Stasi: Zu früh gefreut |","1992.16.3840","1992-04-10","DIE ZEIT, Nachlese: Das Erbe der Stasi, Heinrich Fink, Stasi, Humboldt-Universität, Joachim Gauck, Aufklärung, Entlassung, PDS, Erbe, Berlin","http://www.zeit.de/1992/16/zu-frueh-gefreut"
"Libyens Revolutionsführer in Bedrängnis: „Eigentlich sind wir alle Amerikaner“ |","1992.16.3841","1992-04-10","DIE ZEIT, Libyens Revolutionsführer in Bedrängnis, Muammar al-Gaddafi, George W.  Bush, Vereinte Nationen, Hosni Mubarak, James Baker, Weltwunder, Irak, Iran, Israel, Syrien, Tunesien, Ägypten, Tripolis","http://www.zeit.de/1992/16/eigentlich-sind-wir-alle-amerikaner"
"Nach der Wahl in Baden-Württemberg: Passen Schwarz und Grün zusammen?: „Äußerste Skepsis“ |","1992.16.3842","1992-04-10","DIE ZEIT, Nach der Wahl in Baden-Württemberg: Passen Schwarz und Grün zusammen?, Erwin Teufel, Wahl, CDU, FDP, Grüne, SPD, NPD, Abtreibung, Asyl, Heilung, Koalitionsverhandlung, Minderheitsregierung, Republikaner (USA), Untersuchungsausschuss, Wahlkampf, Ökologie, Baden-Württemberg, Bonn, Stuttgart","http://www.zeit.de/1992/16/aeusserste-skepsis"
"Bankentarife: Abschluß |","1992.16.3843","1992-04-10","DIE ZEIT, Bankentarife, Arbeitgeber, Bank, Gehalt, Streik, Tarifrunde, Volkswirtschaft","http://www.zeit.de/1992/16/abschluss"
"Zeitungskrieg in Österreich: Bunt und billig |","1992.16.3844","1992-04-10","DIE ZEIT, Zeitungskrieg in Österreich, Österreich, Feindschaft, Medienpolitik, Tageszeitung, WAZ-Gruppe, Wien","http://www.zeit.de/1992/16/bund-und-billig"
"Markt-Report: Wahlen ohne Wirkung |","1992.16.3845","1992-04-10","DIE ZEIT, Markt-Report, Bundesbank, Commerzbank, Dresdner Bank, Ferdinand Piëch, Automobilindustrie, Landtagswahl, Baden-Württemberg, Schleswig-Holstein","http://www.zeit.de/1992/16/wahlen-ohne-wirkung"
"Wolfgang Hoffmann:: Betriebswirte an die Front |","1992.16.3846","1992-04-10","DIE ZEIT, Wolfgang Hoffmann:, Volker Rühe, Hans Apel, Manfred Wörner, Verteidigungsministerium, Allianz, Bundeswehr, Minister, Türkei","http://www.zeit.de/1992/16/betriebswirte-an-die-front"
"Italien: Training für den dreifachen Salto |","1992.16.3847","1992-04-10","DIE ZEIT, Italien, Italien, Mario Monti, Training, Antonio Fazio, Carlo Azeglio Ciampi, Notenbank, Währung, Währungsunion, Maastricht, Europa, Rom, Venedig","http://www.zeit.de/1992/16/training-fuer-den-dreifachen-salto"
"Kartellamt: Stich ins Wespennest |","1992.16.3848","1992-04-10","DIE ZEIT, Kartellamt, Dresdner Bank, Wolfgang Kartte, Hamburg-Mannheimer, Hans Otto Eglau, Kartellamt, Volksfürsorge, Wolfgang Schieren, Brüssel, München","http://www.zeit.de/1992/16/stich-ins-wespennest"
"Moral schlägt Profit |","1992.16.3849","1992-04-10","DIE ZEIT, , Wirtschaftspolitik, Deregulierung, Insiderhandel, Kapitalismus, Obdachlose, USA, Walter Mondale, Polen, Osteuropa, Europa, Jerusalem, Washington D.C., Westeuropa","http://www.zeit.de/1992/16/moral-schlaegt-profit"
"Fußballübertragung: Abpfiff |","1992.16.3850","1992-04-10","DIE ZEIT, Fußballübertragung, ARD, ZDF, Leo Kirch, Ostern, Sender, tSpringer Verlag","http://www.zeit.de/1992/16/abpfiff"
"Bonner Kulisse |","1992.16.3851","1992-04-10","DIE ZEIT, , Gerhard Stoltenberg, Volker Rühe, CSU, SPD, Theo Waigel, Carl-Ludwig Thiele, Hardware, Hermes, Militärflugzeug, Raumfähre, Russland, Sowjetunion, USA, Moskau, Osteuropa, Westeuropa","http://www.zeit.de/1992/16/bonner-kulisse"
"Börsenspiel: Verluste mit Bio-Werten |","1992.16.3852","1992-04-10","DIE ZEIT, Börsenspiel, Dax, RWE, Bank Austria, Deutsche Bank, Aktienindex, Linde, MIT, Sowjetunion, Osteuropa, Wien","http://www.zeit.de/1992/16/verluste-mit-bio-werten"
"Renault rückt vor |","1992.16.3853","1992-04-10","DIE ZEIT, , Opel, VW, Renault, Auto, DDR, PKW","http://www.zeit.de/1992/16/renault-rueckt-vor"
"Treuhandunternehmen: Am seidenen Faden |","1992.16.3854","1992-04-10","DIE ZEIT, Treuhandunternehmen, Birgit Breuel, DDR, Kasachstan, Ostdeutschland, Russland, Statistisches Bundesamt, Treuhandanstalt, Unternehmen, Sowjetunion, Ukraine, Berlin, Chemnitz, Magdeburg, Wiesbaden","http://www.zeit.de/1992/16/am-seidenen-faden"
"Vermögensgesetz: Absturz |","1992.16.3855","1992-04-10","DIE ZEIT, Vermögensgesetz, Bundeskabinett, Klaus Kinkel, Enteignung, Entschädigung, Grundgesetz, Ostdeutschland, Verfassungsgericht","http://www.zeit.de/1992/16/absturz"
"Bundesbank: Auf einem Auge blind? |","1992.16.3856","1992-04-10","DIE ZEIT, Bundesbank, Bundesbank, Bundesregierung, Geldpolitik, Kredit, Ostdeutschland, Staatsverschuldung, Statistisches Bundesamt, WestLB, Bonn","http://www.zeit.de/1992/16/auf-einem-auge-blind"
"Claus Wisser: Der rote Kapitalist |","1992.16.3857","1992-04-10","DIE ZEIT, Claus Wisser, Volker Hauff, CDU, SPD, Plauen, Augsburg","http://www.zeit.de/1992/16/der-rote-kapitalist"
"Frankreich: Wunder dauern etwas länger |","1992.16.3858","1992-04-10","DIE ZEIT, Frankreich, Frankreich, François Mitterrand, Bundesbank, Wunder, Bundesanstalt für Arbeit, Arbeitslose, Arbeitslosigkeit, Eigentor, Finanzminister, Leitzins, Mindestlohn, Neuverschuldung, Parlamentswahl, Bonn, Genf, Paris","http://www.zeit.de/1992/16/wunder-dauern-etwas-laenger"
"Ostdeutschland: Start aus der Gartenlaube |","1992.16.3859","1992-04-10","DIE ZEIT, Ostdeutschland, Ostdeutschland, Diplomarbeit, Joint-Venture, Unternehmen, Brüssel, Düsseldorf, München","http://www.zeit.de/1992/16/start-aus-der-gartenlaube"
"Disney-Konzern: Dagoberts Musterschüler |","1992.16.3860","1992-04-10","DIE ZEIT, Disney-Konzern, Dollar, Euro Disney, Jeffrey Katzenberg, PayTV, Übersee, Japan, USA, Europa, Paris","http://www.zeit.de/1992/16/dagoberts-musterschueler"
"Kanada: Zurück auf den Teppich |","1992.16.3861","1992-04-10","DIE ZEIT, Kanada, Commerzbank, Kanada, Dollar, Libyen, London, Manhattan, New York, Toronto, Europa, Nordamerika","http://www.zeit.de/1992/16/zurueck-auf-den-teppich"
