"title","number","date","keywords","link"
"Jüdisch und deutsch |","1992.52.4955","1992-12-18","DIE ZEIT","http://www.zeit.de/1992/52/juedisch-und-deutsch"
"Werden 20 000 Vertragsarbeiter der ehemaligen DDR ausgewiesen?: Mohren zweiter Klasse |","1992.52.4956","1992-12-18","DIE ZEIT, Werden 20 000 Vertragsarbeiter der ehemaligen DDR ausgewiesen?, DDR, Berndt Seite, CDU, Bleiberecht, Bundesrat, Christoph Dieckmann, Entwicklungshilfe, Innenminister, Schwerin, Vertrag, Nordkorea, Vietnam, Berlin, Rostock","http://www.zeit.de/1992/52/mohren-zweiter-klasse"
"Der Populist an der Spitze der österreichischen Liberalen schürt und nützt die Ängste der Bürger: Haider oder die Unschuld vom Lande |","1992.52.4957","1992-12-18","DIE ZEIT, Der Populist an der Spitze der österreichischen Liberalen schürt und nützt die Ängste der Bürger, Jörg Haider, Peter Glotz, CSU, FPÖ, Irenäus Eibl-Eibesfeldt, Katholische Kirche, Otto Graf Lambsdorff, Österreich, Artenschutz, Ausländerpolitik, Volksbegehren, Kanada, Oder, Populismus, Bayern, Europa, Rostock, Wien","http://www.zeit.de/1992/52/haider-oder-die-unschuld-vom-lande"
"Scheidung mit gemischten Gefühlen |","1992.52.4958","1992-12-18","DIE ZEIT, , Edvard Beneš, Vaclav Klaus, Scheidung, Václav Havel, Slowakei, Tschechoslowakei, Ungarn, MIT, Pakistan, Schweiz, Tschechische Republik, Europa, Prag, Bratislava","http://www.zeit.de/1992/52/scheidung-mit-gemischten-gefuehlen"
"In Frankreich wird im nächsten März gewählt – eine zerstrittene Rechte bereitet sich auf die Machtübernahme vor: Die Spiele der alten Männer |","1992.52.4959","1992-12-18","DIE ZEIT, In Frankreich wird im nächsten März gewählt – eine zerstrittene Rechte bereitet sich auf die Machtübernahme vor, Jacques Chirac, Frankreich, François Mitterrand, Charles Pasqua, Franz Josef Strauß, Philippe Séguin, Edouard Balladur, Parlamentswahl, Premierminister, Präsidentschaftskandidat, Paris","http://www.zeit.de/1992/52/die-spiele-der-alten-maenner"
"Streit um die deutsche Minderheit in Polen: Alte Schatten |","1992.52.4960","1992-12-18","DIE ZEIT, Streit um die deutsche Minderheit in Polen, Polen, Alte, Minderheit, Bundesregierung, Lech Wa??sa, Chauvinismus, Gedenkstätte, Visum, Weltkrieg, Auschwitz, Schlesien, Warschau","http://www.zeit.de/1992/52/alte-schatten"
"Wolfgang Ebert: Lechts und Rinks |","1992.52.4961","1992-12-18","DIE ZEIT, Wolfgang Ebert, Behinderte, Extremismus, Gedenkstätte, Handwerk, Ideologie, Justiz, Minderheit, Obdachlose, Skinhead, Stress, Verfassungsschutz, Wolfgang Ebert, Cottbus, Greifswald, Rostock","http://www.zeit.de/1992/52/links-und-rechts"
"Auch nach dem Gipfel von Edinburgh ist die Entscheidung der Briten und Dänen ungewiß: Die Zwölf bleiben zusammen – vorerst |","1992.52.4962","1992-12-18","DIE ZEIT, Auch nach dem Gipfel von Edinburgh ist die Entscheidung der Briten und Dänen ungewiß, John Major, Helmut Kohl, Edinburgh, François Mitterrand, Großbritannien, Jacques Delors, Europäische Gemeinschaft, Felipe González, Währungsunion, Dänemark, Maastricht, Europa, Osteuropa","http://www.zeit.de/1992/52/die-zwoelf-bleiben-zusammen-vorerst"
"Bill Clinton bestellt sein Kabinett: Wandel ohne Risiko |","1992.52.4963","1992-12-18","DIE ZEIT, Bill Clinton bestellt sein Kabinett, Bill Clinton, Verteidigungsministerium, Arbeitsminister, Bill Clinton, Gesundheitsminister, Präsident, Umweltbehörde, Kabinett, USA","http://www.zeit.de/1992/52/wandel-ohne-risiko"
"Die humanitäre Intervention in Somalia hat begonnen. Doch niemand weiß, wie das Land zum Frieden finden kann: Mission mit langem Atem |","1992.52.4964","1992-12-18","DIE ZEIT, Die humanitäre Intervention in Somalia hat begonnen. Doch niemand weiß, wie das Land zum Frieden finden kann, George W.  Bush, Frieden, Intervention, Siad Barre, Somalia, Italien, Jugoslawien, Kambodscha, Kenia, MIT, USA, Mogadischu, Afrika, Kurdistan, Washington D.C","http://www.zeit.de/1992/52/mission-mit-langem-atem"
"Bei den Präsidentschaftswahlen in Südkorea ist die Demokratisierung kein Thema mehr: Alltagssorgen nach dem Freiheitsdrama |","1992.52.4965","1992-12-18","DIE ZEIT, Bei den Präsidentschaftswahlen in Südkorea ist die Demokratisierung kein Thema mehr, Roh Tae Woo, Südkorea, Demokratie, Demokratisierung, Nordkorea, Park Chung Hee, Vereinte Nationen, Volksverhetzung, China, Sowjetunion, Seoul, Pjöngjang","http://www.zeit.de/1992/52/alltagssorgen-nach-dem-freiheitsdrama"
"Werkzeugmaschinenbau: Die frühere Renommierbranche steckt in der Krise. Bringen Kooperationen die Rettung?: „Es geht ums Überleben“ |","1992.52.4966","1992-12-18","DIE ZEIT, Werkzeugmaschinenbau: Die frühere Renommierbranche steckt in der Krise. Bringen Kooperationen die Rettung?, Bayerische Vereinsbank, Erwin Teufel, Roland Berger, Japan, Bayern, Allgäu, München, Südostasien","http://www.zeit.de/1992/52/es-geht-ums-ueberleben"
"Bonner Kulisse |","1992.52.4967","1992-12-18","DIE ZEIT, , Klaus Zeh, CDU, Bernhard Vogel, Behörde, Bundesrechnungshof, Bundestag, Finanzminister, Landesregierung, Rechnungshof, Rechtslage, Thüringen, Bonn, Erfurt, Sachsen-Anhalt","http://www.zeit.de/1992/52/bonner-kulisse"
"Zinssteuer: Westwärts |","1992.52.4968","1992-12-18","DIE ZEIT, Zinssteuer, Theo Waigel, Dresdner Bank, Bundesfinanzminister, Chef, Kapitalflucht, Ostdeutschland, Steuer, Geld, Luxemburg, Europa","http://www.zeit.de/1992/52/westwaerts"
