"title","number","date","keywords","link"
"Macht zum eigenen Vorteil |","1991.38.2817","1991-09-13","DIE ZEIT, , CDU, SPD, FDP, Grüne, Altersversorgung, Ehrenamt, Justizsenator, Verfassungsänderung, Hamburg, Hessen","http://www.zeit.de/1991/38/macht-zum-eigenen-vorteil"
"Wolfgang Ebert: Schalckhaft |","1991.38.2818","1991-09-13","DIE ZEIT, Wolfgang Ebert, Bundesnachrichtendienst, Medien, Bildband, Innenminister, Stasi, Buch, Geld, Wolfgang Ebert, Bayern, Tirol","http://www.zeit.de/1991/38/schalckhaft"
"Überfällig |","1991.38.2819","1991-09-13","DIE ZEIT, , Abrüstung, Atomwaffe, Friedensnobelpreis, Republik, Verteidigungsminister, Russland, Sowjetunion, Europa, Washington D.C","http://www.zeit.de/1991/38/ueberfaellig"
"Ben Witter: Angetippt: In stiller Andacht |","1991.38.2820","1991-09-13","DIE ZEIT, Ben Witter: Angetippt, Abgas, Fabrik, Garten, Gedenkstätte, Gedächtnis, Konzentrationslager, Vernichtungslager","http://www.zeit.de/1991/38/in-stiller-andacht"
"Worte der Woche |","1991.38.2821","1991-09-13","DIE ZEIT, , Alexander Schalck-Golodkowski, Franz Josef Strauß, Hans-Dietrich Genscher, Andreas von Bülow, Bundesaußenminister, Christentum, DDR, Europäische Gemeinschaft, Franjo Tudjman, Max Josef Strauß, Stress, Wohngeld, Wüste, Sowjetunion, Bonn, Den Haag, Europa, Rom, Sachsen","http://www.zeit.de/1991/38/worte-der-woche"
"Ost-West-Spannungen in der CDU: Abschied vom kleinen Kanzler |","1991.38.2822","1991-09-13","DIE ZEIT, Ost-West-Spannungen in der CDU, CDU, Helmut Kohl, Lothar de Maizière, SPD, Bundesbank, Christoph Dieckmann, Manfred Stolpe, DDR, Bonn, Halle an der Saale, Moskau, Ost-Berlin, Ostberlin","http://www.zeit.de/1991/38/abschied-vom-kleinen-kanzler"
"Aufräumen unter den Erblasten: Die junge Frau von Helmut Kohl |","1991.38.2823","1991-09-13","DIE ZEIT, Aufräumen unter den Erblasten, Angela Merkel, Helmut Kohl, CDU, Rita Süssmuth, Volker Rühe, Günther Krause, Lothar de Maizière , Ronald Reagan, Wolfgang Schäuble, Alfred Gomolka, DDR, Bonn, Kalifornien, Rügen","http://www.zeit.de/1991/38/die-junge-frau-von-helmut-kohl"
"KOLUMNE: Das gesprochene Wort |","1991.38.2824","1991-09-13","DIE ZEIT, KOLUMNE, Björn Engholm, Boris Jelzin, SPD, Egon Bahr, Natur, Ostdeutschland, Putsch, Rhetorik, Verpackung, Sowjetunion, Bonn, Osteuropa","http://www.zeit.de/1991/38/das-gesprochene-wort"
"Das Jahr nach der Wiedervereinigung hat viele Ostdeutsche in Resignation gestürzt. Auch im Westen scheinen manche der verlorengegangenen „System-Alternative“ nachzutrauern. ZEIT-Autor Richard Schröder zeichnet die Irrtümer nach, die zu diesem doppelten Einigungsschock geführt haben.: Was war verkehrt an diesem Sozialismus? |","1991.38.2825","1991-09-13","DIE ZEIT, Das Jahr nach der Wiedervereinigung hat viele Ostdeutsche in Resignation gestürzt. Auch im Westen scheinen manche der verlorengegangenen „System-Alternative“ nachzutrauern. ZEIT-Autor Richard Schröder zeichnet die Irrtümer nach, die zu diesem doppelten Einigungsschock geführt haben., Wiedervereinigung, DDR, Kapitalismus, Revolution, Richard Schröder, Sozialismus, Europa, Osteuropa","http://www.zeit.de/1991/38/was-war-verkehrt-an-diesem-sozialismus"
"Nachlese: Referendum in Mazedonien: Souveräne Provinz |","1991.38.2826","1991-09-13","DIE ZEIT, Nachlese: Referendum in Mazedonien, Mazedonien, Konflikt, Krieg, Provinz, Selbständigkeit, Souveränität, Jugoslawien, Skopje, Belgrad","http://www.zeit.de/1991/38/souveraene-provinz"
"Weltbühne: Wind aus dem Osten |","1991.38.2827","1991-09-13","DIE ZEIT, Weltbühne, Boris Jelzin, Spanien, Frankreich, Jugoslawien, Litauen, Portugal, Rumänien, Ungarn, Weißrussland, Katalonien, Barcelona, Baskenland, Brüssel, Europa, Pyrenäen","http://www.zeit.de/1991/38/wind-aus-dem-osten"
"Zeitspiegel |","1991.38.2828","1991-09-13","DIE ZEIT, , Carl-Dieter Spranger, Saddam Hussein, Axel Caesar Springer, Bürokratie, Golfkrieg, Lebenslauf, Aufklärung, Haushalt, Jemen, Hamburg, Salzburg, Sanaa","http://www.zeit.de/1991/38/zeitspiegel"
"Schweden vor der Reichstagswahl: Ein Modell wird ausgemustert |","1991.38.2829","1991-09-13","DIE ZEIT, Schweden vor der Reichstagswahl, Ingvar Carlsson, Grüne, Schweden, Carl Bildt, Wald, Stockholm, Brüssel, Jerusalem, Moskau","http://www.zeit.de/1991/38/ein-modell-wird-ausgemustert"
"Der Bürgerkrieg zwischen Serben und Kroaten gewinnt an Schärfe. Die EG vermittelt aber greift nicht ein. Was soll sie tun? Was muß sie unterlassen?: Europas jugoslawische Zwickmühle |","1991.38.2830","1991-09-13","DIE ZEIT, Der Bürgerkrieg zwischen Serben und Kroaten gewinnt an Schärfe. Die EG vermittelt aber greift nicht ein. Was soll sie tun? Was muß sie unterlassen?, Bürgerkrieg, Jugoslawien, Kroatien, DDR, Konflikt, Minderheit, Slowenien, Sowjetunion, Völkerrecht, Kosovo, Mazedonien, Serbien, USA, Ungarn, Paris, Kuwait, Osteuropa","http://www.zeit.de/1991/38/europas-jugoslawische-zwickmuehle"
"Im Nacken |","1991.38.2831","1991-09-13","DIE ZEIT, , Bundeskanzleramt, Alexander Schalck-Golodkowski, Republik, Talkshow, Pullach","http://www.zeit.de/1991/38/im-nacken"
"Rückblick: Verfassungsmodell für Südafrika: Abschied von der Allmacht |","1991.38.2832","1991-09-13","DIE ZEIT, Rückblick: Verfassungsmodell für Südafrika, Südafrika, ANC, Demokratie, Katastrophe, Minderheit, Parlament, Präsident, Revolution, Steuer, Verfassung, Wahl, Wunder","http://www.zeit.de/1991/38/abschied-von-der-allmacht"
"In Miami steht der gestürzte Diktator Manuel Noriega wegen Rauschgifthandels vor Gericht. Der Prozeß gegen den Mann aus Panama könnte ein dunkles Kapitel der amerikanischen Außenpolitik erhellen.: Die Asse des Agenten |","1991.38.2833","1991-09-13","DIE ZEIT, In Miami steht der gestürzte Diktator Manuel Noriega wegen Rauschgifthandels vor Gericht. Der Prozeß gegen den Mann aus Panama könnte ein dunkles Kapitel der amerikanischen Außenpolitik erhellen., George W.  Bush, Außenpolitik, Prozess, Fidel Castro, Miami, Panama, Drogenhandel, Rechtsanwalt, Staatsanwaltschaft, Nicaragua, USA, Washington D.C","http://www.zeit.de/1991/38/die-asse-des-agenten"
"Vorschau auf den politischen Herbst: Keiner will genickt haben |","1991.38.2834","1991-09-13","DIE ZEIT, Vorschau auf den politischen Herbst, Helmut Kohl, Wolfgang Schäuble, Björn Engholm, Heiner Geißler, CDU, SPD, Alfred Dregger, Erwin Teufel, FDP, Hans-Jochen Vogel, Rita Süssmuth, Volker Rühe, Herbst, Lothar de Maizière, Bonn, Europa","http://www.zeit.de/1991/38/keiner-will-genickt-haben"
"Bonner Bühne: Schalck im Turm |","1991.38.2835","1991-09-13","DIE ZEIT, Bonner Bühne, Edmund Stoiber, Horst Eylmann, Bühne, Joachim Gauck, Alexander Schalck-Golodkowski, Erich Böhme, Max Strauß, Bundesnachrichtendienst, Andreas von Bülow, Innenminister, Privatsender, Rechtsanwalt, Vermarktung, Bayern, Tegernsee","http://www.zeit.de/1991/38/schalck-im-turm"
"Kleinlich |","1991.38.2836","1991-09-13","DIE ZEIT, , Avantgarde, Dollar, Europäische Gemeinschaft, Export, Fleisch, Glaube, Kredit, Textilie, Frankreich, Polen, Portugal, Tschechoslowakei, Ungarn, Brüssel, Osteuropa","http://www.zeit.de/1991/38/kleinlich"
"Alte Bundesländer: Egoistisch |","1991.38.2837","1991-09-13","DIE ZEIT, Alte Bundesländer, Alte, Ernst Albrecht, Geld, Widerstand, Bundesländer, Baden-Württemberg","http://www.zeit.de/1991/38/egoistisch"
"Thomas Hanke:: Gläubiger in der Pflicht |","1991.38.2838","1991-09-13","DIE ZEIT, Thomas Hanke:, Hilmar Kopper, Horst Köhler, Roland Dumas, Polen, Rubel, Sowjetunion, Urknall, Währung, Brüssel, Dresden, Osteuropa, Riga, Washington D.C., Westeuropa","http://www.zeit.de/1991/38/glaeubiger-in-der-pflicht"
"Bonner Kulisse |","1991.38.2839","1991-09-13","DIE ZEIT, , Franz Josef Strauß, Helmut Kohl, Max Streibl, Bundesnachrichtendienst, DDR, Ministerium für Staatssicherheit, Untersuchungsausschuss, Verfassungsschutz, Spanien, Togo","http://www.zeit.de/1991/38/bonner-kulisse"
"Europäische Währungsunion: Kritisch |","1991.38.2840","1991-09-13","DIE ZEIT, Europäische Währungsunion, Bundesregierung, Währungsunion, Geburt, Geld, Staatsdefizit, Vertrag, Währung, Währungspolitik, Dänemark, Europäische Währungsunion, Frankreich, Europa","http://www.zeit.de/1991/38/kritisch"
"Mark-Report: Bankaktien unter Druck |","1991.38.2841","1991-09-13","DIE ZEIT, Mark-Report, Abschreibung, Bank, Eigentor, Finanzminister, Kredit, Umsatz, Wertpapierhandel, Großbritannien, Sowjetunion, USA, London","http://www.zeit.de/1991/38/bankaktien-unter-druck"
