"title","number","date","keywords","link"
"Rückblick: Verhandlungen über Nordirland: Aller Anfang ist schwer |","1991.20.2277","1991-05-10","DIE ZEIT, Rückblick: Verhandlungen über Nordirland, Ian Paisley, Nordirland, Frieden, Island, Provinz, Vorwerk, Irland, Belfast, Dublin, London, Straßburg","http://www.zeit.de/1991/20/aller-anfang-ist-schwer"
"Die Spanier kommen |","1991.20.2278","1991-05-10","DIE ZEIT, , Helmut Kohl, CSU, Burg, Bürokratie, Export, Ostdeutschland, Spanien, Ungarn, Lanzarote, Atlantik, Berlin, Bonn, Magdeburg, Ostsee, Pyrenäen, Thüringen, Zwickau","http://www.zeit.de/1991/20/die-spanier-kommen"
"Übersiedler im vereinten Deutschland: Reisen ohne Wiederkehr |","1991.20.2279","1991-05-10","DIE ZEIT, Übersiedler im vereinten Deutschland, Kurt Biedenkopf, Christian Wernicke, D-Mark, DDR, Wiedervereinigung, Berlin, Leipzig, Sachsen, Bonn, Chemnitz, Rheinland, Wuppertal","http://www.zeit.de/1991/20/reisen-ohne-wiederkehr"
"Sturm im bayerischen Maßkrug |","1991.20.2280","1991-05-10","DIE ZEIT, , Theo Waigel, Volker Rühe, CDU, CSU, Edmund Stoiber, Franz Josef Strauß, Helmut Kohl, Max Streibl, Gerold Tandler, DDR, Bayern, Bonn, München, Sachsen, Karlsruhe, Rheinland-Pfalz, Thüringen","http://www.zeit.de/1991/20/sturm-im-bayerischen-masskrug"
"Am Ende das Chaos |","1991.20.2281","1991-05-10","DIE ZEIT, , Alter, Armut, Bevölkerungswachstum, Chaos, Energie, Entwicklungshilfe, Entwicklungsland, Fundamentalismus, Geburt, Generation, Planet, Umwelt, Bangladesch, Pakistan","http://www.zeit.de/1991/20/am-ende-das-chaos"
"Bonner Bühne: Wie im richtigen Leben |","1991.20.2282","1991-05-10","DIE ZEIT, Bonner Bühne, Hans-Dietrich Genscher, Bühne, CDU, Kurt Biedenkopf, FAZ, Helmut Kohl, Alfred Dregger, Auswärtiges Amt, Rita Süssmuth, Bundeskanzler, Jürgen Leinemann, Kanzleramt, Linde, Stern, Berlin, Bonn, Koblenz, Köln, Rhein","http://www.zeit.de/1991/20/wie-im-richtigen-leben"
"Ben Witter: Angetippt |","1991.20.2283","1991-05-10","DIE ZEIT, Ben Witter, Alliierte, Archiv, Ben Witter, Galerie, Berlin, Bonn, Europa, Rhein, Spree, Weimar","http://www.zeit.de/1991/20/angetippt"
"Nachlese: Kriegsverbrecher in Großbritannien: Ein dunkles Kapitel |","1991.20.2284","1991-05-10","DIE ZEIT, Nachlese: Kriegsverbrecher in Großbritannien, Großbritannien, Edward Heath, Arbeit, Geheimdienst, Geschichte, Krieg, Prozess, Reform, Verhaftung, Weltkrieg, Widerstand, Sowjetunion","http://www.zeit.de/1991/20/ein-dunkles-kapitel"
"François Mitterrand regiert seit zehn Jahren: Vom Präsidenten zum Patriarchen |","1991.20.2285","1991-05-10","DIE ZEIT, François Mitterrand regiert seit zehn Jahren, François Mitterrand, SPD, Frankreich, Edouard Balladur, Michel Rocard, Präsident, Verstaatlichung, Portugal, Spanien, USA, Brüssel, Europa","http://www.zeit.de/1991/20/vom-praesidenten-zum-patriarchen"
"Nach der Sturmflut: Ein Land geht unter |","1991.20.2286","1991-05-10","DIE ZEIT, Nach der Sturmflut, Bangladesch, Henry Kissinger, Meeresspiegel, Wasser, Weltbank, Wirbelsturm, China, Hongkong, Indien, Niederlande, Pakistan, USA, Amazonas, Dhaka, Hiroshima","http://www.zeit.de/1991/20/ein-land-geht-unter"
"Kommunalwahlen in England und Wales: Zweideutige Botschaft |","1991.20.2287","1991-05-10","DIE ZEIT, Kommunalwahlen in England und Wales, England, John Major, Margaret Thatcher, Botschaft, Tony Blair, Wales, Gordon Brown, Chris Patten, John Smith, Kommunalwahl, Labour Partei, Minderheitsregierung, Neil Kinnock, Parlamentswahl, Stadt, Verhältniswahlrecht, Großbritannien, London","http://www.zeit.de/1991/20/zweideutige-botschaft"
