"title","number","date","keywords","link"
"Die Wahl schon vorher verloren |","1990.49.1516","1990-11-30","DIE ZEIT, , Wahl, Angelika Barbe, CDU, Gregor Gysi, Grüne, SPD, Renate Schmidt, Bundesfamilienministerium, Bundestag, DDR, Gleichberechtigung, Wahlkampf, Brandenburg, Nordrhein-Westfalen, Sachsen, Thüringen","http://www.zeit.de/1990/49/die-wahl-schon-vorher-verloren"
"Wenig Erfahrung; kaum Mitarbeiter und kein Dach über dem Kopf: In Sachsen-Anhalt nimmt das Kabinett seine Arbeit auf: Ein Neuanfang am Nullpunkt |","1990.49.1517","1990-11-30","DIE ZEIT, Wenig Erfahrung; kaum Mitarbeiter und kein Dach über dem Kopf: In Sachsen-Anhalt nimmt das Kabinett seine Arbeit auf, Arbeit, CDU, FDP, Sachsen-Anhalt, Finanzministerium, Volker Rühe, Christian Wernicke, Kabinett, Landtag, Ministerpräsident, Hannover, Magdeburg, Niedersachsen, Sachsen","http://www.zeit.de/1990/49/ein-neuanfang-am-nullpunkt"
"Der Kandidat, der aus der Fremde kam |","1990.49.1518","1990-11-30","DIE ZEIT, , Lech Wa??sa, Tadeusz Mazowiecki, Polen, Hewlett-Packard, Kanada, Peru, Übersee, Schweden, Warschau, Europa, Lima, Toronto","http://www.zeit.de/1990/49/der-kandidat-der-aus-der-freunde-kam"
"Rückblick: Bulgarien: Leere Kochtöpfe |","1990.49.1519","1990-11-30","DIE ZEIT, Rückblick: Bulgarien, Bulgarien, Benzin, Bürgerkrieg, Chaos, Demonstration, Diktatur, Inflation, Verteidigungsminister, Sofia","http://www.zeit.de/1990/49/leere-kochtoepfe"
"Im Osten auf verlorenem Posten |","1990.49.1520","1990-11-30","DIE ZEIT, , Theo Waigel, CSU, CDU, Bundesliga, Franz Josef Strauß, Fußball, Grüne, TSV 1860 München, DDR, Erich Riedl, Ostdeutschland, Bayern, Bad Segeberg, Bonn, Leipzig, München, Sachsen","http://www.zeit.de/1990/49/im-osten-auf-verlorenem-posten"
"Die Deutschen schaffen ihren Nationalstaat neu. Die Furcht, daß sie die Fehler der Vergangenheit wiederholen, ist unbegründet: Die Bundesrepublik wird ein ganz normaler Staat.: Mit dem Segen der Nachbarn |","1990.49.1521","1990-11-30","DIE ZEIT, Die Deutschen schaffen ihren Nationalstaat neu. Die Furcht, daß sie die Fehler der Vergangenheit wiederholen, ist unbegründet: Die Bundesrepublik wird ein ganz normaler Staat., Hans-Ulrich Wehler, Christian Meier, DDR, Eberhard Jäckel, Europäische Gemeinschaft, Geschichte, Nationalismus, Bundesrepublik Deutschland, England, Europa, MIT, Russland, Hagen, Mitteleuropa, Paris, St. Petersburg","http://www.zeit.de/1990/49/mit-dem-segen-der-nachbarn"
"Worte der Woche |","1990.49.1522","1990-11-30","DIE ZEIT, , Margaret Thatcher, George W.  Bush, Grüne, Michail Gorbatschow, Saddam Hussein, Antje Vollmer, Frieden, Golf, Ministerpräsident, Neil Kinnock, Parkinson, Parlamentswahl, Premierminister, Präsidentschaftskandidat, Tadeusz Mazowiecki, Vereinte Nationen, Verkehrsminister, Afghanistan, Großbritannien, Saudi Arabien, Vietnam, Kuwait","http://www.zeit.de/1990/49/worte-der-woche"
"Nachlese: Golfkrise: Deutsche Widersprüche |","1990.49.1523","1990-11-30","DIE ZEIT, Nachlese: Golfkrise, Bundesregierung, Grüne, Saddam Hussein, Militär, Recht, Bundestagswahl, Bundeswehr, Golf, Grundgesetz, Parteitag, Rüstungsindustrie, Soldat, Staatsanwaltschaft, Vereinte Nationen, Verfassungsänderung, Verkehr, Bagdad","http://www.zeit.de/1990/49/deutsche-widersprueche"
"Zeitspiegel |","1990.49.1524","1990-11-30","DIE ZEIT, , Gerd Bucerius, Agrarpolitik, Bumerang, Flugzeugträger, Wüste, Libyen, Neu-Delhi","http://www.zeit.de/1990/49/zeitspiegel"
"Der Kandidat in der Gegenwelt |","1990.49.1525","1990-11-30","DIE ZEIT, , Helmut Kohl, Oskar Lafontaine, Antje Vollmer, Hans-Jochen Vogel, Helmut Schmidt, SPD, Grüne, Theo Waigel, Willy Brandt, DDR, Humphrey Bogart, Kanzleramt, Siegen","http://www.zeit.de/1990/49/der-kandidat-in-der-gegenwelt"
"Präsidentschaftswahlen in Polen: Nach dem ersten Wahlgang stellt sich Ernüchterung ein: Ein heilsamer Schock für die Elite? |","1990.49.1526","1990-11-30","DIE ZEIT, Präsidentschaftswahlen in Polen: Nach dem ersten Wahlgang stellt sich Ernüchterung ein, Lech Wa??sa, Tadeusz Mazowiecki, Adam Michnik, Phoenix, Polen, Ralf Dahrendorf, Bronis?aw Geremek, Demokratie, Regierungschef, Stichwahl, Kanada, Osteuropa, Warschau","http://www.zeit.de/1990/49/ein-heilsamer-schock-fuer-die-elite"
"Eine Träne für die Lady |","1990.49.1527","1990-11-30","DIE ZEIT, , Margaret Thatcher, Oskar Lafontaine, Bühne, Falklandinseln, Hygiene, England, Großbritannien, Europa","http://www.zeit.de/1990/49/eine-traene-fuer-die-lady"
"Bonner Bühne: Lauter blaue Wunder |","1990.49.1528","1990-11-30","DIE ZEIT, Bonner Bühne, Bühne, Grüne, Helmut Kohl, Wunder, Rita Süssmuth, Ballett, Dagmar Enkelmann, Feiertag, PDS, Wahl, Rumänien, Bonn, Berlin, Rhein","http://www.zeit.de/1990/49/lauter-blaue-wunder"
"Produktive Unruhe im hohen Amt |","1990.49.1529","1990-11-30","Politik, , Rita Süssmuth, CDU, Heiner Geißler, Alfred Dregger, CDU Präsidium, Bundestag, Direktmandat, Drogenpolitik, Kanzleramt, Philipp Jenninger, Reichspogromnacht, Volkskammer, Göttingen","http://www.zeit.de/1990/49/produktive-unruhe-im-hohen-amt"
"Nach den Intrigen bei den britischen Konservativen: John Major zieht als Überraschungssieger in Downing Street ein: Maggies letzter Coup |","1990.49.1530","1990-11-30","DIE ZEIT, Nach den Intrigen bei den britischen Konservativen: John Major zieht als Überraschungssieger in Downing Street ein, Margaret Thatcher, John Major, Michael Heseltine, Drama, Neil Kinnock, Europa, Brüssel, Cambridge, London","http://www.zeit.de/1990/49/maggies-letzter-coup"
"Weltbühne: Erntedank in der Wüste |","1990.49.1531","1990-11-30","DIE ZEIT, Weltbühne, George W.  Bush, Saddam Hussein, Wüste, UN-Sicherheitsrat, Diplomat, Hosni Mubarak, Präsident, Resolution, Vereinte Nationen, Irak, Israel, Jemen, Bern, Europa, Kuwait, Washington D.C","http://www.zeit.de/1990/49/erntedank-in-der-wueste"
"Erste Bundestagswahl in Berlin - aber wenig Anlaß zur Freude: Alle Probleme des deutschen Zusammenwachsens spitzen sich in der Hauptstadt zu: Die schwere Bürde der Einheit |","1990.49.1532","1990-11-30","Politik, Erste Bundestagswahl in Berlin - aber wenig Anlaß zur Freude: Alle Probleme des deutschen Zusammenwachsens spitzen sich in der Hauptstadt zu, Berlin, Bundestagswahl, Hauptstadt, CDU, Oskar Lafontaine, Abgeordnetenhaus, Dieter Schröder, Staatssekretär, Ostberlin, Bonn, Frankfurt am Main, Berlin","http://www.zeit.de/1990/49/die-schwere-buerde-der-einheit"
"Mitbestimmung bei Churrasco: Hundert Prozesse – und kein Ende |","1990.49.1533","1990-11-30","DIE ZEIT, Mitbestimmung bei Churrasco, BMW, Mitbestimmung, Arbeitsvertrag, Betriebsrat, Jura, Bayern, München","http://www.zeit.de/1990/49/hundert-prozesse-und-kein-ende"
"Hohner: Aus dem Takt geraten |","1990.49.1534","1990-11-30","DIE ZEIT, Hohner, Paul Hindemith, Schwarzwald, Japan, Schwaben, Stuttgart","http://www.zeit.de/1990/49/aus-dem-takt-geraten"
"Frankreich: Nach dem großen Fressen |","1990.49.1535","1990-11-30","DIE ZEIT, Frankreich, Frankreich, Michelin, Adidas, Volvo, Bridgestone, Unternehmen, Übernahme, Paris","http://www.zeit.de/1990/49/nach-dem-grossen-fressen"
"Spanien: Ende der Fiesta |","1990.49.1536","1990-11-30","DIE ZEIT, Spanien, Spanien, Saddam Hussein, Siemens AG, Energiepolitik, Kernkraftwerk, Volker Mauersberger, Iran, Bagdad, Barcelona, Baskenland, Galicien, Katalonien, Kuwait, Madrid, Pyrenäen","http://www.zeit.de/1990/49/ende-der-fiesta"
"Italien: Aufstand des Familienclans |","1990.49.1537","1990-11-30","DIE ZEIT, Italien, Italien, Carlo de Benedetti, Giovanni Agnelli, Joint-Venture","http://www.zeit.de/1990/49/aufstand-des-familienclans"
"Affäre: „Der blanke Rassismus“ |","1990.49.1538","1990-11-30","DIE ZEIT, Affäre, Hautfarbe, Statistisches Bundesamt, Verbraucherzentrale, Winterthur, Bonn, Hamburg, München","http://www.zeit.de/1990/49/der-blanke-rassismus"
"Die Protektionisten sind Sie! |","1990.49.1539","1990-11-30","Wirtschaft, , George W.  Bush, Film, Agrarprodukt, Depression, Export, Fernsehen, Handel, Import, Protektionismus, Wahl, Europa, Brüssel","http://www.zeit.de/1990/49/die-protektionisten-sind-sie"
"Verkehrspolitik: Zurück zum Asphalt |","1990.49.1540","1990-11-30","DIE ZEIT, Verkehrspolitik, Helmut Kohl, Friedrich Zimmermann, Dieter Schulte, Autobahn, Bundesverkehrsministerium, DDR, Schienenweg, Spanien, Verkehr, Berlin, Bonn, Danzig","http://www.zeit.de/1990/49/zurueck-zum-asphalt"
