"title","number","date","keywords","link"
"Flüchtlingselend in Nagornyj-Karabach: Geiseln des Krieges |","1992.36.4429","1992-08-28","DIE ZEIT, Flüchtlingselend in Nagornyj-Karabach, Bevölkerung, Flüchtling, Rubel, Armenien, Aserbaidschan, Bus, Luftwaffe, Nahrungsmittel, Parlament, Premierminister, Regierung, Baku","http://www.zeit.de/1992/36/geiseln-des-krieges"
"Die Frauen aus Ost und West streiten über eine Reform des Grundgesetzes: Auf der anderen Insel |","1992.36.4430","1992-08-28","DIE ZEIT, Die Frauen aus Ost und West streiten über eine Reform des Grundgesetzes, Ulla Schmidt, DDR, Gleichstellung, Grundgesetz, Justizsenator, Renate Schmidt, Reform, Bonn, Halle an der Saale","http://www.zeit.de/1992/36/auf-der-anderen-insel"
"Zumindest die Bundeswehr hat die Wiedervereinigung erfolgreich vollzogen: Eine Eroberung im Frieden |","1992.36.4431","1992-08-28","DIE ZEIT, Zumindest die Bundeswehr hat die Wiedervereinigung erfolgreich vollzogen, Bundeswehr, Frieden, Jörg Schönbohm, Wiedervereinigung, Verteidigungsministerium, DDR, Soldat, Jugoslawien, Türkei, Berlin, Bonn, Koblenz, Leipzig","http://www.zeit.de/1992/36/eine-eroberung-im-frieden"
"Worte der Woche |","1992.36.4432","1992-08-28","DIE ZEIT, , Erich Honecker, CDU, George W.  Bush, Helmut Kohl, Michail Gorbatschow, Wolfgang Schäuble, Boris Jelzin, Volker Rühe, Auszeichnung, Bundeskanzler, Dan Quayle, Gefängnis, Präsident, Religion, Bosnien und Herzegowina, Schweiz, Mecklenburg-Vorpommern, Rostock","http://www.zeit.de/1992/36/worte-der-woche"
"In Bosnien wird gekämpft und gemordet, Belgrad hingegen ist eine Oase des Friedens: Frohlocken der Geächteten |","1992.36.4433","1992-08-28","DIE ZEIT, In Bosnien wird gekämpft und gemordet, Belgrad hingegen ist eine Oase des Friedens, Slobodan Miloševic, Belgrad, Bosnien und Herzegowina, Serbien, Diplomat, Sanktion, Vereinte Nationen, Bosnien und Herzegowina, Mazedonien, Rumänien, Balkan","http://www.zeit.de/1992/36/frohlocken-der-geaechteten"
"Deutsche Soldaten in Kambodscha: erstmals bei einer UN-Friedensmission: Praktikum am Mekong |","1992.36.4434","1992-08-28","DIE ZEIT, Deutsche Soldaten in Kambodscha: erstmals bei einer UN-Friedensmission, Bundesregierung, Kambodscha, Vereinte Nationen, Chirurgie, Mekong, Phnom Penh, Thailand, Bonn, München, Südostasien","http://www.zeit.de/1992/36/praktikum-am-mekong"
"Kroatien hat 330 000 Flüchtlinge aufgenommen. Die junge Republik ist überfordert: Nicht erwünscht, nur geduldet |","1992.36.4435","1992-08-28","DIE ZEIT, Kroatien hat 330 000 Flüchtlinge aufgenommen. Die junge Republik ist überfordert, Kroatien, Bosnien und Herzegowina, Roma, Jugoslawien, Republik, Zagreb, Split","http://www.zeit.de/1992/36/nicht-erwuenscht-nur-geduldet"
"Zeitspiegel |","1992.36.4436","1992-08-28","DIE ZEIT, , Bundesregierung, Helmut Kohl, Martin Bangemann, Bier, Europäischer Gerichtshof, Mafia, Nachfolge, Volker Hage, Wasser, Weltall, Litauen, Polen, Baltikum","http://www.zeit.de/1992/36/zeitspiegel"
"Ende der Ferienzeit, Bonn erwartet ein heißer Herbst. Die SPD bewegt sich, die FDP streitet, die CDU schweigt: Die Suche nach neuen Gewißheiten |","1992.36.4437","1992-08-28","DIE ZEIT, Ende der Ferienzeit, Bonn erwartet ein heißer Herbst. Die SPD bewegt sich, die FDP streitet, die CDU schweigt, Helmut Kohl, Norbert Blüm, Björn Engholm, Bonn, CDU, FDP, Klaus Kinkel, Otto Graf Lambsdorff, SPD, Manfred Kanther, Volker Rühe, Sicherheitsrat, Vereinte Nationen, Asylrecht, Bundeswehreinsatz, Ostdeutschland, Parteitag, Rostock, Europa","http://www.zeit.de/1992/36/die-suche-nach-neuen-gewissheiten"
"ZEIT-Interview mit dem serbischen Ministerpräsidenten Milan Panic: „Diese Verbrecher hören auf niemanden“ |","1992.36.4438","1992-08-28","DIE ZEIT, ZEIT-Interview mit dem serbischen Ministerpräsidenten Milan Panic, Bosnien und Herzegowina, Akademie der Wissenschaften, Expansion, Kosovo, Selbstbestimmung, Souveränität, Umfrage, Vereinte Nationen, Verstaatlichung, Jugoslawien, Kroatien, MIT, Verbrechen, Balkan, Sarajevo, Europa, London, Los Angeles, Westeuropa","http://www.zeit.de/1992/36/diese-verbrecher-hoeren-auf-niemanden"
"Terror gegen Ausländer unter dem Beifall der Bürger: Die Schreckensnächte von Rostock: ,,Endlich is’ hier was los, Schnucki“ |","1992.36.4439","1992-08-28","DIE ZEIT, Terror gegen Ausländer unter dem Beifall der Bürger: Die Schreckensnächte von Rostock, Ausländer, Rostock, Feuerwehr, Polizei, Schwerin, Rumänien, Baden-Baden, Berlin, Hamburg, München, Nordrhein-Westfalen, Sachsen, Warnemünde","http://www.zeit.de/1992/36/endlich-is-hier-was-los-schnucki"
