"title","number","date","keywords","link"
"Eigene Währung? |","1992.19.3943","1992-05-01","DIE ZEIT, , Finanzen, Armutsgrenze, D-Mark, Oberbürgermeister, Privatisierung, Region, Rubel, Sozialamt, Stadtplanung, Verwaltung, Währung, Dresden, Kiel, Schleswig-Holstein","http://www.zeit.de/1992/19/eigene-waehrung"
"Ohne Haß und Rache |","1992.19.3944","1992-05-01","DIE ZEIT, , Bundesregierung, Klaus Kinkel, Atmosphäre, Brief, Bundeskriminalamt, Dissident, Gericht, Straftäter, Terrorbekämpfung, Verfassungsschutz, Widerstand","http://www.zeit.de/1992/19/ohne-hass-und-rache"
"Auswüchse des Verdachts |","1992.19.3945","1992-05-01","DIE ZEIT, , Joachim Gauck, Johannes Rau, Bewährungsstrafe, Erich Mielke, Ernst Benda, Karfreitag, Presse, Stasi, Werbung, Sowjetunion, Potsdam","http://www.zeit.de/1992/19/auswuechse-des-verdachts"
"Offene Türen |","1992.19.3946","1992-05-01","DIE ZEIT, , Immanuel Kant, Marion Gräfin Dönhoff, Fischfang, Führungskraft, Lloyd-Werft, Ostpreußen, Putsch, Weltbank, Russland, Baltikum, Bonn, Bremen","http://www.zeit.de/1992/19/offene-tueren"
"Zukunft: Hafen |","1992.19.3947","1992-05-01","DIE ZEIT, , Bundesregierung, Hafen, Lloyd-Werft, Polen, Region, Weltbank, Litauen, Russland, Moskau, Bremerhaven, Europa","http://www.zeit.de/1992/19/zukunft-hafen"
"Der Abgang des Außenministers zeigt Helmut Kohl die Grenzen seiner Macht: „Das ist eine andere Regierung“ |","1992.19.3948","1992-05-01","DIE ZEIT, Der Abgang des Außenministers zeigt Helmut Kohl die Grenzen seiner Macht, Hans-Dietrich Genscher, Helmut Kohl, Heiner Geißler, Volker Rühe, CDU, Irmgard Schwaetzer, Hermann Otto Solms, Klaus Kinkel, Otto Graf Lambsdorff, SPD, CSU, Björn Engholm, Ostern, Pflegeversicherung, Bonn, Baden-Württemberg","http://www.zeit.de/1992/19/das-ist-eine-andere-regierung"
"In Baden-Württemberg stehen CDU und SPD vor schwierigen Verhandlungen: Flirt mit Grün, Hochzeit mit Rot |","1992.19.3949","1992-05-01","DIE ZEIT, In Baden-Württemberg stehen CDU und SPD vor schwierigen Verhandlungen, CDU, Erwin Teufel, SPD, Grüne, Baden-Württemberg, Hochzeit, NPD, Rezzo Schlauch, Wolfgang Schäuble, Fritz Kuhn, Günther Oettinger, IHK, Matthias Wissmann, Junge Union, Koalitionsverhandlung, Landtag, Ulrich Maurer, MIT","http://www.zeit.de/1992/19/flirt-mit-gruen-hochzeit-mit-rot"
"Worte der Woche |","1992.19.3950","1992-05-01","DIE ZEIT, , Manfred Stolpe, Hans-Dietrich Genscher, Hans-Ulrich Klose, Joachim Gauck, Klaus Kinkel, Bundesaußenminister, Francesco Cossiga, Mahathir Mohamad, Ministerpräsident, Monika Wulf-Mathies, Richard Cheney, Roland Dumas, Schlaf, Umwelt, ÖTV, Brandenburg","http://www.zeit.de/1992/19/worte-der-woche"
"Innenminister, Parteivorsitzender, Außenminister: Jetzt dankt Hans-Dietrich Genscher ab – gerade noch im Zenit seines Ansehens.: Der „Mister Mitte“ der Republik |","1992.19.3951","1992-05-01","DIE ZEIT, Innenminister, Parteivorsitzender, Außenminister: Jetzt dankt Hans-Dietrich Genscher ab – gerade noch im Zenit seines Ansehens., Hans-Dietrich Genscher, Helmut Kohl, Michail Gorbatschow, FDP, Otto Graf Lambsdorff, Gustav Stresemann, Willy Brandt, Martin Bangemann, Thomas Dehler, Außenpolitik, Iran, Republik, Osteuropa, Bonn, Brüssel, Europa, Washington D.C","http://www.zeit.de/1992/19/der-mister-mitte-der-republik"
"Erbwalter der Eidgenossen: Europagegner Christoph Blocher ist der Stern über den Schweizer Stammtischen.: „Wir sind halt das Gegenteil“ |","1992.19.3952","1992-05-01","DIE ZEIT, Erbwalter der Eidgenossen: Europagegner Christoph Blocher ist der Stern über den Schweizer Stammtischen., Christoph Blocher, Stern, Jean Ziegler, Jean-Marie Le Pen, Schweiz, Bundesrat, Jura, Vereinte Nationen, Europa, Zürich","http://www.zeit.de/1992/19/wir-sind-halt-das-gegenteil"
"Irmgard Schwaetzer, die erste deutsche Außenministerin: Spät gestartet, früh am Ziel |","1992.19.3953","1992-05-01","DIE ZEIT, Irmgard Schwaetzer, die erste deutsche Außenministerin, Irmgard Schwaetzer, FDP, CSU, Otto Graf Lambsdorff, Auswärtiges Amt, Boulevardpresse, Bundestag, Gerda Hasselfeldt, Kulturpolitik, Parteispende, Wohnungsbau, Bonn, Brüssel, Europa, Nordrhein-Westfalen, Wiesbaden","http://www.zeit.de/1992/19/spaet-gestartet-frueh-am-ziel"
