"title","number","date","keywords","link"
"Wolfgang Ebert: Ein Quiz zur Währungskrise |","1992.40.4545","1992-09-25","DIE ZEIT, Wolfgang Ebert, Deutsche Bundesbank, Herz, Orkan, Premierminister, Quiz, Stadt, Vertrag, Weltkrieg, England, Wolfgang Ebert, Maastricht","http://www.zeit.de/1992/40/ein-quiz-zur-waehrungskrise"
"Ben Witter: Angetippt |","1992.40.4546","1992-09-25","DIE ZEIT, Ben Witter, Arzt, Ben Witter, Gewalt, Krankenhaus, Krieg, Polizeipräsident, Soldat, Verbrechen, Weltkrieg","http://www.zeit.de/1992/40/angetippt"
"François Mitterrand kann sich über den knappen Sieg in der Maastricht-Abstimmung nicht mehr freuen: Der kranke Mann an der Seine |","1992.40.4547","1992-09-25","DIE ZEIT, François Mitterrand kann sich über den knappen Sieg in der Maastricht-Abstimmung nicht mehr freuen, Jacques Chirac, François Mitterrand, Charles Pasqua, Philippe Séguin, Charles de Gaulle, Frankreich, Elisabeth Guigou, Front National, Minderheitsregierung, Präsident, Ratifizierung, Europa, Jugoslawien, Paris, Korsika","http://www.zeit.de/1992/40/der-kranke-mann-an-der-seine"
"Die Konservativen siegen bei den Wahlen in Estland: Vertrauen in das „Vaterland“ |","1992.40.4548","1992-09-25","DIE ZEIT, Die Konservativen siegen bei den Wahlen in Estland, Arnold Rüütel, Estland, Kinderkrankheit, Parlamentswahl, Präsidentschaftskandidat, Finnland, Siegen, Sowjetunion, Europa, Kalifornien","http://www.zeit.de/1992/40/vertrauen-in-das-vaterland"
"Kursverlust für das Duo von der Downing Street |","1992.40.4549","1992-09-25","DIE ZEIT, , Margaret Thatcher, John Major, Bundesbank, Edward Heath, Großbritannien, Harold Wilson, Leitzins, Michael Heseltine, Ratifizierung, Währung, Dänemark, Europa, Maastricht, Bonn, London, Paris","http://www.zeit.de/1992/40/kursverlust-fuer-das-duo-von-der-downing-street"
"Nach der Abstimmung in Frankreich: Jetzt sind die Deutschen an der Reihe. Doch ihr Ja zu Maastricht ist längst eine abgemachte Sache: Das Buch mit den zwölf Siegeln |","1992.40.4550","1992-09-25","DIE ZEIT, Nach der Abstimmung in Frankreich: Jetzt sind die Deutschen an der Reihe. Doch ihr Ja zu Maastricht ist längst eine abgemachte Sache, Buch, Bundesbank, SPD, Peter Gauweiler, D-Mark, DDR, Grundgesetz, Vertrag, Volksabstimmung, Währungsunion, Europa, Frankreich, MIT, Maastricht, Bonn, Bayern, Berlin, Brüssel, München","http://www.zeit.de/1992/40/das-buch-mit-den-zwoelf-siegeln"
"Wie soll es mit der EG weitergehen? Ein Europäer der ersten Stunde rät:: Notfalls ohne die Bremser |","1992.40.4551","1992-09-25","DIE ZEIT, Wie soll es mit der EG weitergehen? Ein Europäer der ersten Stunde rät:, Jean Monnet, Europäische Union, Autonomie, Avantgarde, Brücke, Europaparlament, Europäische Gemeinschaft, Frieden, Integration, Ratifizierung, Tornado, Vertrag, Waffenstillstand, Wirbelsturm, Europa, MIT, Maastricht, Paris","http://www.zeit.de/1992/40/notfalls-ohne-die-bremser"
"Die Polizisten in Ostdeutschland fühlen sich im Kampf gegen brutale Rechtsextremisten überfordert. Schlecht ausgebildet und ausgerüstet, verteidigen sie einen Staat, der ihnen selbst noch fremd ist: Die Ohnmacht der neuen Ordnung |","1992.40.4552","1992-09-25","DIE ZEIT, Die Polizisten in Ostdeutschland fühlen sich im Kampf gegen brutale Rechtsextremisten überfordert. Schlecht ausgebildet und ausgerüstet, verteidigen sie einen Staat, der ihnen selbst noch fremd ist, Heinz Eggert, Ostdeutschland, Innenministerium, Ausländer, Bundesinnenministerium, DDR, Innenminister, Polizei, Schwerin, Volkspolizei, Brandenburg, Potsdam, Rostock, Sachsen, Elbe, Mecklenburg-Vorpommern, München","http://www.zeit.de/1992/40/die-ohnmacht-der-neuen-ordnung"
"Die Greuel in Bosnien und das hilflose Ausland: Anhörung von Opfern in Frankfurt: Verbrechen, die niemand sühnt |","1992.40.4553","1992-09-25","DIE ZEIT, Die Greuel in Bosnien und das hilflose Ausland: Anhörung von Opfern in Frankfurt, Bosnien und Herzegowina, Flüchtlingslager, Jugoslawien, Soldat, Tadeusz Mazowiecki, Vereinte Nationen, Bosnien und Herzegowina, Kroatien, Serbien, Europa, Frankfurt am Main, Marburg, Warschau, Zagreb","http://www.zeit.de/1992/40/verbrechen-die-niemand-suehnt"
"Papier: Neue Last |","1992.40.4554","1992-09-25","DIE ZEIT, Papier, Botschaft, Recycling, Regierung, Umweltminister, Verlust, Zeitschrift, Zeitung","http://www.zeit.de/1992/40/neue-last"
"Der Verkehrsminister beschleunigt die Planyerfahren: Krauses Coup |","1992.40.4555","1992-09-25","DIE ZEIT, Der Verkehrsminister beschleunigt die Planyerfahren, Günther Krause, Bundesregierung, Verkehrsminister, Parlament, Stendal, Karlsruhe","http://www.zeit.de/1992/40/krauses-coup"
