"title","number","date","keywords","link"
"Massachusetts: Eine Geschichte, nie erzählt |","1992.15.3774","1992-04-03","DIE ZEIT, Massachusetts","http://www.zeit.de/1992/15/eine-geschichte-nie-erzaehlt"
"Massachusetts: Eine Geschichte, nie erzählt |","1992.15.3775","1992-04-03","DIE ZEIT, Massachusetts","http://www.zeit.de/1992/15/eine-geschichte-nie-erzaehlt"
"Zehn Minister, ein Muster |","1992.15.3776","1992-04-03","DIE ZEIT, , Franz Josef Strauß, Gerhard Schröder, Gerhard Stoltenberg, Helmut Schmidt, Georg Leber, Hans Apel, Manfred Wörner, Volker Rühe, George Brown, Intelligenz, Ministerium, Rupert Scholz, Theodor Blank, Verteidigungsminister","http://www.zeit.de/1992/15/zehn-minister-ein-muster"
"Rückblick: Regierungskrise in Brasilien: Die Ministeropfer |","1992.15.3777","1992-04-03","DIE ZEIT, Rückblick: Regierungskrise in Brasilien, Brasilien, Agentur, Außenminister, Bundespolizei, Diplomat, Erziehung, Fernando Collor de Mello, Gesundheit, Hauptstadt, Justizminister, Kabinett, Minister, Präsident, Wirtschaftsminister, Wunder, Regierung, Brasília, New York, São Paulo","http://www.zeit.de/1992/15/die-ministeropferung"
"Helmut Kohl, Kurt Waldheim und der Jüdische Weltkongreß: Das Schwanken als historische Linie |","1992.15.3778","1992-04-03","DIE ZEIT, Helmut Kohl, Kurt Waldheim und der Jüdische Weltkongreß, Helmut Kohl, Kurt Waldheim, Izchak Schamir, Max Streibl, Philipp Jenninger, Buchenwald, DDR, Heinz Galinski, Verbrechen, Österreich, München, Bitburg, Kiel, Stuttgart, Wien","http://www.zeit.de/1992/15/das-schwanken-als-historische-linie"
"KOLUMNE: Warum China? |","1992.15.3779","1992-04-03","DIE ZEIT, KOLUMNE, Helmut Kohl, Deng Xiaoping, Hisbollah, Zhao Ziyang, China, Iran, Ali Akbar Haschemi Rafsandschani, Bischof, Bundeskanzler, Bundestag, DDR, Justizminister, Kommunistische Partei, Kulturrevolution, Wirtschaftsminister, Kambodscha, Sowjetunion, Türkei, Teheran, Madrid, Peking, Warschau","http://www.zeit.de/1992/15/warum-china"
"Die Flamme der Hoffnung verlischt |","1992.15.3780","1992-04-03","DIE ZEIT, , Bundesregierung, Militär, PKK, Ausnahmezustand, Autonomie, Fest, Frühling, Hoffnung, Jugendliche, Sanktion, Türkei, Irak, Ankara, Kurdistan","http://www.zeit.de/1992/15/die-flamme-der-hoffnung-verlischt"
"Streit um den CDU-Fraktionschef im Brandenburger Landtag: Das wilde Kind |","1992.15.3781","1992-04-03","DIE ZEIT, Streit um den CDU-Fraktionschef im Brandenburger Landtag, CDU, Peter-Michael Diestel, Ulf Fink, Landtag, Bärbel Bohley, Helmut Kohl, Christoph Dieckmann, DDR, Brandenburg, Potsdam","http://www.zeit.de/1992/15/das-wilde-kind"
"Die Atom-Erben lassen sich Zeit |","1992.15.3782","1992-04-03","DIE ZEIT, , Hans-Jochen Vogel, Leonid Krawtschuk, Nursultan Nasarbajew, Waffen, Russland, Ukraine, Atomwaffe, Kasachstan, Sowjetunion, China, Jugoslawien, Kiew, Asien, Europa","http://www.zeit.de/1992/15/die-atom-erben-lassen-sich-zeit"
"Protest gegen Amerikas politische Lähmung: Einer steigt aus |","1992.15.3783","1992-04-03","DIE ZEIT, Protest gegen Amerikas politische Lähmung, Protest, Gesundheitswesen, Haushalt, Korruption, Republikaner (USA), Staatsverschuldung, Straßenbau, USA, Veteran","http://www.zeit.de/1992/15/einer-steigt-aus"
"Vor dem Aufbruch in den Wahlkampf: Retter oder Spielverderber? |","1992.15.3784","1992-04-03","DIE ZEIT, Vor dem Aufbruch in den Wahlkampf, George W.  Bush, Ross Perot, Wahlkampf, USA, Handfeuerwaffe, Präsidentschaft, Oder, Dallas, Washington D.C., Alaska, Hanoi, Kalifornien, Ohio, Texas","http://www.zeit.de/1992/15/retter-oder-spielverderber"
"Bonner Bühne: Reden ohne Text |","1992.15.3785","1992-04-03","DIE ZEIT, Bonner Bühne, Helmut Kohl, Lech Wa??sa, Bühne, IHK, Beziehung, Bundespressekonferenz, Epoche, Flagge, Garten, Gedächtnis, Polen, Präsident, Richard Freiherr von Weizsäcker, Solidarnosc, Sprache, Staatsoberhaupt, Verteidigungsminister, Frankreich, Gespräch, Bonn","http://www.zeit.de/1992/15/reden-ohne-text"
