"title","number","date","keywords","link"
"Zwang zum Konsens |","1991.18.2206","1991-04-26","DIE ZEIT, , Helmut Kohl, Bundesregierung, CDU, SPD, Bundesrat, Bundestag, Landtagswahl, Vermittlungsausschuss, Vermögensteuer, Bayern, Berlin, Brandenburg, Bremen, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Thüringen","http://www.zeit.de/1991/18/zwang-zum-konsens"
"Nachlese: Sowjettruppen in Deutschland: Schüsse auf den Major |","1991.18.2207","1991-04-26","DIE ZEIT, Nachlese: Sowjettruppen in Deutschland, Bundesverteidigungsministerium, Recht, DDR, Heer, Ministerium, Soldat, Streitkräfte, Verteidigungsminister, Vertrag, Bundesrepublik Deutschland, Sowjetunion, Bonn, Magdeburg, Sachsen-Anhalt","http://www.zeit.de/1991/18/schuesse-auf-den-major"
"Krisenherde der Welt: Morden in aller Stille |","1991.18.2208","1991-04-26","DIE ZEIT, Krisenherde der Welt, Saddam Hussein, Bürgerkrieg, Minderheit, Resolution, Sri Lanka, Tutsi, Völkerrecht, Afghanistan, Angola, Bangladesch, Burundi, China, Guatemala, Indien, Jugoslawien, Mosambik, Pakistan, Sowjetunion, Kaschmir, Kurdistan, Kuwait","http://www.zeit.de/1991/18/morden-in-aller-stille"
"Sich selber treu geblieben |","1991.18.2209","1991-04-26","DIE ZEIT, , Bundesbank, SPD, Marion Gräfin Dönhoff, Theater, Dirigent, Oper, Regisseur, Schauspieler, Währung, Alter, Student, Hamburg","http://www.zeit.de/1991/18/sich-selber-treu-geblieben"
"GAU – der Größte Anzunehmende Unfall: Kerntechnik im Kommandosystem |","1991.18.2210","1991-04-26","DIE ZEIT, GAU – der Größte Anzunehmende Unfall, Horst Bieber, Sowjetunion, Moskau, Kiew","http://www.zeit.de/1991/18/kerntechnik-im-kommandosystem"
"Wolfgang Ebert: Kohl und ich |","1991.18.2211","1991-04-26","DIE ZEIT, Wolfgang Ebert, Helmut Kohl, Puma, Bundeskanzler, Geburt, Geschichte, Glaube, Golfkrieg, Hut, Katastrophe, Rätsel, Schmerz, Sprache, Verlust, Wolfgang Ebert, Oggersheim, Rheinland-Pfalz","http://www.zeit.de/1991/18/kohl-und-ich"
"Zorn am East River |","1991.18.2212","1991-04-26","DIE ZEIT, , George W.  Bush, Hans-Dietrich Genscher, Vereinte Nationen, Irak, Blauhelm, Bundestag, Diplomat, Duma, Flüchtling, Menschenrechtsverletzung, Resolution, Souveränität, Völkerrecht, New York, Kuwait","http://www.zeit.de/1991/18/zorn-am-east-river"
"Worte der Woche |","1991.18.2213","1991-04-26","DIE ZEIT, , Helmut Kohl, CDU, Hans-Jochen Vogel, George W.  Bush, Norbert Blüm, Theo Waigel, Björn Engholm, Erwin Huber, Heiner Geißler, Manfred Stolpe, Ausnahmezustand, Bundesfinanzminister, Bundeskanzler, Bundeswehrsoldat, Flüchtling, Hans-Otto Wilhelm, Landespolitik, Notwehr, Bonn, Rheinland-Pfalz","http://www.zeit.de/1991/18/worte-der-woche"
"Nach dem Japan-Besuch: Heimkehr in den Überlebenskampf |","1991.18.2214","1991-04-26","DIE ZEIT, Nach dem Japan-Besuch, Michail Gorbatschow, Boris Jelzin, Japan, Sojus, Sowjetunion, tTokyo, Moskau, Weißrussland, Hokkaido, Kiew, Leningrad, Paris, Wladiwostok","http://www.zeit.de/1991/18/heimkehr-in-den-ueberlebenskampf"
"Kein Veto |","1991.18.2215","1991-04-26","DIE ZEIT, , Klaus Kinkel, Bundesregierung, Helmut Kohl, Michail Gorbatschow, Hans Modrow, Roman Herzog, Bodenreform, DDR, Grundgesetz, Lothar de Maizière, Sowjetunion, Wiedervereinigung, Bundesrepublik Deutschland, Karlsruhe, Elbe","http://www.zeit.de/1991/18/kein-veto"
"Mehr Verantwortung tragen?: Der Riese, der ein Zwerg sein möchte |","1991.18.2216","1991-04-26","DIE ZEIT, Mehr Verantwortung tragen?, Hans-Dietrich Genscher, Vereinte Nationen, Rudolf Augstein, Außenpolitik, Eberhard Jäckel, Frankreich, Golf, Rakete, Schweiz, USA, Europa, Großbritannien, Jugoslawien, Schweden, Kuwait, Westeuropa","http://www.zeit.de/1991/18/der-riese-der-ein-zwerg-sein-moechte"
"Wider alle Vorsätze |","1991.18.2217","1991-04-26","DIE ZEIT, , George W.  Bush, Saddam Hussein, Dick Cheney, Vereinte Nationen, Flüchtling, Golfkrieg, Irak, Präsident, Soldat, USA, Vietnam, Kuwait, Washington D.C","http://www.zeit.de/1991/18/wider-alle-vorsaetze"
"Erdrutsch in Rheinland-Pfalz: Zum ersten Mal wurden die Christdemokraten von der Macht verdrängt: Ein Enkel, der es schaffte |","1991.18.2218","1991-04-26","DIE ZEIT, Erdrutsch in Rheinland-Pfalz: Zum ersten Mal wurden die Christdemokraten von der Macht verdrängt, Rudolf Scharping, Gerhard Schröder, Grüne, Hans-Otto Wilhelm, Helmut Kohl, Oskar Lafontaine, SPD, FDP, Hans-Jochen Vogel, CDU, Erdrutsch, Enkel, Mainz, Bonn, Rheinland-Pfalz","http://www.zeit.de/1991/18/ein-enkel-der-es-schaffte"
"KOLUMNE: Geben und Nehmen |","1991.18.2219","1991-04-26","DIE ZEIT, KOLUMNE, Kurt Biedenkopf, DDR, Kanzleramt, Ostdeutschland, Sozialplan, Sozialstaat","http://www.zeit.de/1991/18/geben-und-nehmen"
"Selbst nach der schweren Niederlage von Mainz gibt es in der CDU weder einen Führungsstreit noch eine Strategiedebatte: Ein Kanzler ohne Unterbau |","1991.18.2220","1991-04-26","DIE ZEIT, Selbst nach der schweren Niederlage von Mainz gibt es in der CDU weder einen Führungsstreit noch eine Strategiedebatte, Hans-Dietrich Genscher, Helmut Kohl, Bernhard Vogel, CDU, Heiner Geißler, Theo Waigel, FDP, Hans-Jochen Vogel, Mainz, SPD, Richard Freiherr von Weizsäcker, Ostdeutschland, Berlin, Bonn, Europa, Rheinland-Pfalz, Wiesbaden","http://www.zeit.de/1991/18/ein-kanzler-ohne-unterbau"
"„Willkommen im Lager des Grauens“ |","1991.18.2221","1991-04-26","DIE ZEIT, , Bundeswehr, Trinkwasser, Irak","http://www.zeit.de/1991/18/willkommen-im-lager-des-grauens"
"Der Kanzler hat sich für Berlin als Regierungssitz ausgesprochen. Die Debatte geht weiter.: Alle lieben Berlin... |","1991.18.2222","1991-04-26","DIE ZEIT, Der Kanzler hat sich für Berlin als Regierungssitz ausgesprochen. Die Debatte geht weiter., Berlin, Debatte, Gerhart Baum, Otto Graf Lambsdorff, DDR, Ludwig Thoma, Bayern, Europa, München, Nordrhein-Westfalen, Rhein, Weimar","http://www.zeit.de/1991/18/alle-lieben-berlin"
"Zeitspiegel |","1991.18.2223","1991-04-26","DIE ZEIT, , Michail Gorbatschow, Idol, Miete, Mohammed, Monitor, Suharto, Zeitung, Nepal, Kathmandu","http://www.zeit.de/1991/18/zeitspiegel"
"Rückblick: Prozeß gegen Walter Janka: Was geschah wirklich? |","1991.18.2224","1991-04-26","DIE ZEIT, Rückblick: Prozeß gegen Walter Janka, Wolfgang Harich, Prozess, SPD, DDR, Geheimdienst, Landgericht, Berlin","http://www.zeit.de/1991/18/was-geschah-wirklich"
"Bonner Bühne: Neues über Bitburg |","1991.18.2225","1991-04-26","DIE ZEIT, Bonner Bühne, Ronald Reagan, Bühne, Horst Teltschik, Brief, Bundeskanzler, Folter, Ordnungsamt, Waffen-SS, Bitburg, USA","http://www.zeit.de/1991/18/neues-ueber-bitburg"
"Weltbühne: Waldheim und kein Ende |","1991.18.2226","1991-04-26","DIE ZEIT, Weltbühne, Fred Sinowatz, Kurt Waldheim, ÖVP, Bundeskanzler, Franz Vranitzky, Geldstrafe, Helmut Zilk, Verkehrsminister, Volksparteien, Österreich","http://www.zeit.de/1991/18/waldheim-und-kein-ende"
"Deutsche Entwicklungshilfe: Die Karawane zieht weiter |","1991.18.2227","1991-04-26","DIE ZEIT, Deutsche Entwicklungshilfe, Carl-Dieter Spranger, Entwicklungshilfe, Tansania, Entwicklungspolitik, Franken, Weltbank, Kenia, Simbabwe, Afrika, Bonn, Europa, Kilimandscharo","http://www.zeit.de/1991/18/die-karawane-zieht-weiter"
"Wo selbst die Hoffnung stirbt |","1991.18.2228","1991-04-26","DIE ZEIT, , Saddam Hussein, Irak, Golfkrieg, Hoffnung, Intervention, Kambodscha, Libanon, Resolution, Iran, Türkei, Bagdad, Kuwait, Beirut, Europa, Kurdistan","http://www.zeit.de/1991/18/wo-selbst-die-hoffnung-stirbt"
"Der Protest der treuen Wähler |","1991.18.2229","1991-04-26","DIE ZEIT, , CDU, SPD, Bundesregierung, Protest, FDP, Grüne, Bernhard Vogel, Bundesrat, Bundestagswahlkampf, Hans-Otto Wilhelm, Landespolitik, Landtagswahl, Wahl, Rheinland-Pfalz, Baden-Württemberg, Bayern, Bonn, Hessen","http://www.zeit.de/1991/18/der-protest-der-treue-waehler"
"Rudolf Engen: Das neue Grünkohlland |","1991.18.2230","1991-04-26","DIE ZEIT, Rudolf Engen, EMMA, Alliierte, DDR, Fahrrad, Konsum, Märchen, Stress","http://www.zeit.de/1991/18/das-neue-gruenkohlland"
"Klotzen statt kleckern |","1991.18.2231","1991-04-26","DIE ZEIT, , Jürgen Möllemann, Theo Waigel, Wolfgang Schäuble, Airbus, CDU, Heinz Riesenhuber, Finanzamt, Gunnar Uldall, Kurt Faltlhauser","http://www.zeit.de/1991/18/klotzen-statt-kleckern"
"Brasilien: Zurück in die Slums |","1991.18.2232","1991-04-26","DIE ZEIT, Brasilien, Helmut Kohl, Brasilien, Heinz Riesenhuber, Klaus Töpfer, Carl-Dieter Spranger, Entwicklungshilfe, Jürgen Warnke, Regenwald, Umweltminister, Vereinte Nationen, Wald, Brasília, Bundesrepublik Deutschland, Amazonien, Bonn, Rio de Janeiro","http://www.zeit.de/1991/18/zurueck-in-die-slums"
"„Abwicklung“ |","1991.18.2233","1991-04-26","DIE ZEIT, , Arbeitnehmer, Behörde, Brief, DDR, Karriere, Unternehmen","http://www.zeit.de/1991/18/abwicklung"
"Indien: Talfahrt ins Chaos |","1991.18.2234","1991-04-26","DIE ZEIT, Indien, Indien, Internationaler Währungsfonds, Rajiv Gandhi, Regierungschef, tTokyo, Burma, Chaos, Pakistan, Sowjetunion, Südkorea, Neu-Delhi, Washington D.C","http://www.zeit.de/1991/18/talfahrt-ins-chaos"
"Triumpf des Rebellen |","1991.18.2235","1991-04-26","DIE ZEIT, , Bundesregierung, Grüne, Telekom, Telekommunikation, Bundestag, Campus Verlag, Universität Bremen, Frankfurt am Main, New York","http://www.zeit.de/1991/18/triumpf-des-rebellen"
"Armut: Vergessen |","1991.18.2236","1991-04-26","DIE ZEIT, Armut, Armut, Arbeitnehmer, Einkommen, Geld, Ostdeutschland, Statistisches Bundesamt","http://www.zeit.de/1991/18/vergessen"
"Werften: Land unter |","1991.18.2237","1991-04-26","DIE ZEIT, Werften, Norbert Blüm, IG Metall, DDR, Diversifizierung, Treuhandanstalt, Werftindustrie, Mecklenburg-Vorpommern, Schweden, Sowjetunion, Werften, Rostock, Kiel, Stralsund","http://www.zeit.de/1991/18/land-unter"
"Vermögensteuer: Komplex |","1991.18.2238","1991-04-26","DIE ZEIT, Vermögensteuer, Bundesregierung, Björn Engholm, Vermögensteuer, Bundesrat, Gewerbesteuer, Grundstück, Klischee, Reform, Reichtum, Steuer, Vermögen, Rheinland-Pfalz","http://www.zeit.de/1991/18/komplex"
"Bank und Börse: Mieter haben mehr vom Geld |","1991.18.2239","1991-04-26","DIE ZEIT, Bank und Börse, Bank, Börse, Geld, VW, Altersvorsorge, Eigenkapital, Familie, Geldanlage, Miete, Mietvertrag","http://www.zeit.de/1991/18/mieter-haben-mehr-vom-geld"
"Genossenschaften: Ein gefräßiger Zwitter |","1991.18.2240","1991-04-26","DIE ZEIT, Genossenschaften, BMW, CSU, Fiat, Aufsichtsrat, Dorf, Bayern, München","http://www.zeit.de/1991/18/ein-gefraessiger-zwitter"
"Atomindustrie: Teuflische Alternative |","1991.18.2241","1991-04-26","DIE ZEIT, Atomindustrie, SPD, FDP, Atomindustrie, Atomkraft, Erdgas, Erdöl, Helmut Haussmann, Kernenergie, Kernkraftwerk, Reaktor, Stromverbrauch, Treibhauseffekt, Taiwan, Ukraine, Südamerika, Westeuropa","http://www.zeit.de/1991/18/teuflische-alternative"
"Gunhild Lütge:: Verraten und noch nicht verkauft |","1991.18.2242","1991-04-26","DIE ZEIT, Gunhild Lütge:, Theo Waigel, Telekom, Mannesmann, Aufsichtsrat, Fernverkehr, Finanzminister, Mobilfunk, Postbank, Privatisierung, Großbritannien, Rheinland-Pfalz","http://www.zeit.de/1991/18/verraten-und-noch-nicht-verkauft"
"Zum achtzigsten Geburtstag: Ob Karl Schiller SPD wählt? |","1991.18.2243","1991-04-26","DIE ZEIT, Zum achtzigsten Geburtstag, Karl Schiller, Kurt Schumacher, SPD, Willy Brandt, CDU, Ludwig Erhard, Berliner Senat, D-Mark, Dollar, Europäische Gemeinschaft, Universität Hamburg, Währung, Bundesrepublik Deutschland, Niederlande, Berlin, Bremen, Hessen","http://www.zeit.de/1991/18/ob-karl-schiller-spd-waehlt"
