"title","number","date","keywords","link"
"Frühjahrsputz: Ordnung draußen, Ordnung drin |","1991.14.2068","1991-03-29","DIE ZEIT, Frühjahrsputz","http://www.zeit.de/1991/14/ordnung-draussen-ordnung-drin"
"Aufruhr im Irak: Saddam mordet weiter |","1991.14.2069","1991-03-29","DIE ZEIT, Aufruhr im Irak, Saddam Hussein, Irak, Iran, Vereinte Nationen, Israel, Syrien, Türkei, Bagdad, Basra, Kuwait, Kirkuk","http://www.zeit.de/1991/14/saddam-mordet-weiter"
"Europas Politische Union: Es bleibt bei kleinen Schritten |","1991.14.2070","1991-03-29","DIE ZEIT, Europas Politische Union, Bundesregierung, Europäische Gemeinschaft, Impotenz, Souveränität, Vereinte Nationen, Brüssel, Sicherheitspolitik, Europa","http://www.zeit.de/1991/14/es-bleibt-bei-kleinen-schritten"
"Nachlese: Poll tax in Großbritannien: Das Erbe Thatchers |","1991.14.2071","1991-03-29","DIE ZEIT, Nachlese: Poll tax in Großbritannien, Großbritannien, Margaret Thatcher, John Major, Konflikt, Mehrwertsteuer, Parlament, Steuer, Wahl, Wunder, Erbe, Stadt","http://www.zeit.de/1991/14/das-erbe-thatchers"
"Worte der Woche |","1991.14.2072","1991-03-29","DIE ZEIT, , Helmut Kohl, Bundesregierung, George W.  Bush, Hans-Dietrich Genscher, SPD, Björn Engholm, Daniel Cohn-Bendit, Ausdauer, Bundesaußenminister, Demonstration, Golf, Ostdeutschland, Streitkräfte, Irak, USA, Bagdad, Bonn","http://www.zeit.de/1991/14/worte-der-woche"
"Weltbühne: Die Waisen des Ostblocks |","1991.14.2073","1991-03-29","DIE ZEIT, Weltbühne, Nato, Václav Havel, Außenminister, Nato-Generalsekretär, Ostblock, Sowjetunion, Staatsoberhaupt, Tschechoslowakei, USA, Ungarn, Prag, Brüssel, Budapest, Bukarest, Europa, London","http://www.zeit.de/1991/14/die-waisen-des-ostblocks"
"Stuttgarter Affären: Späths bezahlte Politik |","1991.14.2074","1991-03-29","DIE ZEIT, Stuttgarter Affären, Lothar Späth, CDU, Grüne, Reise, DDR, Landesregierung, Nepal, Baden-Württemberg, Stuttgart","http://www.zeit.de/1991/14/spaeths-bezahlte-politik"
"Wut, Glaube und Hoffnung |","1991.14.2075","1991-03-29","DIE ZEIT, , Glaube, Günter Grass, Jesus, Stefan Heym, Wolf Biermann, ABM, Arbeitsbeschaffungsmaßnahme, DDR, Erich Loest, Hoffnung, Kirche, PDS, Leipzig","http://www.zeit.de/1991/14/wut-glaube-und-hoffnung"
"Wolfgang Ebert: Ein dickes Ei |","1991.14.2076","1991-03-29","DIE ZEIT, Wolfgang Ebert, Bundeswehreinsatz, Dschingis Khan, Garten, Golf, Golfkrieg, Palästinenser, Veteran, Waffenruhe, Israel, Wolfgang Ebert, Bagdad","http://www.zeit.de/1991/14/ein-dickes-ei"
"Prozeß gegen Winnie Mandela: Dunkle Schatten auf der Kultfigur |","1991.14.2077","1991-03-29","DIE ZEIT, Prozeß gegen Winnie Mandela, Nelson Mandela, Winnie Madikizela-Mandela, Prozess, ANC, Jugendliche, Minderheitsregierung, Südafrika","http://www.zeit.de/1991/14/dunkle-schatten-auf-der-kultfigur"
"Störfaktoren in der Politik der Männer: Experimente mit der Macht |","1991.14.2078","1991-03-29","DIE ZEIT, Störfaktoren in der Politik der Männer, Regine Hildebrandt, SPD, Waltraud Schoppe, Erwin Teufel, DDR, Frauenbeauftragte, MIT, Niedersachsen, Nordrhein-Westfalen, Schleswig-Holstein, Berlin, Brandenburg, Hessen, Kiel, Reinbek, Saarland","http://www.zeit.de/1991/14/experimente-mit-der-macht"
"Mit seinem Buch „Griff nach der Weltmacht“ hatte der Historiker Fritz Fischer 1961 eine heftige Kontroverse über die Politik des Deutschen Reiches vor dem Ersten Weltkrieg ausgelöst. Jetzt warnt er vor einem Umzug der Politiker in die alte Reichshauptstadt.: Rückkehr nach Preußen? |","1991.14.2079","1991-03-29","DIE ZEIT, Mit seinem Buch „Griff nach der Weltmacht“ hatte der Historiker Fritz Fischer 1961 eine heftige Kontroverse über die Politik des Deutschen Reiches vor dem Ersten Weltkrieg ausgelöst. Jetzt warnt er vor einem Umzug der Politiker in die alte Reichshauptstadt., Buch, Alte, Aristokratie, Hauptstadt, Otto von Bismarck, Preußen, Ruhrgebiet, Berlin, Bonn, MIT, Polen, Russland, USA, Weltkrieg, Österreich, Aachen, Frankfurt am Main, Hannover, Hessen, Köln, Osteuropa, Paris, Sachsen, Sachsen-Anhalt","http://www.zeit.de/1991/14/rueckkehr-nach-preussen"
"In Leipzig gehen die Bürger wieder auf die Straße – und zum Montagsgebet in die Kirche: Der Zug der Enttäuschten |","1991.14.2080","1991-03-29","DIE ZEIT, In Leipzig gehen die Bürger wieder auf die Straße – und zum Montagsgebet in die Kirche, Helmut Kohl, Kirche, Leipzig, SPD, Bundesregierung, IG Metall, Franz Steinkühler, Hans-Jochen Vogel, Christian Wernicke, Oberbürgermeister, PDS, Bonn, Berlin, Düsseldorf","http://www.zeit.de/1991/14/der-zug-der-enttaeuschten"
