"title","number","date","keywords","link"
"Eichmann-Biografie: Manager des Völkermords","2005.4.33776","2005-01-20","Politik, Eichmann-Biografie, Adolf Eichmann, Auswärtiges Amt, Biografie, Fritz Bauer, Vatikan, Völkermord, Argentinien, Auswanderung, Polen, Österreich, Berlin, Buenos Aires, Jerusalem, Wien","http://www.zeit.de/2005/04/P-Eichmann"
"holocaust: Deutschlands moralischer Tiefpunkt","2005.4.33777","2005-01-26","Politik, holocaust","http://www.zeit.de/2005/04/befreiung"
"Innovation: Geben ist seliger denn reden","2005.4.33778","2005-01-20","Politik, Innovation, Forschung, Forschungspolitik, Innovation, Wissenschaft, Innenpolitik, Forschung, Nanotechnik, Förderung, Biotechnik, Bildungspolitik, Bildung, Gerhard Schröder, Albert Einstein, Ernst-Ludwig Winnacker, Innovation, Siemens AG, Ver.di, Aufsichtsrat, Deutsche Forschungsgemeinschaft, Natur und Technik, Forschungspolitik, Innovation, Wissenschaft, Innenpolitik, Forschung, Nanotechnik, Förderung, Biotechnik, Bildungspolitik","http://www.zeit.de/2005/04/Innovationen"
"grossbritannien: Demokratie und Unrecht","2005.4.33779","2005-01-26","Politik, grossbritannien, Medien, Presse, Politische_verfolgung, Innenpolitik, Folter, Berichterstattung, Zweifel, Häftlinge, Haftanstalten, Fernsehsender, Medien, Presse, Politische Verfolgung, Innenpolitik, Folter, Berichterstattung, Zweifel, Häftlinge, Haftanstalten","http://www.zeit.de/2005/04/soldaten"
"davos: Das globale Business","2005.4.33780","2005-01-26","Politik, davos","http://www.zeit.de/2005/04/Davos_1"
"innenpolitik: Dumpf und dreist – verblendet und doch raffiniert","2005.4.33781","2005-01-26","Politik, innenpolitik","http://www.zeit.de/2005/04/npd"
"innenpolitik: Eklat im sächsischen Landtag","2005.4.33782","2005-01-26","Politik, innenpolitik","http://www.zeit.de/2005/04/npdsachsen"
"usa: Noch mal mit Gefühl","2005.4.33783","2005-01-20","Politik, usa, Internationale_Beziehungen, Beziehung, Aussenpolitik, Terrorismus, Innere_sicherheit, Innenpolitik, Folgen, Krieg, Staatsbesuch, Sicherheitspolitik, USA, Bill Clinton, Europäische Union, UN, Jacques Chirac, Boeing, Freihandel, Europa, Irak, Iran, MIT, Russland, Sowjetunion, Berlin, Brüssel, Camp David, Kuwait, Paris, Washington D.C., Internationale Beziehungen, Beziehung, Außenpolitik, Terrorismus, Innere Sicherheit, Innenpolitik, Folgen, Krieg, Staatsbesuch","http://www.zeit.de/2005/04/01____1_Leiter"
"china: An der Seite der Studenten","2005.4.33784","2005-01-20","Politik, china, Innenpolitik, Verwaltung, Staat, Korruption, Reform, Partei, Kommunismus, China, China, Zhao Ziyang, Alter, Debatte, Gründung, Protest, Regierungschef, Revolution, Student, Tod, Geschichte, Öffentlichkeit, Peking, Innenpolitik, Verwaltung, Staat, Korruption, Reform, Partei, Kommunismus","http://www.zeit.de/2005/04/Nachruf_Zhao"
"usa: Der XXL-Präsident","2005.4.33785","2005-01-20","Politik, usa, Innenpolitik, Partei, Portrait, Wahlkampf, Wahl, Präsidentschaftswahl, Wirtschaft_und_Konjunktur, Wirtschaft, Terrorismus, Staatsorgane, George W.  Bush, USA, Die Linke, Colin Powell, Alberto Gonzales, Franklin D. Roosevelt, Paul Krugmann, Präsidentschaft, Rassismus, Reform, Riester-Rente, Society, Irak, Texas, Innenpolitik, Partei, Portrait, Wahlkampf, Wahl, Präsidentschaftswahl, Wirtschaft und Konjunktur, Wirtschaft, Terrorismus","http://www.zeit.de/2005/04/Bush-Reformen"
"Humankapital","2005.4.33786","2005-01-20","Politik, , Bildung, Gedächtnis, Geschichte, Kapitalismus, Postmoderne, Luxemburg, USA","http://www.zeit.de/2005/04/Humankapital"
