"title","number","date","keywords","link"
"Republikanisches Tagebuch (3. Folge): Ein tollkühner Salto |","1994.18.6718","1994-04-29","DIE ZEIT, Republikanisches Tagebuch (3. Folge), Jürgen Möllemann, CDU, FDP, Roman Herzog, Tagebuch, Allergiker, Brigitte, Getreide, Präsidentenwahl, Selbständigkeit","http://www.zeit.de/1994/18/ein-tollkuehner"
"Mit der Erinnerung an die Invasion in der Normandie wollte John Major Stolz und Stimmen der Briten umwerben: Die Flucht zur Schlacht von gestern |","1994.18.6719","1994-04-29","DIE ZEIT, Mit der Erinnerung an die Invasion in der Normandie wollte John Major Stolz und Stimmen der Briten umwerben, John Major, Helmut Kohl, Großbritannien, D-Day, Gedenkfeier, Jahrestag, MIT, Normandie, Europa, Canterbury, London, Waterloo","http://www.zeit.de/1994/18/die-flucht-zur-schlacht-von-gestern"
"Wolfgang Ebert: Es rette sich, wer kann |","1994.18.6720","1994-04-29","Politik, Wolfgang Ebert, Alkohol, Ratgeber, Bundestagswahl, Charakter, Herz, Schicksal, Verfassung, Wolfgang Ebert","http://www.zeit.de/1994/18/es-rette-sich-wer-kann"
"Deutsche Behörden informieren Verfolgerstaaten über Abschiebungen: Bedenkenlos preisgeben |","1994.18.6721","1994-04-29","DIE ZEIT, Deutsche Behörden informieren Verfolgerstaaten über Abschiebungen, Bundesnachrichtendienst, PKK, Abschiebung, Ausstellung, Behörde, Gefängnis, Information, Polizei, Verfassungsschutz, Vertrag, Öffentlichkeit, Algerien, Türkei, Koblenz","http://www.zeit.de/1994/18/bedenkenlos-preisgeben"
"Die größte Gefahr eines atomaren Schlagabtausches geht zur Zeit von Indien und Pakistan aus: Nicht ohne unsere Bombe |","1994.18.6722","1994-04-29","Politik, Die größte Gefahr eines atomaren Schlagabtausches geht zur Zeit von Indien und Pakistan aus, Benazir Bhutto, Indien, Pakistan, Bill Clinton, UN-Sicherheitsrat, Atombombe, Atomprogramm, Atomtest, Erziehung, Narasimha Rao, Premierminister, Region, Rüstung, Weltbank, Japan, Sowjetunion, Delhi, Islamabad, Asien, Bonn, Kaschmir, Mogadischu, Washington D.C","http://www.zeit.de/1994/18/nicht-ohne-unsere-bombe"
"Der Bürgerkrieg hat den Sudan an den Rand des Abgrunds gebracht. Kommen jetzt Hungerrevolten?: Ein Land steht am Pranger |","1994.18.6723","1994-04-29","Politik, Der Bürgerkrieg hat den Sudan an den Rand des Abgrunds gebracht. Kommen jetzt Hungerrevolten?, Bürgerkrieg, Saddam Hussein, Sudan, Krieg, Putsch, Vereinte Nationen, Verfassungsrecht, Iran, Khartum, Ägypten, Europa, Südsudan, Teheran, Washington D.C","http://www.zeit.de/1994/18/ein-land-steht-am-pranger"
"Moskau unterstützt das Nato-Ultimatum in Bosnien – Zeichen neuer Außenpolitik?: Allein im nahen Ausland |","1994.18.6724","1994-04-29","DIE ZEIT, Moskau unterstützt das Nato-Ultimatum in Bosnien – Zeichen neuer Außenpolitik?, Boris Jelzin, Moskau, Bosnien und Herzegowina, Andrej Sacharow, Russland, Verteidigungsministerium, Allianz, Außenpolitik, Bosnien und Herzegowina, Konkurs, Republik, Ukraine, Sowjetunion, USA, Weißrussland, Europa","http://www.zeit.de/1994/18/allein-im-nahen-ausland"
"Das Bundesverfassungsgericht sucht nach Klarheit: Wer Mord leugnet, wird bestraft: Auf den Punkt |","1994.18.6725","1994-04-29","Politik, Das Bundesverfassungsgericht sucht nach Klarheit: Wer Mord leugnet, wird bestraft, Bundesverfassungsgericht, Mord, Sucht, Bundesgerichtshof, Bundesverwaltungsgericht, David Irving, Kriegsverbrechen, Rechtsextremismus, Bayern, Karlsruhe","http://www.zeit.de/1994/18/auf-den-punkt"
"Abtreibung tabu |","1994.18.6726","1994-04-29","DIE ZEIT, , Abtreibung, Katholische Kirche, Aids, Christian Wernicke, Dogma, Fruchtbarkeit, Gesundheit, Johannes Paul II., Kondom, Lateinamerika, Papst, Schwangerschaft, Vatikan, Vereinte Nationen, Verhütung, Bolivien, Brasilien, Afrika, Asien, Kairo, New York","http://www.zeit.de/1994/18/abtreibung-tabu"
"Worte der Woche |","1994.18.6727","1994-04-29","Politik, , Bundesliga, CSU, Edmund Stoiber, Franz Josef Strauß, Fußball, Helmut Kohl, 1. FC Nürnberg, Boris Jelzin, FC Bayern München, Nelson Mandela, Außenminister, Bundeskanzler, Computer, FC Nürnberg, Geld, Jürgen Schneider, Ministerpräsident, Papst, Premierminister, Präsident, Präsidentschaftskandidat, Republikaner (USA), Schiedsrichter, Bosnien und Herzegowina, Budapest","http://www.zeit.de/1994/18/worte-der-woche"
"Wir gegen sie |","1994.18.6728","1994-04-29","Politik, , Radovan Karadžic, Bosnien und Herzegowina, Serbien, Iran, Josip Broz Tito, Nachrichtensendung, Sanktion, Serbien und Montenegro, Sowjetunion, Türkei, USA, Europa","http://www.zeit.de/1994/18/wir-gegen-sie"
