"title","number","date","keywords","link"
"Jetzt oder nie","1999.40.21566","1999-10-30","Politik, , Arno Schmidt, DDR, Oder","http://www.zeit.de/1999/40/199940.wende_teil4_.xml"
"Start in den Parlamentarismus","1999.40.21567","1899-12-31","Politik","http://www.zeit.de/1999/40/199940.vor50j.1ab4.xml"
"Dieter E. Zimmer (39)","1999.40.21568","1999-09-30","Politik, , Erfindung, Reform, Paris","http://www.zeit.de/1999/40/Dieter_E_Zimmer_39_"
"Was ist deutsch?","1999.40.21569","1999-09-30","Politik, , Sloterdijk, Peter Sloterdijk, Antje Vollmer, Grüne, Gentechnik, George Steiner, Postmoderne, Republik, Berlin","http://www.zeit.de/1999/40/Was_ist_deutsch_"
"Langer Marsch nach oben","1999.40.21570","1999-09-30","Politik, , China, Mao Zedong, Zhang Yimou, Zhu Rongji, China, Deng Xiaoping, Dorf, Indien, Mongolei, Taiwan, Peking, Venedig","http://www.zeit.de/1999/40/Langer_Marsch_nach_oben"
"Der Ball-Stratege","1999.40.21571","1999-09-30","Politik, , Bradley, George W.  Bush, Boris Becker, Lateinamerika, Präsidentschaft, Sportler, tTokyo, Vizepräsident, Waffenbesitz, USA, Washington D.C., Europa, Iowa, Missouri, Texas","http://www.zeit.de/1999/40/Der_Ball-Stratege"
"Krauts","1999.40.21572","1999-10-30","Politik, , EU, Brite, Beziehung, Helmut Kohl, Tony Blair, BBC, BMW, Oskar Lafontaine, Allianz, Fernsehserie, Großbritannien, Humor, Klischee, Peter Mandelson, Europa, Rhein, Themse, EU, Brite","http://www.zeit.de/1999/40/199940.t-briten_.xml"
"Schröder","1999.40.21573","1999-09-30","Politik, , Gerhard Schröder, Bewusstsein, Beziehung, Frankreich, Hoffnung, Oberbürgermeister, Ostdeutschland, Rente, Republik, Rhetorik, Potsdam","http://www.zeit.de/1999/40/Schroeder"
"Der fast vergessene Krieg","1999.40.21574","1999-09-30","Politik, , Krieg, Michael Jackson, Rudolf Scharping, Joschka Fischer, Jacques Chirac, Nato, Viktor Tschernomyrdin, Kosovo, Prävention, USA, Europa, Irak, Jugoslawien, Libyen, Russland, Syrien, Washington D.C., Berlin, Toronto","http://www.zeit.de/1999/40/Der_fast_vergessene_Krieg"
"Falschfahrer","1999.40.21575","1999-09-30","Politik, , Romano Prodi, Dienstwagen, EU-Kommission, Fahrrad, Mercedes, Europa, Brüssel","http://www.zeit.de/1999/40/Falschfahrer"
"Die Krise könnte zur Chance werden","1999.40.21576","1999-09-30","Politik, , FDP, Thomas Dehler, Hans-Dietrich Genscher, Bildungspolitik, Sozialpolitik, Walter Scheel, Absicherung, DDR, Friedrich Naumann, Friedrich-Naumann-Stiftung, Horst Rehberger, Liberalismus, Ostdeutschland, Solidaritätszuschlag, Vorsorge, Berlin, Magdeburg","http://www.zeit.de/1999/40/Die_Krise_koennte_zur_Chance_werden"
