"title","number","date","keywords","link"
"Warten auf den Abzug |","1991.35.2728","1991-08-23","DIE ZEIT, , Michail Gorbatschow, Christian Wernicke, Sowjetunion, Eberswalde, Moskau, Berlin, Europa, Odessa","http://www.zeit.de/1991/35/warten-auf-den-abzug"
"Worte zum Umsturz |","1991.35.2729","1991-08-23","DIE ZEIT, , Michail Gorbatschow, George W.  Bush, Grüne, Björn Engholm, Boris Jelzin, Sowjetunion, Ausnahmezustand, Bundesaußenminister, Demokratisierung, Eduard Schewardnadse, Ministerpräsident, Prozess, Vatikan, Vytautas Landsbergis, Litauen, Baltikum, Osteuropa, Paris","http://www.zeit.de/1991/35/worte-zum-umsturz"
"Ruhe nach dem ersten Schock |","1991.35.2730","1991-08-23","DIE ZEIT, , Michail Gorbatschow, Václav Havel, Boris Jelzin, Chaos, Europäische Gemeinschaft, Putsch, Sowjetunion, Ungarn, Polen, Moskau, Osteuropa, Brüssel, Budapest, Bukarest, Prag, Sofia, Warschau","http://www.zeit.de/1991/35/ruhe-nach-dem-ersten-schock"
"Die Stunde der Starrköpfigen |","1991.35.2731","1991-08-23","DIE ZEIT, , Saddam Hussein, Jassir Arafat, Michail Gorbatschow, PLO, Golfkrieg, Israel, Monarch, Putsch, Sowjetunion, Waffenexport, Syrien, Ägypten, Moskau, Bagdad, Damaskus, Jerusalem, Tel Aviv","http://www.zeit.de/1991/35/die-stunde-der-starrkoepfigen"
"Der lange Weg in den Umsturz |","1991.35.2732","1991-08-23","DIE ZEIT, , Michail Gorbatschow, Boris Jelzin, Nikita Chruschtschow, Alexander Jakowlew, Kasachstan, Sowjetunion, Armenien, Litauen, Russland, Osteuropa, Moskau","http://www.zeit.de/1991/35/der-lange-weg-in-den-umsturz"
"Knapp zwei Wochen vor dem Staatsstreich in der Sowjetunion trafen unsere Moskauer Korrespondenten den russischen Präsidenten Boris Jelzin auf seiner Reise durch die Ölfelder Westsibiriens. Die Putschisten haben Gorbatschow gestürzt – und damit wohl auch jeden Ausweg aus dem Ölfiasko verbaut: Die Katastrophe in der Kälte |","1991.35.2733","1991-08-23","DIE ZEIT, Knapp zwei Wochen vor dem Staatsstreich in der Sowjetunion trafen unsere Moskauer Korrespondenten den russischen Präsidenten Boris Jelzin auf seiner Reise durch die Ölfelder Westsibiriens. Die Putschisten haben Gorbatschow gestürzt – und damit wohl auch jeden Ausweg aus dem Ölfiasko verbaut, Boris Jelzin, Reise, Sowjetunion, Katastrophe, Michail Gorbatschow, Rubel, Russland, Angola, Finnland, Indien, USA, Osteuropa","http://www.zeit.de/1991/35/die-katastrophe-in-der-kaelte"
"Die letzte Hoffnung |","1991.35.2734","1991-08-23","DIE ZEIT, , Boris Jelzin, Militär, Ausnahmezustand, Hoffnung, KGB, Sender, Streik, Moskau, Leningrad, St. Petersburg","http://www.zeit.de/1991/35/die-letzte-hoffnung"
"Die CDU steckt in Schwierigkeiten. „Zum Teil katastrophal“ – so bezeichnete Generalsekretär Volker Rühe ihre Lage. Bundesarbeitsminister Blüm wirft der Politik vor, sie gehe an den Problemen der Menschen vorbei.: Wenn die Partei sich selber genügt |","1991.35.2735","1991-08-23","DIE ZEIT, Die CDU steckt in Schwierigkeiten. „Zum Teil katastrophal“ – so bezeichnete Generalsekretär Volker Rühe ihre Lage. Bundesarbeitsminister Blüm wirft der Politik vor, sie gehe an den Problemen der Menschen vorbei., Norbert Blüm, CDU, Helmut Kohl, FDP, CSU, Wolfgang Schäuble, Absicherung, Gesundheitsreform, Pflegeversicherung, Regierung, Niederlande","http://www.zeit.de/1991/35/wenn-die-partei-sich-selber-genuegt"
"Die Heimkehr der Preußenkönige nach Sanssouci: Gegen den Letzten Willen |","1991.35.2736","1991-08-23","DIE ZEIT, Die Heimkehr der Preußenkönige nach Sanssouci, Erich Honecker, Stefan Aust, Potsdam, Brandenburg","http://www.zeit.de/1991/35/gegen-den-letzten-willen"
"Nur kein falsches Signal |","1991.35.2737","1991-08-23","DIE ZEIT, , Hans-Dietrich Genscher, Michail Gorbatschow, Björn Engholm, Außenminister, Bundespresseamt, Eduard Schewardnadse, Europäische Gemeinschaft, Kanzleramt, Putsch, Roland Dumas, Bonn, Jugoslawien, Moskau, Sowjetunion, Washington D.C., Wolfgangsee","http://www.zeit.de/1991/35/nur-kein-falsches-signal"
"KOLUMNE: Hat der Westen versagt? |","1991.35.2738","1991-08-23","DIE ZEIT, KOLUMNE, Michail Gorbatschow, Helmut Kohl, Bundesregierung, Militär, Ausnahmezustand, Horst Teltschik, KGB, Sowjetunion, Wirtschaftshilfe, Tschechoslowakei, Ungarn, Moskau, Houston, London, Paris, Warschau","http://www.zeit.de/1991/35/hat-der-westen-versagt"
