"title","number","date","keywords","link"
"Weltbühne: Geisterstaat am Golf |","1990.43.1277","1990-10-19","DIE ZEIT, Weltbühne, Golf, Saddam Hussein, Brand, Flüchtling, Funk, Krankenhaus, Soldat, Todesstrafe, Irak, Kuwait, Bagdad, Dschidda","http://www.zeit.de/1990/43/geisterstaat-am-golf"
"Bonner Bühne: Schutz und Demokratie |","1990.43.1278","1990-10-19","DIE ZEIT, Bonner Bühne, Wolfgang Schäuble, Bühne, CSU, Demokratie, CDU, Oskar Lafontaine, Anschlag, Attentat, Bundesrat, Bundestag, DDR, Landtagswahl, Müll, Sprengsatz, Terrorismus, Test, Bayern, Hessen, Rheinland-Pfalz","http://www.zeit.de/1990/43/schutz-und-demokratie"
"Was der KGB über die ZEIT wissen wollte |","1990.43.1279","1990-10-19","DIE ZEIT, , DDR, KGB, Überwachung, Auto, Glaube, Kapitalismus, Radio, Schicksal, Sendung, Ukraine, Hamburg, Kiew","http://www.zeit.de/1990/43/was-der-kgb-ueber-die-zeit-wissen-wollte"
"UN-Resolution gegen Israel: Washington macht seinem Ärger Luft |","1990.43.1280","1990-10-19","DIE ZEIT, UN-Resolution gegen Israel, Israel, Washington D.C., Saddam Hussein, Sicherheitsrat, Vereinte Nationen, Weltsicherheitsrat, Konflikt, Palästinenser, Resolution, Washington Post, Irak, Jerusalem, Sowjetunion, USA, Washington D.C","http://www.zeit.de/1990/43/washington-macht-seinem-aerger-luft"
"Waffenexport: Politik mit Desinformationen |","1990.43.1281","1990-10-19","DIE ZEIT, Waffenexport, Bundesregierung, Verteidigungsministerium, Export, Falklandkrieg, Rheinmetall, Saudi Arabien, Vereinte Nationen, Waffenexport, Bundesrepublik Deutschland, England, Irak, Italien, Jordanien, MIT, Bonn, Kuwait","http://www.zeit.de/1990/43/politik-mit-desinformationen"
"Friedensnobelpreis: Keine Atempause für Gorbatschow |","1990.43.1282","1990-10-19","DIE ZEIT, Friedensnobelpreis, Michail Gorbatschow, Willy Brandt, Jegor Ligatschow, Friedensnobelpreis, Michail Gorbatschow, Armenien, Litauen, Russland, Sowjetunion, USA, Baku, Kuwait, Europa, Oslo, Tbilissi","http://www.zeit.de/1990/43/keine-atempause-fuer-gorbatschow"
"Nach dem Ende des Kalten Krieges stehen auch die deutsch-amerikanischen Beziehungen zur Debatte. Kühlen sie sich ab, oder erleben sie einen neuen Frühling?: Ungewißheiten über dem Atlantik |","1990.43.1283","1990-10-19","DIE ZEIT, Nach dem Ende des Kalten Krieges stehen auch die deutsch-amerikanischen Beziehungen zur Debatte. Kühlen sie sich ab, oder erleben sie einen neuen Frühling?, Michail Gorbatschow, Saddam Hussein, Atlantik, Helmut Kohl, Europäische Gemeinschaft, USA, Allianz, Beziehung, Sowjetunion, Wiedervereinigung, Bundesrepublik Deutschland, Europa, Oder, Panama, Kuwait, Westeuropa","http://www.zeit.de/1990/43/ungewissheiten-ueber-dem-atlantik"
"Ben Witter: Angetippt |","1990.43.1284","1990-10-19","DIE ZEIT, Ben Witter, Grüne, Alter, Ben Witter, Familie, Natur, Prothese, Roma, Sprache, Auto, Schule","http://www.zeit.de/1990/43/angetippt"
"Ein Bogen bis zum Baltikum: Auf den Spuren der Hanse |","1990.43.1285","1990-10-19","DIE ZEIT, Ein Bogen bis zum Baltikum, Björn Engholm, Fachhochschulen, Baltikum, Integration, Werner Schulz, Dänemark, Finnland, Norwegen, Polen, Schleswig-Holstein, Schweden, Sowjetunion, Mecklenburg-Vorpommern, Kiel, Lübeck, Rostock, Stockholm","http://www.zeit.de/1990/43/auf-den-spuren-der-hanse"
"PLO-Statthalter in Jerusalem: Versöhnlich in einem Meer von Haß |","1990.43.1286","1990-10-19","DIE ZEIT, PLO-Statthalter in Jerusalem, Saddam Hussein, Jerusalem, PLO, Israel, Palästinenser, Irak, Bagdad, Kuwait, Ostjerusalem, Palästina, Tunis, Washington D.C","http://www.zeit.de/1990/43/versoehnlich-in-einem-meer-von-hass"
"Rückblick: Rundfunk: Schlechte Wahl |","1990.43.1287","1990-10-19","DIE ZEIT, Rückblick: Rundfunk, Wahl, ARD, CSU, ZDF, Deutschlandfunk, Fernsehen, Intendant, Liebe, Lothar de Maizière, Ministerpräsident, Parlament, Volkskammer, Rundfunk, Hannover","http://www.zeit.de/1990/43/schlechte-wahl"
"Worte der Woche |","1990.43.1288","1990-10-19","DIE ZEIT, , Michail Gorbatschow, George W.  Bush, Helmut Kohl, Wolfgang Schäuble, François Mitterrand, Hans-Jochen Vogel, Kurt Biedenkopf, Attentat, Bundeswehr, Demokratie, Hosni Mubarak, Landtagswahl, Ministerpräsident, Muammar al-Gaddafi, Nobelpreis, Peter-Michael Diestel, Pilz, Sanktion, USA, Brandenburg, Europa, Sachsen","http://www.zeit.de/1990/43/worte-der-woche"
"Zwei Anschläge psychisch kranker Attentäter haben in diesem Jahr die politischen Auseinandersetzungen überschattet – erst wurde Oskar Lafontaine lebensgefährlich verletzt, jetzt der Bundesinnenminister: Des Kanzlers Kandidat |","1990.43.1289","1990-10-19","DIE ZEIT, Zwei Anschläge psychisch kranker Attentäter haben in diesem Jahr die politischen Auseinandersetzungen überschattet – erst wurde Oskar Lafontaine lebensgefährlich verletzt, jetzt der Bundesinnenminister, Helmut Kohl, Wolfgang Schäuble, Oskar Lafontaine, Burkhard Hirsch, Heiner Geißler, Lothar Späth, Innenministerium, Oskar Lafontaine, Ronald Reagan, Waldemar Schreckenberger, Kurt Biedenkopf, DDR, Friedrich Bohl, Bonn","http://www.zeit.de/1990/43/des-kanzlers-kandidat"
"Wird das geeinte Deutschland zu einer Gefahr für Europa? Verlagert sich die Mitte Europas nach Osten?: Nur keinen neuen Sonderweg |","1990.43.1290","1990-10-19","DIE ZEIT, Wird das geeinte Deutschland zu einer Gefahr für Europa? Verlagert sich die Mitte Europas nach Osten?, Christian Meier, DDR, Diktatur, Freie Universität Berlin, Merkur, Bundesrepublik Deutschland, Berlin, Elbe, Europa, Osteuropa","http://www.zeit.de/1990/43/nur-keinen-neuen-sonderweg"
"Zeitspiegel |","1990.43.1291","1990-10-19","DIE ZEIT, , Kreml, Landtag, Mietvertrag, PDS, Presse, Vertrieb, Hongkong, Sowjetunion, Singapur, Peking","http://www.zeit.de/1990/43/zeitspiegel"
"Professor Zbigniew Brzezinski lehrt an der Georgetown University in Washington. Während der Amtszeit von Präsident Carter war er Nationaler Sicherheitsberater im Weißen Haus. An der Ausarbeitung des Camp-David-Abkommens über den Nahen Osten war er 1978 maßgeblich beteiligt.: Die Risiken von Krieg und Frieden |","1990.43.1292","1990-10-19","DIE ZEIT, Professor Zbigniew Brzezinski lehrt an der Georgetown University in Washington. Während der Amtszeit von Präsident Carter war er Nationaler Sicherheitsberater im Weißen Haus. An der Ausarbeitung des Camp-David-Abkommens über den Nahen Osten war er 1978 maßgeblich beteiligt., Saddam Hussein, Krieg, Präsident, Frieden, Irak, USA, Aggression, Israel, Zbigniew Brzezinski, Zbigniew Brzezinski, Iran, Italien, Jordanien, Kuwait, Panama, Saudi Arabien, Syrien, Türkei, Vereinigte Arabische Emirate, Washington D.C","http://www.zeit.de/1990/43/die-risiken-von-krieg-und-frieden"
"Golflkrise: Hoffen auf die heile Welt |","1990.43.1293","1990-10-19","DIE ZEIT, Golflkrise, Saddam Hussein, Grüne, Franz Alt, Petra Kelly, Willy Brandt, Vereinte Nationen, Atomwaffe, Friedensbewegung, Golf, Horst-Eberhard Richter, Irak, Waffenexport, Bagdad, Bonn, Kalifornien, Kuwait, Washington D.C., Westeuropa","http://www.zeit.de/1990/43/hoffen-auf-die-heile-welt"
"Nachlese: Italien: PDS – auf italienisch |","1990.43.1294","1990-10-19","DIE ZEIT, Nachlese: Italien, Italien, Katholische Kirche, PDS, Bettino Craxit , Giulio Andreotti, Minderheit, Parteitag, Regierungschef, Sozialdemokratie, Sozialismus","http://www.zeit.de/1990/43/pds-auf-italienisch"
"Großbritannien: Schwere Zeiten für die Lady |","1990.43.1295","1990-10-19","DIE ZEIT, Großbritannien, Margaret Thatcher, Großbritannien, Neil Kinnock, Rover, Europäische Gemeinschaft, Geoffrey Howe, John Smith, Europa","http://www.zeit.de/1990/43/schwere-zeiten-fuer-die-lady"
"Alles dreht sich um die Einheit |","1990.43.1296","1990-10-19","DIE ZEIT, , CDU, CSU, FDP, Franz Josef Strauß, Grüne, SPD, DDR, Landtag, Landtagswahl, PDS, Wahl, Bayern, Sachsen, Brandenburg, Mecklenburg-Vorpommern, Sachsen-Anhalt, Schwaben","http://www.zeit.de/1990/43/alles-dreht-sich-um-die-einheit"
"Udo Perina:: Wer nicht wagt, gewinnt |","1990.43.1297","1990-10-19","DIE ZEIT, Udo Perina:, Saddam Hussein, Dresdner Bank, Aktie, Aktienmarkt, Anlageberater, Börse, Finanzmarkt, Notenbank, Staatsanleihe, Bonn, Europa, Kuwait","http://www.zeit.de/1990/43/wer-nicht-wagt-gewinnt"
"Markenimage: Zeitgeist im Fußbett |","1990.43.1298","1990-10-19","DIE ZEIT, Markenimage, Merkur, Italien, Portugal, Düsseldorf, Osteuropa","http://www.zeit.de/1990/43/zeitgeist-im-fussbett"
"Japanische Börse: Konturen eines Desasters |","1990.43.1299","1990-10-19","DIE ZEIT, Japanische Börse, Börse, Finanzministerium, Helmut Becker, Japan, tTokyo, Yen","http://www.zeit.de/1990/43/konturen-eines-desasters"
"Brasilien: Verplant und vergeudet |","1990.43.1300","1990-10-19","DIE ZEIT, Brasilien, Brasilien, Fernando Collor de Mello, Ford, Siemens AG, VW, Fiat, General Motors, Abholzung, Energiewirtschaft, Erdöl, Petrobras, Ruhrkohle, Weltbank, São Paulo","http://www.zeit.de/1990/43/verplant-und-vergeudet"
