"",BBK01.WX3950,BBK01.WX3950_FLAGS
"","Yields on listed Federal securities (only bonds eligible as underlying instruments for future contracts are included, calculated as unweighted averages) with a residual maturity of more than 9 and up to 10 years / Monthly average",
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:06,
1989-12,-,Nothing exists
1990-01,7.63,
1990-02,8.43,
1990-03,8.67,
1990-04,8.70,
1990-05,8.74,
1990-06,8.82,
1990-07,8.58,
1990-08,8.90,
1990-09,9.09,
1990-10,9.09,
1990-11,8.95,
1990-12,8.85,
1991-01,8.94,
1991-02,8.42,
1991-03,8.41,
1991-04,8.39,
1991-05,8.39,
1991-06,8.39,
1991-07,8.61,
1991-08,8.56,
1991-09,8.45,
1991-10,8.36,
1991-11,8.34,
1991-12,8.24,
1992-01,7.98,
1992-02,7.92,
1992-03,8.00,
1992-04,8.04,
1992-05,8.08,
1992-06,8.06,
1992-07,8.12,
1992-08,8.08,
1992-09,7.71,
1992-10,7.47,
1992-11,7.38,
1992-12,7.33,
1993-01,7.15,
1993-02,6.94,
1993-03,6.66,
1993-04,6.68,
1993-05,6.83,
1993-06,6.81,
1993-07,6.62,
1993-08,6.41,
1993-09,6.20,
1993-10,6.00,
1993-11,5.98,
1993-12,5.85,
1994-01,5.80,
1994-02,6.07,
1994-03,6.34,
1994-04,6.48,
1994-05,6.66,
1994-06,7.05,
1994-07,6.90,
1994-08,7.09,
1994-09,7.52,
1994-10,7.54,
1994-11,7.49,
1994-12,7.46,
1995-01,7.60,
1995-02,7.42,
1995-03,7.28,
1995-04,7.09,
1995-05,6.86,
1995-06,6.78,
1995-07,6.86,
1995-08,6.74,
1995-09,6.59,
1995-10,6.57,
1995-11,6.34,
1995-12,6.07,
1996-01,5.89,
1996-02,6.20,
1996-03,6.44,
1996-04,6.38,
1996-05,6.45,
1996-06,6.56,
1996-07,6.48,
1996-08,6.30,
1996-09,6.23,
1996-10,6.01,
1996-11,5.86,
1996-12,5.79,
1997-01,5.80,
1997-02,5.55,
1997-03,5.71,
1997-04,5.87,
1997-05,5.76,
1997-06,5.72,
1997-07,5.56,
1997-08,5.66,
1997-09,5.59,
1997-10,5.58,
1997-11,5.56,
1997-12,5.33,
1998-01,5.11,
1998-02,4.99,
1998-03,4.90,
1998-04,4.90,
1998-05,4.96,
1998-06,4.80,
1998-07,4.68,
1998-08,4.42,
1998-09,4.06,
1998-10,4.06,
1998-11,4.12,
1998-12,3.86,
1999-01,3.70,
1999-02,3.85,
1999-03,4.04,
1999-04,3.85,
1999-05,4.01,
1999-06,4.36,
1999-07,4.68,
1999-08,4.88,
1999-09,5.04,
1999-10,5.29,
1999-11,5.04,
1999-12,5.15,
2000-01,5.54,
2000-02,5.51,
2000-03,5.33,
2000-04,5.22,
2000-05,5.38,
2000-06,5.19,
2000-07,5.27,
2000-08,5.21,
2000-09,5.26,
2000-10,5.21,
2000-11,5.15,
2000-12,4.89,
2001-01,4.80,
2001-02,4.78,
2001-03,4.67,
2001-04,4.83,
2001-05,5.05,
2001-06,5.00,
2001-07,5.02,
2001-08,4.82,
2001-09,4.81,
2001-10,4.60,
2001-11,4.45,
2001-12,4.74,
2002-01,4.86,
2002-02,4.92,
2002-03,5.16,
2002-04,5.15,
2002-05,5.17,
2002-06,5.02,
2002-07,4.87,
2002-08,4.59,
2002-09,4.38,
2002-10,4.46,
2002-11,4.48,
2002-12,4.33,
2003-01,4.18,
2003-02,3.95,
2003-03,4.00,
2003-04,4.15,
2003-05,3.82,
2003-06,3.62,
2003-07,3.97,
2003-08,4.13,
2003-09,4.17,
2003-10,4.22,
2003-11,4.35,
2003-12,4.29,
2004-01,4.17,
2004-02,4.11,
2004-03,3.91,
2004-04,4.10,
2004-05,4.25,
2004-06,4.31,
2004-07,4.24,
2004-08,4.08,
2004-09,4.02,
2004-10,3.89,
2004-11,3.78,
2004-12,3.58,
2005-01,3.56,
2005-02,3.54,
2005-03,3.70,
2005-04,3.48,
2005-05,3.30,
2005-06,3.13,
2005-07,3.20,
2005-08,3.23,
2005-09,3.07,
2005-10,3.24,
2005-11,3.45,
2005-12,3.34,
2006-01,3.32,
2006-02,3.47,
2006-03,3.64,
2006-04,3.89,
2006-05,3.96,
2006-06,3.96,
2006-07,4.01,
2006-08,3.88,
2006-09,3.75,
2006-10,3.79,
2006-11,3.71,
2006-12,3.77,
2007-01,4.02,
2007-02,4.05,
2007-03,3.94,
2007-04,4.15,
2007-05,4.28,
2007-06,4.56,
2007-07,4.50,
2007-08,4.30,
2007-09,4.22,
2007-10,4.28,
2007-11,4.09,
2007-12,4.21,
2008-01,4.03,
2008-02,3.95,
2008-03,3.80,
2008-04,4.04,
2008-05,4.20,
2008-06,4.52,
2008-07,4.49,
2008-08,4.20,
2008-09,4.09,
2008-10,3.88,
2008-11,3.56,
2008-12,3.05,
2009-01,3.07,
2009-02,3.13,
2009-03,3.02,
2009-04,3.13,
2009-05,3.37,
2009-06,3.47,
2009-07,3.34,
2009-08,3.31,
2009-09,3.26,
2009-10,3.21,
2009-11,3.22,
2009-12,3.14,
2010-01,3.26,
2010-02,3.17,
2010-03,3.10,
2010-04,3.06,
2010-05,2.73,
2010-06,2.54,
2010-07,2.62,
2010-08,2.35,
2010-09,2.30,
2010-10,2.35,
2010-11,2.53,
2010-12,2.91,
2011-01,3.02,
2011-02,3.20,
2011-03,3.21,
2011-04,3.34,
2011-05,3.06,
2011-06,2.89,
2011-07,2.74,
2011-08,2.21,
2011-09,1.83,
2011-10,2.00,
2011-11,1.87,
2011-12,1.93,
2012-01,1.82,
2012-02,1.85,
2012-03,1.83,
2012-04,1.62,
2012-05,1.34,
2012-06,1.30,
2012-07,1.24,
2012-08,1.34,
2012-09,1.49,
2012-10,1.47,
2012-11,1.34,
2012-12,1.30,
2013-01,1.51,
2013-02,1.54,
2013-03,1.35,
2013-04,1.20,
2013-05,1.29,
2013-06,1.53,
2013-07,1.56,
2013-08,1.73,
2013-09,1.89,
2013-10,1.76,
2013-11,1.68,
2013-12,1.80,
2014-01,1.76,
2014-02,1.56,
2014-03,1.51,
2014-04,1.46,
2014-05,1.33,
2014-06,1.26,
2014-07,1.11,
2014-08,0.95,
2014-09,0.92,
2014-10,0.79,
2014-11,0.72,
2014-12,0.59,
2015-01,0.39,
