"","Artikeln.Nr.","Link","Erscheinungsjahr","Erscheinungsnr.","Medium","Titel","Autor","Abschnitt.Nr.","Zeitbezug","Land","Region","Thematische.Bewertung","Bewertung","Kommentare"
"1",1,"http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true",2006,22,"Zeit online","Schelte f?r Deregulierer","Karsten Polke-Majewski",1,"Vergangenheit","Deutschland","Berlin","zu wenig B?rokratieabbau, Bundestag, Wirtschaftsausschuss",1,""
"2",1,"http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true",2006,22,"Zeit online","Schelte f?r Deregulierer","Karsten Polke-Majewski",2,"Gegenwart","Deutschland","Berlin","B?rokratieabbau gut aber nicht ausreichend, Bundesregierung, Deutscher Industrie- und Handelstag, Wirtschaft ",1,""
"3",1,"http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true",2006,22,"Zeit online","Schelte f?r Deregulierer","Karsten Polke-Majewski",3,"Gegenwart","Deutschland","","Zu eingeschr?nkter B?rokratieabbau, DIHK, Bundesregierung, De-Regulierung",0,""
"4",1,"http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true",2006,22,"Zeit online","Schelte f?r Deregulierer","Karsten Polke-Majewski",4,"Gegenwart","Deutschland, Niederlande, Europa","","Vorbild B?rokratiekostenmodell Niederlande, international, Sachverst?ndige",2,""
"5",1,"http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true",2006,22,"Zeit online","Schelte f?r Deregulierer","Karsten Polke-Majewski",5,"Gegenwart","Deutschland  (Berlin ist in Deutschland)","Berlin (Staatssekret?re sind in Berlin)","Normenkontrollrat w?re zu schwach, Gesetze, Ministerien, Kostenwirkung",-1,""
"6",1,"http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true",2006,22,"Zeit online","Schelte f?r Deregulierer","Karsten Polke-Majewski",6,"Vergangenheit, Gegenwart","Deutschland","-","L?ckenhaftes Gesetz, unsichere Fraktionen, intensive Lobbyarbeit (Bertelsmann), Amtshilfe",-1,""
"7",1,"http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true",2006,22,"Zeit online","Schelte f?r Deregulierer","Karsten Polke-Majewski",7,"Gegenwart","Deutschland","-","Deregulierung unn?tig, DGB, moderne Informations- und Kommunikationstechnik",-1,""
"8",1,"http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true",2009,3,"Zeit online","Deutsche Bank meldet Milliardenverlust","Reuters",1,"Vergangenheit, Zukunft","Deutschland","Frankfurt","Deutlicher Verlust, nach Rekordgewinn",-2,""
"9",2,"http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true",2009,3,"Zeit online","Deutsche Bank meldet Milliardenverlust","Reuters",2,"Vergangenheit","Deutschland","-","Kernkapitalquote, Dividende",0,""
"10",2,"http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true",2009,3,"Zeit online","Deutsche Bank meldet Milliardenverlust","Reuters",3,"Vergangenheit, Gegenwart","Deutschland","-","Extrem schwieriges Marktumfeld, Kapitalst?rke",-2,""
