"","Artikeln.Nr.","Link","Erscheinungsjahr","Erscheinungsnr.","Medium","Titel","Autor","Abschnitt.Nr.","Zeitbezug","Land","Region","Thematische.Bewertung","Bewertung","Kommentar","Zeit","issue.abschnitt"
"1",1,"http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true",2006,22,"Zeit online","Schelte fr Deregulierer","Karsten Polke-Majewski",1,"Vergangenheit","Deutschland","Berlin","Wirtschaftsausschuss, Brokratieabbau",-1,"","","1 1"
"2",1,"http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true",2006,22,"Zeit online","Schelte fr Deregulierer","Karsten Polke-Majewski",2,"Gegenwart","Deutschland","Berlin","Bundesregierung, Verwaltungswust, unzureichender Brokratieabbau",-2,"","","1 2"
"3",1,"http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true",2006,22,"Zeit online","Schelte fr Deregulierer","Karsten Polke-Majewski",3,"Gegenwart","Deutschland","Brandenburg","DIHK, Bundesregierung, Politikwissenschaftler ",0,"","","1 3"
"4",1,"http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true",2006,22,"Zeit online","Schelte fr Deregulierer","Karsten Polke-Majewski",4,"Zukunft","Europa, Niederlande, Deutschland","","Erfolgsbeispiel, Grundlage, Wettbewerb, Brokratiekosten ",1,"","","1 4"
"5",1,"http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true",2006,22,"Zeit online","Schelte fr Deregulierer","Karsten Polke-Majewski",5,"Zukunft","Deutschland","Berlin","Normenkontrollrat, unzureichende Kompetenzen, Kostenwirkung",0,"","","1 5"
"6",1,"http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true",2006,22,"Zeit online","Schelte fr Deregulierer","Karsten Polke-Majewski",6,"Gegenwart","Deutschland","Nordrhein-Westfalen, Gtersloh","Bertelsmann-Stiftung, Amtshilfe",0,"","","1 6"
"7",1,"http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true",2006,22,"Zeit online","Schelte fr Deregulierer","Karsten Polke-Majewski",7,"Gegenwart","Deutschland","Berlin","DGB, Bonmot ",1,"","","1 7"
"8",1,"http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true",2009,3,"Zeit online","Deutsche Bank meldet Milliardenverlust","Reuters",1,"Vergangenheit","Deutschland","Hessen, Frankfurt am Main","Deutsche-Bank, Milliardenverlust, Rekordgewinn",-3,"","","1 1"
"9",2,"http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true",2009,3,"Zeit online","Deutsche Bank meldet Milliardenverlust","Reuters",2,"Vergangenheit","Deutschland","Hessen, Frankfurt am Main","Kernkapitalquote",1,"","","2 2"
"10",2,"http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true",2009,3,"Zeit online","Deutsche Bank meldet Milliardenverlust","Reuters",3,"Vergangenheit","Deutschland","Hessen, Frankfurt am Main","fallende Aktien, Kapitalst„rke ",-2,"","","2 3"
