;Metadaten;;;;;;;Bewertungsteil;;;;;
Artikeln-Nr.;Link;Erscheinungsjahr;Erscheinungsnr.;Medium;Titel;Autor;Abschnitt-Nr.;Zeitbezug;Land;Region;Thematische Bewertung;Bewertung;Kommentare
;;;;;;;;;;;;-5;
;;;;;;;;;;;;-4;
;;;;;;;;;;;;-3;
;;;;;;;;;;;;-2;
;;;;;;;;;;;;-1;
;;;;;;;;;;;;0;
;;;;;;;;;;;;1;
;;;;;;;;;;;;2;
;;;;;;;;;;;;3;
;;;;;;;;;;;;4;
;;;;;;;;;;;;5;
;;;;;;;;-1;-2;-3;-4;-5;
1;http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true;2006;22;Zeit online;Schelte für Deregulierer;Karsten Polke-Majewski;1;Vergangenheit;Deutschland;Berlin;zu wenig Bürokratieabbau, Bundestag, Wirtschaftsausschuss;1;
1;http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true;2006;22;Zeit online;Schelte für Deregulierer;Karsten Polke-Majewski;2;Gegenwart;Deutschland;Berlin;Bürokratieabbau gut aber nicht ausreichend, Bundesregierung, Deutscher Industrie- und Handelstag, Wirtschaft ;1;
1;http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true;2006;22;Zeit online;Schelte für Deregulierer;Karsten Polke-Majewski;3;Gegenwart;Deutschland;;Zu eingeschränkter Bürokratieabbau, DIHK, Bundesregierung, De-Regulierung;0;
1;http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true;2006;22;Zeit online;Schelte für Deregulierer;Karsten Polke-Majewski;4;Gegenwart;Deutschland, Niederlande, Europa;;Vorbild Bürokratiekostenmodell Niederlande, international, Sachverständige;2;
1;http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true;2006;22;Zeit online;Schelte für Deregulierer;Karsten Polke-Majewski;5;Gegenwart;Deutschland  (Berlin ist in Deutschland);Berlin (Staatssekretäre sind in Berlin);Normenkontrollrat wäre zu schwach, Gesetze, Ministerien, Kostenwirkung;-1;
1;http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true;2006;22;Zeit online;Schelte für Deregulierer;Karsten Polke-Majewski;6;Vergangenheit, Gegenwart;Deutschland;-;Lückenhaftes Gesetz, unsichere Fraktionen, intensive Lobbyarbeit (Bertelsmann), Amtshilfe;-1;
1;http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true;2006;22;Zeit online;Schelte für Deregulierer;Karsten Polke-Majewski;7;Gegenwart;Deutschland;-;Deregulierung unnötig, DGB, moderne Informations- und Kommunikationstechnik;-1;
1;http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true;2009;3;Zeit online;Deutsche Bank meldet Milliardenverlust;Reuters;1;Vergangenheit, Zukunft;Deutschland;Frankfurt;Deutlicher Verlust, nach Rekordgewinn;-2;
2;http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true;2009;3;Zeit online;Deutsche Bank meldet Milliardenverlust;Reuters;2;Vergangenheit;Deutschland;-;Kernkapitalquote, Dividende;0;
2;http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true;2009;3;Zeit online;Deutsche Bank meldet Milliardenverlust;Reuters;3;Vergangenheit, Gegenwart;Deutschland;-;Extrem schwieriges Marktumfeld, Kapitalstärke;-2;
2;http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true;2009;3;Zeit online;Deutsche Bank meldet Milliardenverlust;Reuters;4;Vergangenheit, Gegenwart;Deutschland;-;Übernahme Postbank geht vorwärts, Post, Deutsche Bank, KfW;1;
2;http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true;2009;3;Zeit online;Deutsche Bank meldet Milliardenverlust;Reuters;5;Zukunft;Deutschland;-;Beidseitiger Aktientausch, Anteilsscheine;0;
2;http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true;2009;3;Zeit online;Deutsche Bank meldet Milliardenverlust;Reuters;6;Gegenwart;Deutschland;-;Barwert, Transaktion;0;
3;http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true;2006;3;Zeit;Immer mehr ist immer weniger;Achatz von Müller;1;Gegenwart, Zukunft;Deutschland;-;gute Stimmung, steigende Wachstumsprognosen, Bundeskanzlerin, Kabinett, Arbeitsplätze;2;Überschriften Teil des Abschnittes?
