;Metadaten;;;;;;;Bewertungsteil;;;;;;;
Artikeln-Nr.;Link;Erscheinungsjahr;Erscheinungsnr.;Medium;Titel;Autor;Abschnitt-Nr.;Zeitbezug;Land;Region;Thematische Bewertung;Bewertung;;;
;;;;;;;;;;;;-5;;;
;;;;;;;;;;;;-4;;;
;;;;;;;;;;;;-3;;;
;;;;;;;;;;;;-2;;;
;;;;;;;;;;;;-1;;;
;;;;;;;;;;;;0;;;
;;;;;;;;;;;;1;;;
;;;;;;;;;;;;2;;;
;;;;;;;;;;;;3;;;
;;;;;;;;;;;;4;;;
;;;;;;;;;;;;5;;;
;;;;;;;;-1;-2;-3;-4;-5;;;
1;http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true;2006;22;Zeit online;Schelte fÅr Deregulierer;Karsten Polke-Majewski;1;Gegenwart;Deutschland;;Bundestag-Wirtschaftsausschuss, Gesetzentwurf-BÅrokratieabbau;0;;;
1;http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true;2006;22;Zeit online;Schelte fÅr Deregulierer;Karsten Polke-Majewski;2;Zukunft;Deutschland;;BÅrokratieabbau-Merkel-Koalition, BÅrokratieabbau-Kritik, Deutscher-Industrie-Und-Handelstag;0;Merkel=Bundeskanlerin;;
1;http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true;2006;22;Zeit online;Schelte fÅr Deregulierer;Karsten Polke-Majewski;3;Gegenwart;Deutschland;;hohe Informationspflichten-DIHK-Kritik, Institut-fÅr-Mittelstandsforschung-BÅrokratieabbau-Kritik-Einzelma·nahme, Werner-Jann-Zuspruch;-1;;;
1;http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true;2006;22;Zeit online;Schelte fÅr Deregulierer;Karsten Polke-Majewski;4;Gegenwart; ;;erfolgreich BÅrokratieabbau-Modell-Niederlande, gut Internationaler-BÅrokratiekosten-Datenabgleich-Gerhard-Klippstein;2;;;
1;http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true;2006;22;Zeit online;Schelte fÅr Deregulierer;Karsten Polke-Majewski;5;Zukunft;Deutschland;;Normenkontrollrat-Kritik, mangelnd Kompetenzen-Normenkontrollrat;-2;;;
