,SN,JM,DC,Artikeln_Nr,Abschnitt,SN.Zeitbezug,SN.Thema,JM.Zeitbezug,JM.Thema,DC.Zeitbezug,DC.Thema,Title,Text,Link
1,0,1,-1,1,1,Gegenwart,"Bundestag-Wirtschaftsausschuss, Gesetzentwurf-Brokratieabbau",Vergangenheit,"zu wenig B?rokratieabbau, Bundestag, Wirtschaftsausschuss",Vergangenheit,"Wirtschaftsausschuss, Brokratieabbau",Bürokratieabbau: Schelte für Deregulierer ,"Wäre der Gesetzentwurf zum Bürokratieabbau eine Klassenarbeit, es stände wohl gute Ansätze darunter und eine mittelmäßige Note. So jedenfalls könnte man die Meinung der Fachleute interpretieren, die an diesem Montag vor dem Wirtschaftsausschuss des Bundestags zur Anhörung versammelt waren.",http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true
2,0,1,-2,1,2,Zukunft,"Brokratieabbau-Merkel-Koalition, Brokratieabbau-Kritik, Deutscher-Industrie-Und-Handelstag",Gegenwart,"B?rokratieabbau gut aber nicht ausreichend, Bundesregierung, Deutscher Industrie- und Handelstag, Wirtschaft ",Gegenwart,"Bundesregierung, Verwaltungswust, unzureichender Brokratieabbau",Bürokratieabbau: Schelte für Deregulierer ,"Dass die Koalition und allen voran die Bundeskanzlerin den Verwaltungswust lichten möchte, finden alle gut. Auch gegen das Wie hat zunächst niemand viel einzuwenden. Nur genügen die Pläne der Bundesregierung nicht, sagen besonders jene, die die Wirtschaft vertreten. Zum Beispiel der Deutsche Industrie- und Handelstag. Er schrieb in seiner Stellungnahme, der Abbau bürokratischer Hemmnisse insbesondere in der mittelständischen Wirtschaft sei in der Summe seiner Entlastungswirkungen bei weitem nicht ausreichend. Das ist eine erstaunliche Feststellung, wenn man sich vor Augen führt, dass die in Berlin anwesenden Experten damit rechnen, die geplanten Maßnahmen könnten die Wirtschaft um mehr als 20 Milliarden Euro entlasten.",http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true
3,-1,0,0,1,3,Gegenwart,"hohe Informationspflichten-DIHK-Kritik, Institut-fr-Mittelstandsforschung-Brokratieabbau-Kritik-Einzelma nahme, Werner-Jann-Zuspruch",Gegenwart,"Zu eingeschr?nkter B?rokratieabbau, DIHK, Bundesregierung, De-Regulierung",Gegenwart,"DIHK, Bundesregierung, Politikwissenschaftler ",Bürokratieabbau: Schelte für Deregulierer ,"Doch der DIHK hält daran fest, dass aus Sicht der Unternehmen Bürokratie weit über die Informationspflichten hinausreicht. Auf diese Pflichten jedoch will die Bundesregierung sich beschränken, also auf  den Aufwand, den Unternehmen haben mit Anträgen, Statistiken, Rechenschaftsberichten. Auch das Institut für Mittelstandsforschung kritisiert den Entwurf deshalb als Einzelmaßnahme. Dem hält der Potsdamer Politikwissenschaftler Werner Jann entgegen, Regulierungen könnten nur entflochten werden, wenn man sich auf ein Feld konzentriert, weil sonst die Gefahr, sich in Einzelinteressen und Fachdiskussionen zu verstricken, zu groß sei.",http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true
4,2,2,1,1,4,Gegenwart,"erfolgreich Brokratieabbau-Modell-Niederlande, gut Internationaler-Brokratiekosten-Datenabgleich-Gerhard-Klippstein",Gegenwart,"Vorbild B?rokratiekostenmodell Niederlande, international, Sachverst?ndige",Zukunft,"Erfolgsbeispiel, Grundlage, Wettbewerb, Brokratiekosten ",Bürokratieabbau: Schelte für Deregulierer ,"Weitgehende Einigkeit herrschte unter den Sachverständigen jedoch, dass das in den Niederlanden erfolgreich umgesetzte Modell zum Abbau von Bürokratiekosten eine gute Grundlage für Deutschland liefert. Durch international vergleichbare Daten werde ein spannender Wettbewerb über die Höhe der Bürokratiekosten in Europa ausgelöst, sagte der Rektor der Bielefelder Fachhochschule des Mittelstandes, Gerhard Klippstein.",http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true
5,-2,-1,0,1,5,Zukunft,"Normenkontrollrat-Kritik, mangelnd Kompetenzen-Normenkontrollrat",Gegenwart,"Normenkontrollrat w?re zu schwach, Gesetze, Ministerien, Kostenwirkung",Zukunft,"Normenkontrollrat, unzureichende Kompetenzen, Kostenwirkung",Bürokratieabbau: Schelte für Deregulierer ,"Kritischer beurteilten die Wissenschaftler dagegen die Einrichtung eines Normenkontrollrats. Nicht, weil sie dagegen wären. Sondern weil sie fürchten, dass einem solchen Rat zu wenig Kompetenzen zugestanden werden könnten. So ist noch ungeklärt, ob der Normenkontrollrat, der alle Gesetze, die in Ministerien entstehen, auf ihre Kostenwirkung hin überprüfen soll, auch auf jene Entwürfe zugreifen darf, die aus dem Bundestag oder dem Bundesrat kommen. Staatsministerin Hildegard Müller ( CDU ), im Kanzleramt federführend für das Projekt, will dies unbedingt. Ob aber die Fraktionen davon genauso überzeugt sind, ist nicht so sicher.",http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true
6,-1,-1,0,1,6,Gegenwart,"Normenkontrollrat-Kritik-Schlupfloch-Bertelsmann-Stiftung, mangelnd Amtshilfe","Vergangenheit, Gegenwart","L?ckenhaftes Gesetz, unsichere Fraktionen, intensive Lobbyarbeit (Bertelsmann), Amtshilfe",Gegenwart,"Bertelsmann-Stiftung, Amtshilfe",Bürokratieabbau: Schelte für Deregulierer ,"Die Bertelsmann-Stiftung, die schon seit Monaten intensive Lobbyarbeit für das niederländische Modell betreibt, hat noch ein weiteres Schlupfloch im neuen Gesetz gefunden. Darin steht, dass die Behörden von Bund und Ländern dem neuen Rat Amtshilfe bei seiner Arbeit leisten sollen. Von einer Pflicht, den Rat zu informieren, steht dort nichts. Allerdings könnte man einwenden, die Bitte um Amtshilfe sollte genug Gewicht entwickeln, die entsprechenden Beamten dazu zu bewegen, mit den Normenkontrolleuren zusammenzuarbeiten. Denn letztlich gilt, was Müller  ZEIT online  sagte: Man kann Bürokratieabbau nicht gegen Beamte betreiben.",http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true
7,0,-1,1,1,7,Gegenwart,Normenkontrollrat-Zuspruch-Deutscher-Gewerkschaftsbund,Gegenwart,"Deregulierung unn?tig, DGB, moderne Informations- und Kommunikationstechnik",Gegenwart,"DGB, Bonmot ",Bürokratieabbau: Schelte für Deregulierer ,"Ein Bonmot lieferte schließlich der Deutsche Gewerkschaftsbund. Sein Vertreter hält eine umfängliche Deregulierung gar nicht für notwendig. Bürokratie kann mit moderner Informations- und modernen Kommunikationstechnik heute viel einfacher verarbeitet werden. Na, denn ...",http://www.zeit.de/online/2006/22/buerkratie-abbau-anhoerung/komplettansicht?print=true
8,-3,-2,-3,2,1,Gegenwart,"hohe Quartalsverluste-Deutsche-Bank, Jahresverlust-Deutsche-Bank, Rekordgewinn-Vorjahr-Deutsche-Bank","Vergangenheit, Zukunft","Deutlicher Verlust, nach Rekordgewinn",Vergangenheit,"Deutsche-Bank, Milliardenverlust, Rekordgewinn",Finanzkrise: Deutsche Bank meldet Milliardenverlust ,"Den Verlust im vierten Quartal teilte die deutsche Privatbank am Mittwoch in Frankfurt aufgrund vorläufiger Zahlen mit. Für das Gesamtjahr geht das Institut von einem Minus von 3,9 Milliarden Euro aus. Im Vorjahr hatte die Bank noch einen Rekordgewinn von 6,5 Milliarden Euro erzielt.",http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true
9,0,0,1,2,2,Vergangenheit,Kernkapitalquote-Dividende-Deutsche-Bank,Vergangenheit,"Kernkapitalquote, Dividende",Vergangenheit,Kernkapitalquote,Finanzkrise: Deutsche Bank meldet Milliardenverlust ,"Zum Jahreswechsel 2008/2009 habe die Kernkapitalquote der Bank bei zehn Prozent gelegen. Die Dividende von 50 Cent pro Aktie für das Geschäftsjahr 2008 sei in dieser Berechnung bereits berücksichtigt, hieß es.",http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true
10,-1,-2,-2,2,3,Vergangenheit,"schwieriges Marktumfeld-Deutsche-Bank-Ackermann, gut Kapitalst?rke, fallend Aktienkurs","Vergangenheit, Gegenwart","Extrem schwieriges Marktumfeld, Kapitalst?rke",Vergangenheit,"fallende Aktien, Kapitalst„rke ",Finanzkrise: Deutsche Bank meldet Milliardenverlust ,"Das extrem schwierige Marktumfeld hat einige Schwächen in der Bank aufgezeigt, wird Deutsche-Bank-Chef Josef Ackermann in einer Erklärung zitiert. Die Kapitalstärke ermögliche es der Bank aber, den extrem schwierigen Marktbedingungen standzuhalten. Die Aktie des Finanzinstituts brach im frühen Mittwochshandel in der Spitze um 8,3 Prozent auf 22,26 Euro ein.",http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true
11,0,1,0,2,4,Zukunft,Deutsche-Bank-?bernahme-Postbank-Beginn-Aktientausch,"Vergangenheit, Gegenwart","?bernahme Postbank geht vorw?rts, Post, Deutsche Bank, KfW",Zukunft,"šbernahme, Bedingungen, Postbank",Finanzkrise: Deutsche Bank meldet Milliardenverlust ,"Am Mittwoch einigte sich das Bankhaus auch mit der Post auf die neuen Bedingungen zur Übernahme der Postbank. Die Deutsche Bank erwirbt demnach in einem ersten Schritt einen Anteil von 22,9 Prozent an der Postbank, im Gegenzug erhält die Post, die zu 30,5 Prozent der staatlichen Kreditanstalt für Wiederaufbau gehört, acht Prozent der Deutsche-Bank-Aktien.",http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true
12,0,0,1,2,5,Zukunft,Deutsche-Bank-?bernahme-Postbank-Pflichtumtauschanlage,Zukunft,"Beidseitiger Aktientausch, Anteilsscheine",Zukunft,"Aktienver„uáerung, Post, Pflichtumtauschanleihe ",Finanzkrise: Deutsche Bank meldet Milliardenverlust ,"Die Post soll die Aktien marktschonend veräußern können. Zugleich zeichnet das Frankfurter Institut eine Pflichtumtauschanleihe der Deutschen Post, die nach Ablauf von drei Jahren inklusive Zinsen in rund 27,4 Prozent der Aktien der Postbank getauscht werden soll. Für die verbliebenen Anteilsscheine bestünden weiterhin Kauf- und Verkaufsoptionen.",http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true
13,0,0,0,2,6,Gegenwart,Deutsche-Bank-?bernahme-Postbank-Transaktionsbarwert,Gegenwart,"Barwert, Transaktion",Gegenwart,Transaktionsbarwert,Finanzkrise: Deutsche Bank meldet Milliardenverlust ,"Der Barwert der Transaktion entspreche 4,9 Milliarden Euro, teilten die beteiligten Parteien am Mittwoch weiter mit.",http://www.zeit.de/online/2009/03/deutsche-bank-postbank-uebernahme/komplettansicht?print=true
14,1,2,2,3,1,Gegenwart,"Neujahrsansprache-Merkel, fallend Arbeitsmarkt, gut Zukunftsaussichten-Arbeitsmarkt-Mittelfrist","Gegenwart, Zukunft","gute Stimmung, steigende Wachstumsprognosen, Bundeskanzlerin, Kabinett, Arbeitspl?tze",Gegenwart,guter Neujahrsstart,Arbeitsmarkt: Immer mehr ist immer weniger ,"Das neue Jahr beginnt alles andere als suboptimal. Die Stimmung stimmt. Was eben noch Horror war, ist nun hoffnungsvolle Zukunft. Die Arbeitslosigkeit steigt langsamer, die Wachstumgsprognosen verfestigen sich auf ermutigende 1,5 Prozent. Offenbar hat die Bundeskanzlerin mit ihrer Neujahrsansprache den richtigen Ton getroffen. Ihr Doppelklick auf die Bundesregierung selbst, diese sei an die Arbeit gegangen und habe sich an die Arbeit gemacht, demonstriert  dass wenigstens das Kabinett Arbeit gefunden hat. Dass es sich sogar um mittelfristig sichere Arbeitsplätze handelt, verdeutlicht das fest im Blick fixierte Ziel, unser Land in zehn Jahren wieder an die Spitze Europas zu führen.",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
15,0,0,-1,3,2,Gegenwart,"Neujahrsansprache-Merkel, Fu ballweltmeisterschaft, hoch Arbeitslosigkeit, Kapitalistische-Tradition-Sozialistisches-Gewand-Merkel","Gegenwart, Vergangenheit","Fuõballweltmeisterschaft ein Fest, erschreckend hohe Arbeitslosigkeit, einfache Weisheit, Freiheit, Wachstum, Arbeit, Sozalismus, Brecht, Kapitalismus",Zukunft,"Kanzlerin, Arbeit, Wachstum, Freiheit, Brecht, Kapitalismus",Arbeitsmarkt: Immer mehr ist immer weniger ,"Denn trotz der wohltuenden Aussicht auf die Fußballweltmeisterschaft schon in diesem Jahr, an der wir mit der ganzen Welt ein Fest feiern können, das sich aus der Sicht der Awacs-Aufklärer gewiss putzig ausnimmt, weiß die Kanzlerin: Wenn wir … das Problem Nummer eins, die erschreckend hohe Arbeitslosigkeit in den Griff bekommen wollen, dann müssen wir noch mehr als bisher tun. Und auch hier ist guter Rat nicht teuer: Wir sollten uns an eine einfache Weisheit erinnern, sie lautet: Arbeit braucht Wachstum und Wachstum braucht Freiheit. Ein Satz wie aus Brechts Buch der Wendungen, in dem der Dichter sozioökonomische Klassiker des Sozialismus in fernöstliches Weisheitsgewand hüllte. Dialektisch geschult, hüllt die Kanzlerin ihrerseits kapitalistische Tradition ins sozialistische Gewand. Doch trägt oder trügt die Hoffnung, durch Wachstum Arbeit zu sichern, das heißt durch entgrenzten Kapitalismus sozialistische Versprechen einzulösen?",http://www.zeit.de/2006/03/Wachstum/komplettansicht?print=true
