"","name","id","L","D","D.ln","D2ln","lag","code","source","D ln"
"IS-M","Money market rate (mth.avg.)",1,1,1,NA,NA,0,"BBK01.SU0304,BBK01.SU0101","Buba",NA
"IS-D","Discount rate/short term repo rate (mth.avg.)",2,1,1,NA,NA,0,"BBK01.SU0112,BBK01.SU0114,BBK01.SU0115","Buba",NA
"IS-3M","3m-money market rate (mth.avg.)",3,1,1,NA,NA,0,"BBK01.SU0316,BBK01.SU0107,BBK01.SU0268","Buba",NA
"IS-3","Yields on debt securities outstanding (mat.3-5 years)",4,1,1,NA,NA,0,"BBK01.WU9552","Buba",NA
"IS-5","Yields on debt securities outstanding (mat.5-8 years)",5,1,1,NA,NA,0,"BBK01.WU9553","Buba",NA
"IL-10","Long term government bond yield-9-10 years",6,1,1,NA,NA,0,"BBK01.WX3950","Buba",NA
"SPR-C-G","Corporate bond-government bonds",11,1,NA,NA,NA,0,"BBK01.WU0022","Buba",NA
"SPR-10-M","Term spread (10y money market rate)",7,1,NA,NA,NA,0,"see constituent series","Buba",NA
"SPR-10Y-D","Term spread (10y discount rate)",8,1,NA,NA,NA,0,"see constituent series","Buba",NA
"SPR-10Y-3M","Term spread (10y 3 month-money market rate)",9,1,NA,NA,NA,0,"see constituent series","Buba",NA
"SPR-1D-M","Term spread (discount rate-money market rate)",10,1,NA,NA,NA,0,"see constituent series","Buba",NA
"EX","Nominal effective exchange rate",18,NA,NA,NA,NA,1,"BBEE1.M.I7.AAA.XZE02A.A.AABAN.M00","Buba",1
"EXR","Real effective exchange rate",19,NA,NA,NA,NA,1,"BBEE1.M.I7.AAA.XZE02A.R.AACPE.M00","Buba",1
"DAX","DAX",20,NA,NA,NA,NA,0,"BBQFS.M.DE.CORP.PRICE_DAX._X.0000","Buba",1
"VOLA1","DAX vola new",21,1,1,NA,NA,0,"BBQFS.M.DE.0000.VOL_IMP_DAX._X.0000","Buba",NA
"VOLA2","DAX vola old",22,1,1,NA,NA,0,"BBQFS.M.DE.0000.VOL_HIS_DAX._X.0000 ","Buba",NA
"HWWA-E","Hwwa index ~,energy",31,NA,NA,NA,1,1,"BBDG1.M.HWWI.N.EURO.ENERGY00.INDBEU.HE.A","Buba",1
"HWWA-EX","Hwwa index ~,excl. energy",33,NA,NA,NA,1,1,"BBDG1.M.HWWI.N.EURO.ENERGY00.INDBEU.HE.A","Buba",1
