"","year","month","HWWA-E","HWWA-EX"
"1990-01",1990,1,NA,NA
"1990-02",1990,2,NA,NA
"1990-03",1990,3,NA,NA
"1990-04",1990,4,NA,NA
"1990-05",1990,5,NA,NA
"1990-06",1990,6,NA,NA
"1990-07",1990,7,NA,NA
"1990-08",1990,8,NA,NA
"1990-09",1990,9,NA,NA
"1990-10",1990,10,NA,NA
"1990-11",1990,11,NA,NA
"1990-12",1990,12,NA,NA
"1991-01",1991,1,NA,NA
"1991-02",1991,2,NA,NA
"1991-03",1991,3,NA,NA
"1991-04",1991,4,NA,NA
"1991-05",1991,5,NA,NA
"1991-06",1991,6,NA,NA
"1991-07",1991,7,NA,NA
"1991-08",1991,8,NA,NA
"1991-09",1991,9,NA,NA
"1991-10",1991,10,NA,NA
"1991-11",1991,11,NA,NA
"1991-12",1991,12,NA,NA
"1992-01",1992,1,NA,NA
"1992-02",1992,2,NA,NA
"1992-03",1992,3,NA,NA
"1992-04",1992,4,NA,NA
"1992-05",1992,5,NA,NA
"1992-06",1992,6,NA,NA
"1992-07",1992,7,NA,NA
"1992-08",1992,8,NA,NA
"1992-09",1992,9,NA,NA
"1992-10",1992,10,NA,NA
"1992-11",1992,11,NA,NA
"1992-12",1992,12,NA,NA
"1993-01",1993,1,NA,NA
"1993-02",1993,2,NA,NA
"1993-03",1993,3,NA,NA
"1993-04",1993,4,NA,NA
"1993-05",1993,5,NA,NA
"1993-06",1993,6,NA,NA
"1993-07",1993,7,NA,NA
"1993-08",1993,8,NA,NA
"1993-09",1993,9,NA,NA
"1993-10",1993,10,NA,NA
"1993-11",1993,11,NA,NA
"1993-12",1993,12,NA,NA
"1994-01",1994,1,NA,NA
"1994-02",1994,2,NA,NA
"1994-03",1994,3,NA,NA
"1994-04",1994,4,NA,NA
"1994-05",1994,5,NA,NA
"1994-06",1994,6,NA,NA
"1994-07",1994,7,NA,NA
"1994-08",1994,8,NA,NA
"1994-09",1994,9,NA,NA
"1994-10",1994,10,NA,NA
"1994-11",1994,11,NA,NA
"1994-12",1994,12,NA,NA
"1995-01",1995,1,NA,NA
"1995-02",1995,2,NA,NA
"1995-03",1995,3,NA,NA
"1995-04",1995,4,NA,NA
"1995-05",1995,5,NA,NA
"1995-06",1995,6,NA,NA
"1995-07",1995,7,NA,NA
"1995-08",1995,8,NA,NA
"1995-09",1995,9,NA,NA
"1995-10",1995,10,NA,NA
"1995-11",1995,11,NA,NA
"1995-12",1995,12,NA,NA
"1996-01",1996,1,NA,NA
"1996-02",1996,2,NA,NA
"1996-03",1996,3,NA,NA
"1996-04",1996,4,NA,NA
"1996-05",1996,5,NA,NA
"1996-06",1996,6,NA,NA
"1996-07",1996,7,NA,NA
"1996-08",1996,8,NA,NA
"1996-09",1996,9,NA,NA
"1996-10",1996,10,NA,NA
"1996-11",1996,11,NA,NA
"1996-12",1996,12,NA,NA
"1997-01",1997,1,NA,NA
"1997-02",1997,2,NA,NA
"1997-03",1997,3,NA,NA
"1997-04",1997,4,NA,NA
"1997-05",1997,5,NA,NA
"1997-06",1997,6,NA,NA
"1997-07",1997,7,NA,NA
"1997-08",1997,8,NA,NA
"1997-09",1997,9,NA,NA
"1997-10",1997,10,NA,NA
"1997-11",1997,11,NA,NA
"1997-12",1997,12,NA,NA
"1998-01",1998,1,NA,NA
"1998-02",1998,2,NA,NA
"1998-03",1998,3,NA,NA
"1998-04",1998,4,NA,NA
"1998-05",1998,5,NA,NA
"1998-06",1998,6,NA,NA
"1998-07",1998,7,NA,NA
"1998-08",1998,8,NA,NA
"1998-09",1998,9,NA,NA
"1998-10",1998,10,NA,NA
"1998-11",1998,11,NA,NA
"1998-12",1998,12,NA,NA
"1999-01",1999,1,NA,NA
"1999-02",1999,2,NA,NA
"1999-03",1999,3,NA,NA
"1999-04",1999,4,NA,NA
"1999-05",1999,5,NA,NA
"1999-06",1999,6,NA,NA
"1999-07",1999,7,NA,NA
"1999-08",1999,8,NA,NA
"1999-09",1999,9,NA,NA
"1999-10",1999,10,NA,NA
"1999-11",1999,11,NA,NA
"1999-12",1999,12,NA,NA
"2000-01",2000,1,NA,NA
"2000-02",2000,2,NA,NA
"2000-03",2000,3,NA,NA
"2000-04",2000,4,NA,NA
"2000-05",2000,5,NA,NA
"2000-06",2000,6,NA,NA
"2000-07",2000,7,NA,NA
"2000-08",2000,8,NA,NA
"2000-09",2000,9,NA,NA
"2000-10",2000,10,NA,NA
"2000-11",2000,11,NA,NA
"2000-12",2000,12,NA,NA
"2001-01",2001,1,NA,NA
"2001-02",2001,2,NA,NA
"2001-03",2001,3,NA,NA
"2001-04",2001,4,NA,NA
"2001-05",2001,5,NA,NA
"2001-06",2001,6,NA,NA
"2001-07",2001,7,NA,NA
"2001-08",2001,8,NA,NA
"2001-09",2001,9,NA,NA
"2001-10",2001,10,NA,NA
"2001-11",2001,11,NA,NA
"2001-12",2001,12,NA,NA
"2002-01",2002,1,NA,NA
"2002-02",2002,2,NA,NA
"2002-03",2002,3,NA,NA
"2002-04",2002,4,NA,NA
"2002-05",2002,5,NA,NA
"2002-06",2002,6,NA,NA
"2002-07",2002,7,NA,NA
"2002-08",2002,8,NA,NA
"2002-09",2002,9,NA,NA
"2002-10",2002,10,NA,NA
"2002-11",2002,11,NA,NA
"2002-12",2002,12,NA,NA
"2003-01",2003,1,NA,NA
"2003-02",2003,2,NA,NA
"2003-03",2003,3,NA,NA
"2003-04",2003,4,NA,NA
"2003-05",2003,5,NA,NA
"2003-06",2003,6,NA,NA
"2003-07",2003,7,NA,NA
"2003-08",2003,8,NA,NA
"2003-09",2003,9,NA,NA
"2003-10",2003,10,NA,NA
"2003-11",2003,11,NA,NA
"2003-12",2003,12,NA,NA
