"",BBK01.CELQ02,BBK01.CELQ02_FLAGS
"",short-term time deposits                                 debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:40,
1999-01,-114.6,
1999-04,-8.3,
1999-07,29.2,
1999-10,13.1,
2000-01,-24.2,
2000-04,-27.0,
2000-07,18.2,
2000-10,87.4,
2001-01,-19.7,
2001-04,-24.6,
2001-07,30.6,
2001-10,43.3,
2002-01,-44.3,
2002-04,28.6,
2002-07,44.0,
2002-10,86.0,
2003-01,10.3,
2003-04,63.0,
2003-07,-44.5,
2003-10,61.5,
2004-01,-32.4,
2004-04,83.9,
2004-07,-9.4,
2004-10,127.9,
2005-01,-31.0,
2005-04,19.1,
2005-07,38.2,
2005-10,9.3,
2006-01,50.2,
2006-04,45.6,
2006-07,-6.1,
2006-10,40.8,
2007-01,28.1,
2007-04,10.0,
2007-07,49.8,
2007-10,149.6,
2008-01,-74.1,
2008-04,-9.2,
2008-07,101.7,
2008-10,20.0,
2009-01,-176.3,
2009-04,0.4,
2009-07,-145.8,
2009-10,37.5,
2010-01,-81.0,
2010-04,56.4,
2010-07,-154.1,
2010-10,-41.8,
2011-01,-75.9,
2011-04,4.1,
2011-07,53.2,
2011-10,3.0,
2012-01,-48.3,
2012-04,-12.6,
2012-07,-31.4,
2012-10,-73.5,
2013-01,35.6,
2013-04,20.8,
2013-07,-76.6,
2013-10,41.7,
2014-01,34.9,
2014-04,28.8,
2014-07,-43.0,
