"",BBAI3.Q.DE.N.V.LE.F511.LV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.LV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Life insurance companies / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:13,
2005-10,10809,
2006-01,10268,
2006-04,9337,
2006-07,11038,
2006-10,12120,
2007-01,12443,
2007-04,13128,
2007-07,11820,
2007-10,11053,
2008-01,10000,
2008-04,9408,
2008-07,8632,
2008-10,6852,
2009-01,5490,
2009-04,5610,
2009-07,6968,
2009-10,7060,
2010-01,7723,
2010-04,7008,
2010-07,7084,
2010-10,7595,
2011-01,7955,
2011-04,7580,
2011-07,6005,
2011-10,6175,
2012-01,7455,
2012-04,6866,
2012-07,7963,
2012-10,9021,
2013-01,9430,
2013-04,9535,
2013-07,9842,
2013-10,11018,
2014-01,10536,
2014-04,9816,
2014-07,10134,
