"",BBNZ1.Q.DE.N.H.0103.L,BBNZ1.Q.DE.N.H.0103.L_FLAGS
"","Germany / National accounts / Use of gross domestic product / Private consumption (price adjusted) 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:42,
1970-01,40.99,
1970-04,44.92,
1970-07,45.58,
1970-10,50.32,
1971-01,43.81,
1971-04,47.45,
1971-07,47.76,
1971-10,52.75,
1972-01,47.32,
1972-04,49.66,
1972-07,50.12,
1972-10,54.95,
1973-01,48.96,
1973-04,52.00,
1973-07,51.12,
1973-10,55.75,
1974-01,48.54,
1974-04,51.34,
1974-07,51.60,
1974-10,55.95,
1975-01,49.97,
1975-04,53.09,
1975-07,53.32,
1975-10,58.79,
1976-01,52.80,
1976-04,55.25,
1976-07,55.23,
1976-10,61.09,
1977-01,54.83,
1977-04,57.50,
1977-07,57.98,
1977-10,63.61,
1978-01,56.89,
1978-04,59.34,
1978-07,60.01,
1978-10,66.07,
1979-01,59.12,
1979-04,62.62,
1979-07,60.76,
1979-10,67.66,
1980-01,61.43,
1980-04,61.81,
1980-07,62.70,
1980-10,67.97,
1981-01,61.07,
1981-04,61.86,
1981-07,62.31,
1981-10,67.73,
1982-01,60.95,
1982-04,61.68,
1982-07,61.10,
1982-10,66.68,
1983-01,61.22,
1983-04,62.64,
1983-07,62.26,
1983-10,67.83,
1984-01,62.55,
1984-04,63.87,
1984-07,63.82,
1984-10,68.67,
1985-01,62.75,
1985-04,64.73,
1985-07,65.70,
1985-10,70.52,
1986-01,64.46,
1986-04,68.05,
1986-07,68.30,
1986-10,73.00,
1987-01,66.27,
1987-04,70.18,
1987-07,70.66,
1987-10,76.43,
1988-01,69.32,
1988-04,71.67,
1988-07,72.65,
1988-10,77.45,
1989-01,71.60,
1989-04,74.12,
1989-07,74.16,
1989-10,80.03,
1990-01,75.10,
1990-04,77.63,
1990-07,77.08,
1990-10,82.76,
1991-01,79.19,
1991-04,81.67,
1991-07,79.75,
1991-10,85.57,
1992-01,81.53,
1992-04,82.73,
1992-07,83.02,
1992-10,89.75,
1993-01,81.44,
1993-04,83.53,
1993-07,84.59,
1993-10,89.53,
1994-01,83.99,
1994-04,85.01,
1994-07,86.18,
1994-10,90.70,
1995-01,85.00,
1995-04,87.87,
1995-07,88.07,
1995-10,91.73,
1996-01,86.49,
1996-04,88.34,
1996-07,89.31,
1996-10,92.97,
1997-01,86.65,
1997-04,89.98,
1997-07,89.62,
1997-10,93.76,
1998-01,87.81,
1998-04,89.72,
1998-07,91.24,
1998-10,95.65,
1999-01,90.17,
1999-04,92.15,
1999-07,93.35,
1999-10,98.16,
2000-01,91.97,
2000-04,95.30,
2000-07,96.01,
2000-10,98.36,
2001-01,93.91,
2001-04,96.66,
2001-07,97.29,
2001-10,99.99,
2002-01,92.70,
2002-04,95.38,
2002-07,96.81,
2002-10,99.88,
2003-01,92.86,
2003-04,96.09,
2003-07,97.06,
2003-10,99.18,
2004-01,93.96,
2004-04,96.45,
2004-07,97.36,
2004-10,100.45,
2005-01,93.48,
2005-04,97.69,
2005-07,98.34,
2005-10,100.19,
2006-01,95.08,
2006-04,98.49,
2006-07,99.53,
2006-10,102.56,
2007-01,95.11,
2007-04,98.70,
2007-07,99.93,
2007-10,101.66,
2008-01,95.81,
2008-04,99.76,
2008-07,100.55,
2008-10,101.36,
2009-01,96.11,
2009-04,99.91,
2009-07,100.07,
2009-10,101.51,
2010-01,95.94,
2010-04,99.63,
2010-07,101.26,
2010-10,103.17,
2011-01,98.35,
2011-04,101.97,
2011-07,103.93,
2011-10,104.89,
2012-01,99.85,
2012-04,102.66,
2012-07,104.07,
2012-10,105.26,
2013-01,99.42,
2013-04,103.73,
2013-07,106.10,
2013-10,105.97,
2014-01,100.38,
2014-04,104.52,
2014-07,107.31,
2014-10,107.82,
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). - 3 Methodology: Figures are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
