"",BBEX3.M.INR.EUR.CA.AA.A01,BBEX3.M.INR.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in India / EUR 1 = INR ... (buying),
unit,INR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:59,
1999-01,48.38,
1999-02,46.52,
1999-03,45.24,
1999-04,45.29,
1999-05,44.67,
1999-06,44.57,
1999-07,46.17,
1999-08,45.44,
1999-09,45.75,
1999-10,45.50,
1999-11,43.69,
1999-12,43.63,
2000-01,42.58,
2000-02,42.18,
2000-03,41.61,
2000-04,39.57,
2000-05,41.24,
2000-06,42.29,
2000-07,41.21,
2000-08,40.72,
2000-09,40.37,
2000-10,39.08,
2000-11,40.04,
2000-12,43.23,
2001-01,42.77,
2001-02,42.56,
2001-03,40.74,
2001-04,41.54,
2001-05,40.03,
2001-06,39.57,
2001-07,41.08,
2001-08,43.07,
2001-09,43.54,
2001-10,43.32,
2001-11,42.30,
2001-12,42.45,
2002-01,41.66,
2002-02,41.95,
2002-03,42.32,
2002-04,44.08,
2002-05,45.71,
2002-06,48.09,
2002-07,47.71,
2002-08,47.55,
2002-09,47.05,
2002-10,47.57,
2002-11,47.74,
2002-12,49.78,
2003-01,51.47,
2003-02,50.98,
2003-03,51.18,
2003-04,52.38,
2003-05,55.54,
2003-06,52.79,
2003-07,52.06,
2003-08,49.59,
2003-09,52.18,
2003-10,52.41,
2003-11,54.44,
2003-12,57.00,
2004-01,55.94,
2004-02,56.04,
2004-03,53.60,
2004-04,52.79,
2004-05,55.36,
2004-06,55.40,
2004-07,55.70,
2004-08,55.75,
2004-09,56.64,
2004-10,57.74,
2004-11,59.07,
2004-12,59.18,
2005-01,56.75,
2005-02,57.74,
2005-03,56.35,
2005-04,56.22,
2005-05,53.93,
2005-06,52.44,
2005-07,52.45,
2005-08,53.52,
2005-09,52.69,
2005-10,54.10,
2005-11,53.79,
2005-12,53.27,
2006-01,53.02,
2006-02,52.47,
2006-03,53.90,
2006-04,56.01,
2006-05,59.34,
2006-06,58.09,
2006-07,59.02,
2006-08,59.29,
2006-09,58.00,
2006-10,56.90,
2006-11,58.58,
2006-12,57.63,
2007-01,56.82,
2007-02,58.28,
2007-03,57.52,
2007-04,56.03,
2007-05,54.32,
2007-06,54.32,
2007-07,55.07,
2007-08,55.64,
2007-09,55.96,
2007-10,56.29,
2007-11,58.10,
2007-12,57.68,
2008-01,58.13,
2008-02,60.10,
2008-03,62.34,
2008-04,62.31,
2008-05,65.52,
2008-06,67.16,
2008-07,65.68,
2008-08,63.83,
2008-09,67.18,
2008-10,61.87,
2008-11,63.49,
2008-12,67.64,
2009-01,62.53,
2009-02,63.51,
2009-03,65.48,
2009-04,65.21,
2009-05,65.65,
2009-06,66.73,
2009-07,67.34,
2009-08,68.96,
2009-09,69.32,
2009-10,68.80,
2009-11,69.02,
2009-12,66.20,
2010-01,63.79,
2010-02,62.03,
2010-03,59.63,
2010-04,58.08,
2010-05,56.44,
2010-06,56.24,
2010-07,59.81,
2010-08,58.67,
2010-09,60.11,
2010-10,61.04,
2010-11,59.40,
2010-12,58.79,
2011-01,61.63,
2011-02,61.43,
2011-03,62.36,
2011-04,65.05,
2011-05,63.86,
2011-06,64.07,
2011-07,62.37,
2011-08,65.88,
2011-09,65.70,
2011-10,67.50,
2011-11,68.58,
2011-12,68.16,
2012-01,64.56,
2012-02,65.06,
2012-03,67.44,
2012-04,68.72,
2012-05,68.97,
2012-06,69.84,
2012-07,67.25,
2012-08,68.94,
2012-09,67.35,
2012-10,69.16,
2012-11,69.88,
2012-12,71.59,
2013-01,71.18,
2013-02,70.23,
2013-03,68.69,
2013-04,70.12,
2013-05,72.70,
2013-06,77.37,
2013-07,79.99,
2013-08,86.53,
2013-09,83.46,
2013-10,83.27,
2013-11,84.03,
2013-12,84.31,
2014-01,83.97,
2014-02,84.19,
2014-03,81.71,
2014-04,82.36,
2014-05,79.34,
2014-06,81.12,
2014-07,79.83,
2014-08,78.88,
2014-09,77.35,
2014-10,76.56,
2014-11,76.26,
2014-12,76.17,
2015-01,69.24,
"","Source: State Bank of India, Frankfurt am Main.",
