"",BBAI3.Q.DE.N.V.LE.F29AB.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AB.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Deposits over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:57,
2005-10,7525,
2006-01,8560,
2006-04,9914,
2006-07,9873,
2006-10,9679,
2007-01,9648,
2007-04,9697,
2007-07,9453,
2007-10,9062,
2008-01,9851,
2008-04,10604,
2008-07,10936,
2008-10,11045,
2009-01,10089,
2009-04,9262,
2009-07,11165,
2009-10,13334,
2010-01,11599,
2010-04,10283,
2010-07,10176,
2010-10,9854,
2011-01,10432,
2011-04,11201,
2011-07,12201,
2011-10,12432,
2012-01,11549,
2012-04,11622,
2012-07,11959,
2012-10,12100,
2013-01,11753,
2013-04,12206,
2013-07,12419,
2013-10,12189,
2014-01,11080,
2014-04,10780,
2014-07,10589,
