"",BBSF2.M.1.T.00000.GEL01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEL01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
1989-05,-,Nothing exists
1989-06,-,Nothing exists
1989-07,-,Nothing exists
1989-08,-,Nothing exists
1989-09,-,Nothing exists
1989-10,-,Nothing exists
1989-11,-,Nothing exists
1989-12,-,Nothing exists
1990-01,-,Nothing exists
1990-02,-,Nothing exists
1990-03,-,Nothing exists
1990-04,-,Nothing exists
1990-05,-,Nothing exists
1990-06,-,Nothing exists
1990-07,-,Nothing exists
1990-08,-,Nothing exists
1990-09,-,Nothing exists
1990-10,-,Nothing exists
1990-11,-,Nothing exists
1990-12,-,Nothing exists
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,231,
1994-10,655,
1994-11,1438,
1994-12,8510,
1995-01,7236,
1995-02,5252,
1995-03,4507,
1995-04,4269,
1995-05,4631,
1995-06,4960,
1995-07,5352,
1995-08,5002,
1995-09,4697,
1995-10,4878,
1995-11,4944,
1995-12,7867,
1996-01,7064,
1996-02,7299,
1996-03,7481,
1996-04,7536,
1996-05,7373,
1996-06,6827,
1996-07,6355,
1996-08,6240,
1996-09,6193,
1996-10,6186,
1996-11,5982,
1996-12,6129,
1997-01,5436,
1997-02,5197,
1997-03,4984,
1997-04,4957,
1997-05,4776,
1997-06,4965,
1997-07,4972,
1997-08,4893,
1997-09,4525,
1997-10,4224,
1997-11,4308,
1997-12,4777,
1998-01,4938,
1998-02,5626,
1998-03,5685,
1998-04,5177,
1998-05,5004,
1998-06,4836,
1998-07,4877,
1998-08,5019,
1998-09,4787,
1998-10,5091,
1998-11,5465,
1998-12,5740,
1999-01,5875,
1999-02,5921,
1999-03,5891,
1999-04,5802,
1999-05,6538,
1999-06,5287,
1999-07,5354,
1999-08,5428,
1999-09,5621,
1999-10,6452,
1999-11,4862,
1999-12,4551,
2000-01,6011,
2000-02,5983,
2000-03,6332,
2000-04,6075,
2000-05,5661,
2000-06,5346,
2000-07,5010,
2000-08,4832,
2000-09,4306,
2000-10,4107,
2000-11,4056,
2000-12,3952,
2001-01,3850,
2001-02,4241,
2001-03,4237,
2001-04,4454,
2001-05,3980,
2001-06,4552,
2001-07,5158,
2001-08,5019,
2001-09,5530,
2001-10,5520,
2001-11,5970,
2001-12,7908,
2002-01,8344,
2002-02,8930,
2002-03,8072,
2002-04,8226,
2002-05,8627,
2002-06,7712,
2002-07,7580,
2002-08,8346,
2002-09,7761,
2002-10,8271,
2002-11,8566,
2002-12,8293,
2003-01,8950,
2003-02,9433,
2003-03,8682,
2003-04,7881,
2003-05,7230,
2003-06,6663,
2003-07,6750,
2003-08,6770,
2003-09,7202,
2003-10,6627,
2003-11,6426,
2003-12,7026,
2004-01,6758,
2004-02,6732,
2004-03,6364,
2004-04,6669,
2004-05,5969,
2004-06,6555,
2004-07,9714,
2004-08,11605,
2004-09,10239,
2004-10,9360,
2004-11,8069,
2004-12,7328,
2005-01,6640,
2005-02,6942,
2005-03,8306,
2005-04,9375,
2005-05,8380,
2005-06,7916,
2005-07,9162,
2005-08,8882,
2005-09,9014,
2005-10,6129,
2005-11,4610,
2005-12,4302,
2006-01,3753,
2006-02,4022,
2006-03,3165,
2006-04,2988,
2006-05,3583,
2006-06,3344,
2006-07,3462,
2006-08,3363,
2006-09,2460,
2006-10,2716,
2006-11,2896,
2006-12,3028,
2007-01,2817,
2007-02,2195,
2007-03,2119,
2007-04,3393,
2007-05,2199,
2007-06,3071,
2007-07,2362,
2007-08,3232,
2007-09,3329,
2007-10,2421,
2007-11,3029,
2007-12,3637,
2008-01,3454,
2008-02,3964,
2008-03,3757,
2008-04,3475,
2008-05,3373,
2008-06,3328,
2008-07,3571,
2008-08,3998,
2008-09,4596,
2008-10,4829,
2008-11,4728,
2008-12,4484,
2009-01,4278,
2009-02,4156,
2009-03,3921,
2009-04,3863,
2009-05,3784,
2009-06,3672,
2009-07,2289,
2009-08,2187,
2009-09,2781,
2009-10,2885,
2009-11,2804,
2009-12,2723,
2010-01,3057,
2010-02,3088,
2010-03,2369,
2010-04,2411,
2010-05,2477,
2010-06,2532,
2010-07,2465,
2010-08,2146,
2010-09,2142,
2010-10,2003,
2010-11,1992,
2010-12,2286,
2011-01,2027,
2011-02,2271,
2011-03,2468,
2011-04,2188,
2011-05,2031,
2011-06,2188,
2011-07,521,
2011-08,510,
2011-09,602,
2011-10,656,
2011-11,614,
2011-12,544,
2012-01,430,
2012-02,418,
2012-03,439,
2012-04,437,
2012-05,398,
2012-06,450,
2012-07,404,
2012-08,363,
2012-09,348,
2012-10,333,
2012-11,303,
2012-12,322,
2013-01,332,
2013-02,509,
2013-03,614,
2013-04,953,
2013-05,633,
2013-06,436,
2013-07,371,
2013-08,367,
2013-09,362,
2013-10,353,
2013-11,310,
2013-12,315,
2014-01,343,
2014-02,330,
2014-03,311,
2014-04,311,
2014-05,301,
2014-06,295,
2014-07,329,
2014-08,267,
2014-09,288,
2014-10,377,
2014-11,247,
