"",BBAI3.Q.DE.N.V.LE.F29AAB.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAB.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Deposits over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:33,
2005-10,164,
2006-01,189,
2006-04,197,
2006-07,216,
2006-10,257,
2007-01,290,
2007-04,319,
2007-07,305,
2007-10,343,
2008-01,328,
2008-04,491,
2008-07,554,
2008-10,458,
2009-01,445,
2009-04,431,
2009-07,379,
2009-10,374,
2010-01,358,
2010-04,274,
2010-07,221,
2010-10,233,
2011-01,262,
2011-04,239,
2011-07,257,
2011-10,261,
2012-01,228,
2012-04,251,
2012-07,261,
2012-10,235,
2013-01,234,
2013-04,281,
2013-07,253,
2013-10,256,
2014-01,217,
2014-04,219,
2014-07,280,
