"",BBAI3.Q.DE.N.V.LE.F51M.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:29,
2005-10,32641,
2006-01,30694,
2006-04,29349,
2006-07,30440,
2006-10,30256,
2007-01,28592,
2007-04,26554,
2007-07,27753,
2007-10,27048,
2008-01,26141,
2008-04,25455,
2008-07,24402,
2008-10,25243,
2009-01,24839,
2009-04,23012,
2009-07,23267,
2009-10,22274,
2010-01,23170,
2010-04,23487,
2010-07,21771,
2010-10,19611,
2011-01,19747,
2011-04,21877,
2011-07,22245,
2011-10,23315,
2012-01,24534,
2012-04,24953,
2012-07,24754,
2012-10,22040,
2013-01,25520,
2013-04,25296,
2013-07,25714,
2013-10,26191,
2014-01,25779,
2014-04,25684,
2014-07,26216,
