"",BBAI3.Q.DE.N.V.LE.F2M.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F2M.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Deposits / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:32,
2005-10,384713,
2006-01,390846,
2006-04,396316,
2006-07,401843,
2006-10,410351,
2007-01,416666,
2007-04,423087,
2007-07,423205,
2007-10,432542,
2008-01,440062,
2008-04,441107,
2008-07,437711,
2008-10,436674,
2009-01,447003,
2009-04,443407,
2009-07,444815,
2009-10,440414,
2010-01,440444,
2010-04,434236,
2010-07,428190,
2010-10,419957,
2011-01,425787,
2011-04,426971,
2011-07,428447,
2011-10,419810,
2012-01,415345,
2012-04,412513,
2012-07,409395,
2012-10,403651,
2013-01,402088,
2013-04,397236,
2013-07,390089,
2013-10,383459,
2014-01,381621,
2014-04,378248,
2014-07,371827,
