"",BBAI3.Q.DE.N.V.LE.F4.LV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.LV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Life insurance companies / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:12,
2005-10,32163,
2006-01,32089,
2006-04,32009,
2006-07,31906,
2006-10,31892,
2007-01,30802,
2007-04,29643,
2007-07,28542,
2007-10,27246,
2008-01,27058,
2008-04,26809,
2008-07,26510,
2008-10,25828,
2009-01,25204,
2009-04,24589,
2009-07,23948,
2009-10,23150,
2010-01,23450,
2010-04,23516,
2010-07,23383,
2010-10,23146,
2011-01,23073,
2011-04,22838,
2011-07,22589,
2011-10,22104,
2012-01,22392,
2012-04,22582,
2012-07,22851,
2012-10,23051,
2013-01,23380,
2013-04,23534,
2013-07,23672,
2013-10,23804,
2014-01,24095,
2014-04,24239,
2014-07,24371,
