"",BBAI3.Q.DE.N.V.LE.F62.LV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F62.LV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Life insurance companies / Prepayments of insurance premiums and res. for outstanding claims / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:15,
2005-10,13329,
2006-01,13385,
2006-04,13431,
2006-07,13457,
2006-10,13461,
2007-01,13484,
2007-04,13452,
2007-07,13422,
2007-10,13304,
2008-01,13364,
2008-04,13391,
2008-07,13389,
2008-10,13166,
2009-01,12955,
2009-04,12762,
2009-07,12567,
2009-10,12298,
2010-01,12534,
2010-04,12656,
2010-07,12684,
2010-10,12711,
2011-01,12916,
2011-04,13033,
2011-07,13141,
2011-10,13108,
2012-01,13283,
2012-04,13398,
2012-07,13554,
2012-10,13663,
2013-01,13794,
2013-04,13811,
2013-07,13806,
2013-10,13784,
2014-01,13952,
2014-04,14036,
2014-07,14112,
