"",BBK01.CEL7K0,BBK01.CEL7K0_FLAGS
"",Other accounts payable debtor: Insurance corporations and Pension funds                creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:27,
1999-01,5.9,
1999-04,-3.7,
1999-07,2.9,
1999-10,5.4,
2000-01,8.6,
2000-04,4.6,
2000-07,2.3,
2000-10,-6.7,
2001-01,1.1,
2001-04,1.6,
2001-07,-6.9,
2001-10,31.0,
2002-01,13.5,
2002-04,1.1,
2002-07,0.3,
2002-10,23.6,
2003-01,-4.0,
2003-04,-7.9,
2003-07,-0.3,
2003-10,18.6,
2004-01,4.2,
2004-04,-3.6,
2004-07,-2.2,
2004-10,-10.6,
2005-01,13.9,
2005-04,1.7,
2005-07,2.9,
2005-10,7.5,
2006-01,-1.0,
2006-04,5.8,
2006-07,-2.8,
2006-10,-5.7,
2007-01,6.7,
2007-04,3.1,
2007-07,7.4,
2007-10,-1.4,
2008-01,-0.3,
2008-04,-3.9,
2008-07,8.5,
2008-10,-0.8,
2009-01,8.2,
2009-04,-13.2,
2009-07,-10.9,
2009-10,-9.9,
2010-01,11.7,
2010-04,-9.0,
2010-07,-4.0,
2010-10,2.6,
2011-01,12.5,
2011-04,9.3,
2011-07,0.6,
2011-10,-4.5,
2012-01,15.4,
2012-04,-8.7,
2012-07,-1.2,
2012-10,6.3,
2013-01,8.6,
2013-04,-8.8,
2013-07,0.0,
2013-10,-8.1,
2014-01,9.1,
2014-04,1.5,
2014-07,-9.5,
