"",BBK01.CEBXBB,BBK01.CEBXBB_FLAGS
"",Prepayments of insurance premiums and reserves for outstanding claims  debtor: Insurance corporations                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:27,
1991-01,25.0,
1991-04,25.1,
1991-07,25.2,
1991-10,25.5,
1992-01,28.8,
1992-04,29.1,
1992-07,29.1,
1992-10,27.3,
1993-01,29.6,
1993-04,30.7,
1993-07,31.1,
1993-10,29.1,
1994-01,29.2,
1994-04,31.8,
1994-07,32.6,
1994-10,30.4,
1995-01,47.3,
1995-04,47.9,
1995-07,49.0,
1995-10,49.2,
1996-01,54.0,
1996-04,54.5,
1996-07,54.5,
1996-10,52.5,
1997-01,56.2,
1997-04,56.8,
1997-07,57.7,
1997-10,56.2,
1998-01,59.2,
1998-04,60.4,
1998-07,61.0,
1998-10,61.4,
1999-01,65.1,
1999-04,66.0,
1999-07,67.0,
1999-10,70.1,
2000-01,72.2,
2000-04,73.1,
2000-07,73.9,
2000-10,71.3,
2001-01,73.4,
2001-04,74.3,
2001-07,76.3,
2001-10,83.4,
2002-01,87.3,
2002-04,88.2,
2002-07,89.5,
2002-10,86.7,
2003-01,88.0,
2003-04,89.2,
2003-07,90.1,
2003-10,82.5,
2004-01,84.0,
2004-04,84.2,
2004-07,84.9,
2004-10,82.6,
2005-01,84.4,
2005-04,84.9,
2005-07,86.4,
2005-10,79.6,
2006-01,79.2,
2006-04,78.8,
2006-07,78.4,
2006-10,74.5,
2007-01,73.8,
2007-04,73.0,
2007-07,72.2,
2007-10,70.2,
2008-01,69.0,
2008-04,67.9,
2008-07,66.8,
2008-10,65.8,
2009-01,63.8,
2009-04,61.9,
2009-07,60.2,
2009-10,58.6,
2010-01,58.9,
2010-04,59.2,
2010-07,59.5,
2010-10,59.9,
2011-01,60.5,
2011-04,61.0,
2011-07,61.6,
2011-10,62.2,
2012-01,62.4,
2012-04,62.6,
2012-07,62.9,
2012-10,63.1,
2013-01,64.9,
2013-04,64.7,
2013-07,64.6,
2013-10,64.9,
2014-01,67.4,
