"",BBEX3.A.KYD.USD.CM.AC.A04,BBEX3.A.KYD.USD.CM.AC.A04_FLAGS
"",Exchange rates for the US dollar in the Cayman Islands / KYD 1 = USD ...,
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:14:53,
1974,1.20,
1975,1.20,
1976,1.20,
1977,1.20,
1978,1.20,
1979,1.20,
1980,1.20,
1981,1.20,
1982,1.20,
1983,1.20,
1984,1.20,
1985,1.20,
1986,1.20,
1987,1.20,
1988,1.20,
1989,1.20,
1990,1.20,
1991,1.20,
1992,1.20,
1993,1.20,
1994,1.20,
1995,1.20,
1996,1.20,
1997,1.20,
1998,1.20,
1999,1.20,
2000,1.20,
2001,1.20,
2002,1.20,
2003,1.20,
2004,1.20,
2005,1.20,
2006,1.20,
2007,1.20,
2008,1.20,
2009,1.20,
2010,1.20,
2011,1.20,
2012,1.20,
2013,1.20,
2014,1.20,
"","General: Since 25 January 1974, fixed exchange rate to the US dollar.",
"",Source: Cayman Islands Monetary Authority.,
