"",BBK01.CEF6K0,BBK01.CEF6K0_FLAGS
"","Insurance, pension an standardised guarantee schemes  debtor: Insurance corporations               creditor: Total",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:39,
1999-01,707.0,
1999-04,718.3,
1999-07,731.3,
1999-10,749.1,
2000-01,769.1,
2000-04,780.1,
2000-07,792.2,
2000-10,800.5,
2001-01,820.1,
2001-04,830.5,
2001-07,846.0,
2001-10,861.8,
2002-01,886.1,
2002-04,896.7,
2002-07,909.6,
2002-10,897.5,
2003-01,913.1,
2003-04,924.2,
2003-07,934.6,
2003-10,937.4,
2004-01,951.9,
2004-04,959.3,
2004-07,968.5,
2004-10,978.1,
2005-01,994.2,
2005-04,1003.0,
2005-07,1015.2,
2005-10,1036.8,
2006-01,1045.7,
2006-04,1054.7,
2006-07,1063.6,
2006-10,1073.0,
2007-01,1077.2,
2007-04,1081.5,
2007-07,1085.7,
2007-10,1101.1,
2008-01,1102.7,
2008-04,1104.1,
2008-07,1105.5,
2008-10,1106.5,
2009-01,1116.7,
2009-04,1127.0,
2009-07,1137.2,
2009-10,1147.3,
2010-01,1161.1,
2010-04,1174.8,
2010-07,1188.4,
2010-10,1202.0,
2011-01,1210.4,
2011-04,1218.7,
2011-07,1227.0,
2011-10,1235.2,
2012-01,1249.3,
2012-04,1263.3,
2012-07,1277.2,
2012-10,1291.1,
2013-01,1305.7,
2013-04,1320.1,
2013-07,1334.6,
2013-10,1349.0,
2014-01,1367.5,
2014-04,1378.4,
2014-07,1386.8,
