"",BBK01.CEBA0X,BBK01.CEBA0X_FLAGS
"",Money market paper debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:17,
1991-01,0.7,
1991-04,0.7,
1991-07,0.8,
1991-10,0.8,
1992-01,0.9,
1992-04,0.9,
1992-07,0.9,
1992-10,0.9,
1993-01,0.9,
1993-04,1.3,
1993-07,1.1,
1993-10,0.5,
1994-01,0.7,
1994-04,1.1,
1994-07,1.2,
1994-10,0.4,
1995-01,0.7,
1995-04,1.4,
1995-07,0.6,
1995-10,0.3,
1996-01,0.9,
1996-04,0.8,
1996-07,0.6,
1996-10,0.8,
1997-01,1.1,
1997-04,1.0,
1997-07,0.9,
1997-10,1.1,
1998-01,1.2,
1998-04,0.9,
1998-07,0.8,
1998-10,1.0,
1999-01,1.1,
1999-04,0.7,
1999-07,0.7,
1999-10,0.8,
2000-01,0.7,
2000-04,0.9,
2000-07,0.9,
2000-10,0.6,
2001-01,0.6,
2001-04,0.6,
2001-07,0.8,
2001-10,1.1,
2002-01,0.8,
2002-04,0.8,
2002-07,0.8,
2002-10,0.4,
2003-01,0.8,
2003-04,0.7,
2003-07,0.9,
2003-10,1.4,
2004-01,1.4,
2004-04,1.5,
2004-07,1.7,
2004-10,1.0,
2005-01,1.3,
2005-04,1.7,
2005-07,1.5,
2005-10,1.3,
2006-01,3.2,
2006-04,5.5,
2006-07,5.2,
2006-10,3.5,
2007-01,4.7,
2007-04,6.3,
2007-07,5.6,
2007-10,7.4,
2008-01,8.0,
2008-04,8.3,
2008-07,9.5,
2008-10,7.6,
2009-01,9.1,
2009-04,7.3,
2009-07,7.6,
2009-10,6.8,
2010-01,7.7,
2010-04,8.7,
2010-07,8.9,
2010-10,9.9,
2011-01,7.6,
2011-04,8.0,
2011-07,8.1,
2011-10,8.2,
2012-01,8.0,
2012-04,8.4,
2012-07,7.1,
2012-10,7.4,
2013-01,6.6,
2013-04,7.7,
2013-07,7.1,
2013-10,6.8,
2014-01,8.7,
