"",BBAI3.Q.DE.N.V.LE.F51M.KV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.KV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Health insurance companies / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:20,
2005-10,2726,
2006-01,2592,
2006-04,2396,
2006-07,2637,
2006-10,2739,
2007-01,2856,
2007-04,3224,
2007-07,3362,
2007-10,3286,
2008-01,2944,
2008-04,2771,
2008-07,2527,
2008-10,2356,
2009-01,1896,
2009-04,1926,
2009-07,2343,
2009-10,2401,
2010-01,2575,
2010-04,2302,
2010-07,2272,
2010-10,2462,
2011-01,2686,
2011-04,2580,
2011-07,2047,
2011-10,2127,
2012-01,2563,
2012-04,2363,
2012-07,2712,
2012-10,3069,
2013-01,3352,
2013-04,3460,
2013-07,3576,
2013-10,4022,
2014-01,3877,
2014-04,3933,
2014-07,4075,
