"",BBFB1.Q.N.DE.A5.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:58,
1991-01,17.979,
1991-04,205.370,
1991-07,334.897,
1991-10,-9.680,
1992-01,-26.950,
1992-04,-168.638,
1992-07,48.593,
1992-10,-118.041,
1993-01,10.869,
1993-04,-56.803,
1993-07,-49.168,
1993-10,-116.714,
1994-01,34.556,
1994-04,-148.907,
1994-07,-56.326,
1994-10,-76.650,
1995-01,-68.391,
1995-04,-79.567,
1995-07,-30.939,
1995-10,-2.362,
1996-01,-167.915,
1996-04,96.064,
1996-07,1.482,
1996-10,686.351,
1997-01,-110.445,
1997-04,-205.777,
1997-07,-63.879,
1997-10,-8.351,
1998-01,-175.459,
1998-04,-81.013,
1998-07,83.929,
1998-10,106.706,
1999-01,-21.840,
1999-04,-46.966,
1999-07,-15.278,
1999-10,-75.181,
2000-01,151.272,
2000-04,-216.076,
2000-07,-41.910,
2000-10,528.148,
2001-01,-54.990,
2001-04,-47.321,
2001-07,-201.737,
2001-10,-97.681,
2002-01,-201.724,
2002-04,-1.012,
2002-07,-148.381,
2002-10,41.822,
2003-01,534.933,
2003-04,-307.658,
2003-07,89.615,
2003-10,133.307,
2004-01,799.949,
2004-04,42.377,
2004-07,89.623,
2004-10,-2.273,
2005-01,-6.844,
2005-04,475.848,
2005-07,-120.286,
2005-10,-2509.252,
2006-01,4.106,
2006-04,12.143,
2006-07,13.490,
2006-10,1474.399,
2007-01,38.441,
2007-04,-284.675,
2007-07,51.881,
2007-10,1559.814,
2008-01,13.333,
2008-04,413.761,
2008-07,43.305,
2008-10,14.646,
2009-01,-20.009,
2009-04,-188.724,
2009-07,-745.530,
2009-10,-79.800,
2010-01,-557.780,
2010-04,-44.313,
2010-07,-18.219,
2010-10,-204.907,
2011-01,-7.545,
2011-04,-28.144,
2011-07,7.492,
2011-10,-67.087,
2012-01,-889.925,
2012-04,10.992,
2012-07,0.262,
2012-10,-11.796,
2013-01,-532.427,
2013-04,-362.307,
2013-07,153.878,
2013-10,174.419,
2014-01,251.476,Provisional value
2014-04,204.455,Provisional value
2014-07,-126.958,Provisional value
2014-10,-58.487,Provisional value
