"",BBFN1.M.DE.N.1.L.FR.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.FR.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1986-09,0.951,
1986-10,0.955,
1986-11,0.925,
1986-12,0.839,
1987-01,0.947,
1987-02,0.931,
1987-03,0.930,
1987-04,0.962,
1987-05,0.970,
1987-06,0.978,
1987-07,1.018,
1987-08,0.981,
1987-09,1.055,
1987-10,0.950,
1987-11,0.969,
1987-12,0.977,
1988-01,0.970,
1988-02,0.927,
1988-03,0.936,
1988-04,0.935,
1988-05,0.954,
1988-06,0.970,
1988-07,1.026,
1988-08,1.018,
1988-09,1.003,
1988-10,1.015,
1988-11,0.994,
1988-12,0.983,
1989-01,1.067,
1989-02,1.091,
1989-03,1.086,
1989-04,1.022,
1989-05,1.030,
1989-06,1.001,
1989-07,1.004,
1989-08,1.003,
1989-09,0.905,
1989-10,0.912,
1989-11,1.016,
1989-12,1.018,
1990-01,0.998,
1990-02,0.991,
1990-03,0.990,
1990-04,0.993,
1990-05,0.993,
1990-06,0.998,
1990-07,1.044,
1990-08,1.046,
1990-09,1.011,
1990-10,1.016,
1990-11,1.037,
1990-12,1.063,
1991-01,1.059,
1991-02,1.091,
1991-03,1.065,
1991-04,1.227,
1991-05,1.250,
1991-06,1.272,
1991-07,1.467,
1991-08,1.360,
1991-09,1.387,
1991-10,1.441,
1991-11,1.502,
1991-12,1.367,
1992-01,1.476,
1992-02,1.478,
1992-03,1.555,
1992-04,1.563,
1992-05,1.632,
1992-06,1.649,
1992-07,1.657,
1992-08,1.671,
1992-09,1.937,
1992-10,2.050,
1992-11,2.123,
1992-12,2.657,
1993-01,2.792,
1993-02,2.843,
1993-03,2.875,
1993-04,2.735,
1993-05,2.810,
1993-06,2.789,
1993-07,2.722,
1993-08,2.755,
1993-09,2.386,
1993-10,2.381,
1993-11,2.360,
1993-12,2.859,
1994-01,2.898,
1994-02,2.945,
1994-03,2.923,
1994-04,2.997,
1994-05,2.987,
1994-06,3.214,
1994-07,3.234,
1994-08,3.228,
1994-09,3.240,
1994-10,3.231,
1994-11,3.149,
1994-12,3.131,
1995-01,3.033,
1995-02,3.002,
1995-03,3.011,
1995-04,3.143,
1995-05,3.134,
1995-06,3.077,
1995-07,3.123,
1995-08,3.146,
1995-09,3.122,
1995-10,3.051,
1995-11,3.055,
1995-12,3.009,
1996-01,3.077,
1996-02,3.137,
1996-03,3.157,
1996-04,3.076,
1996-05,3.088,
1996-06,3.043,
1996-07,3.387,
1996-08,3.392,
1996-09,3.405,
1996-10,3.398,
1996-11,3.398,
1996-12,3.357,
1997-01,3.437,
1997-02,3.422,
1997-03,3.480,
1997-04,3.437,
1997-05,3.467,
1997-06,3.453,
1997-07,3.306,
1997-08,3.309,
1997-09,3.336,
1997-10,3.345,
1997-11,3.361,
1997-12,3.269,
1998-01,3.267,
1998-02,2.826,
1998-03,2.638,
1998-04,2.466,
1998-05,2.344,
1998-06,2.360,
1998-07,2.361,
1998-08,2.379,
1998-09,2.433,
1998-10,2.402,
1998-11,2.385,
1998-12,2.293,
1999-01,2.188,
1999-02,2.162,
1999-03,2.149,
1999-04,2.113,
1999-05,2.139,
1999-06,2.871,
1999-07,2.872,
1999-08,2.900,
1999-09,2.918,
1999-10,2.946,
1999-11,3.056,
1999-12,2.769,
2000-01,2.775,
2000-02,2.780,
2000-03,2.703,
2000-04,2.698,
2000-05,2.731,
2000-06,2.763,
2000-07,2.716,
2000-08,2.774,
2000-09,2.799,
2000-10,2.708,
2000-11,2.678,
2000-12,2.632,
2001-01,2.646,
2001-02,2.594,
2001-03,2.880,
2001-04,2.795,
2001-05,2.921,
2001-06,3.323,
2001-07,3.426,
2001-08,3.843,
2001-09,4.132,
2001-10,4.100,
2001-11,4.202,
2001-12,4.241,
2002-01,4.388,
2002-02,4.165,
2002-03,4.262,
2002-04,4.348,
2002-05,4.410,
2002-06,4.371,
2002-07,5.744,
2002-08,6.018,
2002-09,6.879,
2002-10,7.013,
2002-11,7.560,
2002-12,7.520,
2003-01,7.481,
2003-02,7.223,
2003-03,6.588,
2003-04,6.704,
2003-05,6.792,
2003-06,6.460,
2003-07,6.087,
2003-08,6.066,
2003-09,6.110,
2003-10,6.220,
2003-11,6.313,
2003-12,7.580,
2004-01,7.514,
2004-02,9.105,
2004-03,7.686,
2004-04,7.607,
2004-05,7.771,
2004-06,8.966,
2004-07,8.869,
2004-08,8.794,
2004-09,7.945,
2004-10,7.865,
2004-11,7.835,
2004-12,8.050,
2005-01,8.169,
2005-02,8.351,
2005-03,8.860,
2005-04,8.896,
2005-05,9.011,
2005-06,9.026,
2005-07,9.097,
2005-08,9.103,
2005-09,9.080,
2005-10,9.117,
2005-11,11.523,
2005-12,11.972,
2006-01,12.453,
2006-02,12.638,
2006-03,12.808,
2006-04,12.966,
2006-05,13.433,
2006-06,14.335,
2006-07,14.581,
2006-08,14.773,
2006-09,14.816,
2006-10,14.934,
2006-11,15.166,
2006-12,13.782,
2007-01,13.644,
2007-02,13.723,
2007-03,14.192,
2007-04,14.074,
2007-05,14.135,
2007-06,13.714,
2007-07,14.676,
2007-08,15.499,
2007-09,15.756,
2007-10,15.462,
2007-11,15.375,
2007-12,15.320,
2008-01,14.831,
2008-02,16.027,
2008-03,16.501,
2008-04,16.674,
2008-05,16.680,
2008-06,16.859,
2008-07,16.731,
2008-08,16.805,
2008-09,16.949,
2008-10,16.928,
2008-11,17.111,
2008-12,21.428,
2009-01,21.075,
2009-02,21.085,
2009-03,20.583,
2009-04,20.581,
2009-05,20.720,
2009-06,20.959,
2009-07,21.158,
2009-08,24.127,
2009-09,24.551,
2009-10,23.954,
2009-11,24.664,
2009-12,23.965,
2010-01,24.107,
2010-02,24.168,
2010-03,24.116,
2010-04,24.213,
2010-05,24.249,
2010-06,24.431,
2010-07,24.711,
2010-08,24.745,
2010-09,24.793,
2010-10,25.208,
2010-11,25.375,
2010-12,25.235,
2011-01,24.739,
2011-02,25.545,
2011-03,25.101,
2011-04,25.058,
2011-05,25.157,
2011-06,24.953,
2011-07,24.676,
2011-08,25.078,
2011-09,24.989,
2011-10,24.678,
2011-11,24.679,
2011-12,24.531,
2012-01,24.527,
2012-02,24.278,
2012-03,23.605,
2012-04,23.349,
2012-05,23.350,
2012-06,23.301,
2012-07,23.184,
2012-08,23.461,
2012-09,23.400,
2012-10,23.374,
2012-11,22.973,
2012-12,23.239,
2013-01,23.163,
2013-02,18.673,
2013-03,18.203,
2013-04,18.143,
2013-05,18.102,
2013-06,17.394,
2013-07,17.557,
2013-08,17.779,
2013-09,17.798,
2013-10,17.398,
2013-11,17.342,
2013-12,15.263,
2014-01,14.606,
2014-02,14.431,
2014-03,14.790,
2014-04,15.067,
2014-05,15.252,
2014-06,15.217,
2014-07,15.178,
2014-08,15.163,
2014-09,15.580,
2014-10,15.356,
2014-11,15.330,
2014-12,14.918,
