"",BBK01.CEHE02,BBK01.CEHE02_FLAGS
"",short-term loans debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:09,
1991-01,7.2,
1991-04,15.8,
1991-07,3.7,
1991-10,15.8,
1992-01,-2.7,
1992-04,15.8,
1992-07,-8.8,
1992-10,10.7,
1993-01,-4.4,
1993-04,0.9,
1993-07,-1.9,
1993-10,5.7,
1994-01,-6.4,
1994-04,0.2,
1994-07,-0.4,
1994-10,14.5,
1995-01,6.4,
1995-04,11.0,
1995-07,1.6,
1995-10,8.1,
1996-01,5.5,
1996-04,14.4,
1996-07,-6.1,
1996-10,28.5,
1997-01,17.7,
1997-04,-1.9,
1997-07,1.3,
1997-10,9.2,
1998-01,11.7,
1998-04,11.3,
1998-07,13.4,
1998-10,-5.2,
1999-01,27.0,
1999-04,12.0,
1999-07,-6.2,
1999-10,22.3,
2000-01,23.4,
2000-04,28.3,
2000-07,-32.4,
2000-10,-4.4,
2001-01,102.2,
2001-04,-33.3,
2001-07,-8.6,
2001-10,-33.7,
2002-01,23.0,
2002-04,-25.4,
2002-07,31.4,
2002-10,-19.7,
2003-01,33.8,
2003-04,-24.3,
2003-07,8.1,
2003-10,3.2,
2004-01,40.1,
2004-04,-59.1,
2004-07,43.7,
2004-10,-14.1,
2005-01,19.0,
2005-04,-17.9,
2005-07,23.3,
2005-10,-8.4,
2006-01,12.2,
2006-04,-6.8,
2006-07,43.9,
2006-10,-58.5,
2007-01,61.9,
2007-04,14.1,
2007-07,36.5,
2007-10,17.3,
2008-01,84.1,
2008-04,-7.5,
2008-07,14.5,
2008-10,-20.6,
2009-01,43.0,
2009-04,24.8,
2009-07,-37.4,
2009-10,-36.7,
2010-01,35.3,
2010-04,76.6,
2010-07,23.4,
2010-10,67.8,
2011-01,-3.0,
2011-04,17.9,
2011-07,142.3,
2011-10,-44.0,
2012-01,196.3,
2012-04,105.9,
2012-07,-20.2,
2012-10,-74.6,
2013-01,-47.6,
2013-04,2.4,
2013-07,-44.1,
2013-10,-75.3,
2014-01,-20.1,
