"",BBAI3.Q.DE.N.V.LE.F332B.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332B.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Securities other than shares excluding financial derivatives over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:59,
2005-10,40707,
2006-01,40954,
2006-04,40658,
2006-07,43338,
2006-10,45459,
2007-01,44909,
2007-04,45880,
2007-07,45739,
2007-10,44111,
2008-01,42365,
2008-04,40893,
2008-07,43485,
2008-10,45739,
2009-01,42972,
2009-04,42006,
2009-07,42403,
2009-10,42328,
2010-01,45081,
2010-04,47606,
2010-07,48346,
2010-10,49018,
2011-01,48330,
2011-04,47172,
2011-07,47568,
2011-10,49920,
2012-01,51761,
2012-04,53420,
2012-07,55329,
2012-10,58196,
2013-01,57608,
2013-04,55670,
2013-07,56555,
2013-10,58227,
2014-01,61041,
2014-04,63537,
2014-07,64150,
