"",BBK01.CEL420,BBK01.CEL420_FLAGS
"",Loans                                                           debtor: Domestic financial sectors     creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:57,
1999-01,3.1,
1999-04,17.9,
1999-07,-6.3,
1999-10,12.7,
2000-01,33.5,
2000-04,19.4,
2000-07,-3.6,
2000-10,46.2,
2001-01,30.6,
2001-04,2.3,
2001-07,23.0,
2001-10,-2.9,
2002-01,0.6,
2002-04,14.6,
2002-07,9.8,
2002-10,13.4,
2003-01,14.7,
2003-04,9.2,
2003-07,9.7,
2003-10,-22.5,
2004-01,-10.0,
2004-04,-4.9,
2004-07,-2.6,
2004-10,-9.8,
2005-01,4.4,
2005-04,5.5,
2005-07,21.6,
2005-10,-5.4,
2006-01,44.2,
2006-04,20.0,
2006-07,15.5,
2006-10,-17.7,
2007-01,37.3,
2007-04,22.3,
2007-07,14.1,
2007-10,-26.7,
2008-01,45.9,
2008-04,18.9,
2008-07,10.2,
2008-10,20.8,
2009-01,19.2,
2009-04,10.7,
2009-07,-10.3,
2009-10,12.3,
2010-01,-14.4,
2010-04,45.7,
2010-07,5.0,
2010-10,12.6,
2011-01,2.9,
2011-04,42.5,
2011-07,64.6,
2011-10,-30.4,
2012-01,38.4,
2012-04,45.1,
2012-07,-15.4,
2012-10,-17.0,
2013-01,32.9,
2013-04,51.9,
2013-07,-45.2,
2013-10,-19.4,
2014-01,22.3,
2014-04,8.2,
2014-07,4.9,
