"",BBK01.CEB62Q,BBK01.CEB62Q_FLAGS
"",Insurance technical reserves (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:32,
1991-01,409.8,
1991-04,411.7,
1991-07,423.9,
1991-10,428.1,
1992-01,445.3,
1992-04,454.1,
1992-07,462.0,
1992-10,467.0,
1993-01,477.6,
1993-04,492.7,
1993-07,503.1,
1993-10,513.9,
1994-01,522.8,
1994-04,543.1,
1994-07,554.0,
1994-10,562.5,
1995-01,577.6,
1995-04,589.0,
1995-07,602.3,
1995-10,613.1,
1996-01,638.1,
1996-04,649.9,
1996-07,662.1,
1996-10,671.7,
1997-01,699.1,
1997-04,711.4,
1997-07,725.7,
1997-10,731.2,
1998-01,756.3,
1998-04,772.9,
1998-07,784.6,
1998-10,794.4,
1999-01,812.9,
1999-04,826.0,
1999-07,841.3,
1999-10,859.2,
2000-01,881.4,
2000-04,894.4,
2000-07,908.8,
2000-10,922.0,
2001-01,943.8,
2001-04,956.0,
2001-07,972.6,
2001-10,979.2,
2002-01,1003.8,
2002-04,1016.0,
2002-07,1030.5,
2002-10,1020.6,
2003-01,1038.9,
2003-04,1051.3,
2003-07,1063.7,
2003-10,1080.7,
2004-01,1097.3,
2004-04,1107.2,
2004-07,1118.3,
2004-10,1138.2,
2005-01,1155.9,
2005-04,1166.7,
2005-07,1179.9,
2005-10,1220.7,
2006-01,1233.9,
2006-04,1247.6,
2006-07,1263.3,
2006-10,1282.9,
2007-01,1296.1,
2007-04,1307.2,
2007-07,1320.4,
2007-10,1349.2,
2008-01,1356.4,
2008-04,1363.7,
2008-07,1371.1,
2008-10,1377.7,
2009-01,1395.6,
2009-04,1414.6,
2009-07,1433.5,
2009-10,1453.0,
2010-01,1472.9,
2010-04,1493.8,
2010-07,1513.9,
2010-10,1536.9,
2011-01,1550.6,
2011-04,1563.9,
2011-07,1576.9,
2011-10,1592.5,
2012-01,1614.3,
2012-04,1633.6,
2012-07,1653.2,
2012-10,1678.1,
2013-01,1703.7,
2013-04,1724.4,
2013-07,1740.9,
2013-10,1760.6,
2014-01,1791.5,
