"",BBK01.CEB60I,BBK01.CEB60I_FLAGS
"",Insurance technical reserves debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:10,
1991-01,490.1,
1991-04,493.5,
1991-07,506.8,
1991-10,512.2,
1992-01,529.1,
1992-04,538.7,
1992-07,547.6,
1992-10,555.4,
1993-01,565.2,
1993-04,579.2,
1993-07,589.1,
1993-10,601.2,
1994-01,610.1,
1994-04,628.5,
1994-07,638.5,
1994-10,649.5,
1995-01,669.3,
1995-04,680.7,
1995-07,692.7,
1995-10,705.0,
1996-01,726.4,
1996-04,737.8,
1996-07,749.1,
1996-10,760.9,
1997-01,782.7,
1997-04,794.0,
1997-07,806.7,
1997-10,818.5,
1998-01,841.2,
1998-04,854.7,
1998-07,865.7,
1998-10,878.3,
1999-01,897.2,
1999-04,910.2,
1999-07,925.2,
1999-10,943.2,
2000-01,966.4,
2000-04,981.8,
2000-07,998.6,
2000-10,1013.8,
2001-01,1036.0,
2001-04,1050.0,
2001-07,1067.3,
2001-10,1072.8,
2002-01,1095.7,
2002-04,1109.3,
2002-07,1124.8,
2002-10,1118.0,
2003-01,1137.0,
2003-04,1150.0,
2003-07,1163.5,
2003-10,1174.1,
2004-01,1190.6,
2004-04,1201.9,
2004-07,1213.7,
2004-10,1231.3,
2005-01,1248.0,
2005-04,1259.5,
2005-07,1272.0,
2005-10,1301.7,
2006-01,1318.6,
2006-04,1336.0,
2006-07,1355.5,
2006-10,1373.6,
2007-01,1390.3,
2007-04,1404.9,
2007-07,1421.5,
2007-10,1449.8,
2008-01,1457.4,
2008-04,1465.3,
2008-07,1473.3,
2008-10,1481.8,
2009-01,1500.4,
2009-04,1520.3,
2009-07,1540.3,
2009-10,1561.2,
2010-01,1580.6,
2010-04,1600.9,
2010-07,1620.6,
2010-10,1642.4,
2011-01,1655.9,
2011-04,1669.0,
2011-07,1681.8,
2011-10,1696.5,
2012-01,1719.0,
2012-04,1739.1,
2012-07,1759.5,
2012-10,1785.2,
2013-01,1814.1,
2013-04,1835.0,
2013-07,1851.0,
2013-10,1870.9,
2014-01,1898.9,
