"",BBK01.CEB80I,BBK01.CEB80I_FLAGS
"",Money market shares debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:09,
1991-01,0.0,
1991-04,0.0,
1991-07,0.0,
1991-10,0.0,
1992-01,0.0,
1992-04,0.0,
1992-07,0.0,
1992-10,0.0,
1993-01,0.0,
1993-04,0.0,
1993-07,0.0,
1993-10,0.0,
1994-01,0.0,
1994-04,0.0,
1994-07,5.1,
1994-10,23.5,
1995-01,20.1,
1995-04,20.7,
1995-07,21.0,
1995-10,26.9,
1996-01,26.6,
1996-04,24.2,
1996-07,22.5,
1996-10,21.4,
1997-01,19.7,
1997-04,18.6,
1997-07,19.1,
1997-10,17.5,
1998-01,19.9,
1998-04,20.5,
1998-07,21.7,
1998-10,22.3,
1999-01,26.4,
1999-04,28.4,
1999-07,30.4,
1999-10,27.6,
2000-01,31.1,
2000-04,28.8,
2000-07,27.1,
2000-10,25.8,
2001-01,30.6,
2001-04,32.5,
2001-07,37.4,
2001-10,39.0,
2002-01,42.4,
2002-04,42.7,
2002-07,46.4,
2002-10,46.8,
2003-01,54.4,
2003-04,54.4,
2003-07,52.5,
2003-10,51.3,
2004-01,50.1,
2004-04,50.5,
2004-07,48.5,
2004-10,41.8,
2005-01,43.0,
2005-04,43.1,
2005-07,43.3,
2005-10,41.6,
2006-01,42.0,
2006-04,44.2,
2006-07,43.5,
2006-10,44.7,
2007-01,49.7,
2007-04,55.3,
2007-07,51.5,
2007-10,53.1,
2008-01,56.9,
2008-04,52.9,
2008-07,50.1,
2008-10,34.8,
2009-01,34.0,
2009-04,35.3,
2009-07,33.0,
2009-10,29.5,
2010-01,30.0,
2010-04,26.5,
2010-07,26.7,
2010-10,27.2,
2011-01,27.7,
2011-04,26.4,
2011-07,24.6,
2011-10,23.5,
2012-01,24.6,
2012-04,22.6,
2012-07,23.0,
2012-10,23.9,
2013-01,21.1,
2013-04,20.9,
2013-07,21.1,
2013-10,20.3,
2014-01,21.5,
