"",BBK01.CEFFNK,BBK01.CEFFNK_FLAGS
"",long-term loans  debtor: Rest of the world                  creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:21,
1999-01,3.8,
1999-04,4.1,
1999-07,4.0,
1999-10,4.0,
2000-01,3.7,
2000-04,4.5,
2000-07,4.6,
2000-10,7.6,
2001-01,8.1,
2001-04,8.1,
2001-07,9.4,
2001-10,10.7,
2002-01,11.9,
2002-04,12.0,
2002-07,10.6,
2002-10,13.3,
2003-01,13.2,
2003-04,13.3,
2003-07,12.9,
2003-10,13.0,
2004-01,13.4,
2004-04,13.6,
2004-07,13.6,
2004-10,13.6,
2005-01,13.9,
2005-04,12.9,
2005-07,12.3,
2005-10,9.1,
2006-01,9.5,
2006-04,9.6,
2006-07,9.6,
2006-10,9.6,
2007-01,10.7,
2007-04,11.8,
2007-07,11.2,
2007-10,10.4,
2008-01,10.8,
2008-04,11.2,
2008-07,11.3,
2008-10,11.6,
2009-01,12.4,
2009-04,13.0,
2009-07,13.3,
2009-10,13.4,
2010-01,13.9,
2010-04,13.6,
2010-07,13.7,
2010-10,14.1,
2011-01,14.1,
2011-04,14.7,
2011-07,14.7,
2011-10,14.8,
2012-01,15.6,
2012-04,17.4,
2012-07,17.6,
2012-10,17.2,
2013-01,16.6,
2013-04,17.1,
2013-07,15.9,
2013-10,19.1,
2014-01,19.9,
2014-04,20.1,
2014-07,20.6,
