"",BBFN1.M.DE.N.1.L.LU.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LU.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1976-06,.,No value available
1976-07,.,No value available
1976-08,.,No value available
1976-09,.,No value available
1976-10,.,No value available
1976-11,.,No value available
1976-12,2.886,
1977-01,.,No value available
1977-02,.,No value available
1977-03,.,No value available
1977-04,.,No value available
1977-05,.,No value available
1977-06,.,No value available
1977-07,.,No value available
1977-08,.,No value available
1977-09,.,No value available
1977-10,.,No value available
1977-11,.,No value available
1977-12,5.722,
1978-01,.,No value available
1978-02,.,No value available
1978-03,.,No value available
1978-04,.,No value available
1978-05,.,No value available
1978-06,.,No value available
1978-07,.,No value available
1978-08,.,No value available
1978-09,.,No value available
1978-10,.,No value available
1978-11,.,No value available
1978-12,6.186,
1979-01,5.855,
1979-02,5.958,
1979-03,5.898,
1979-04,5.694,
1979-05,5.387,
1979-06,5.436,
1979-07,6.075,
1979-08,6.036,
1979-09,6.288,
1979-10,6.842,
1979-11,6.381,
1979-12,4.982,
1980-01,6.615,
1980-02,7.195,
1980-03,7.984,
1980-04,7.814,
1980-05,8.135,
1980-06,8.458,
1980-07,9.213,
1980-08,10.033,
1980-09,10.161,
1980-10,10.066,
1980-11,10.604,
1980-12,8.681,
1981-01,9.920,
1981-02,9.496,
1981-03,9.713,
1981-04,10.789,
1981-05,11.029,
1981-06,10.948,
1981-07,10.997,
1981-08,11.304,
1981-09,11.297,
1981-10,11.243,
1981-11,11.233,
1981-12,10.989,
1982-01,11.369,
1982-02,11.634,
1982-03,11.798,
1982-04,12.215,
1982-05,12.190,
1982-06,12.209,
1982-07,12.526,
1982-08,12.504,
1982-09,12.949,
1982-10,12.851,
1982-11,13.134,
1982-12,11.846,
1983-01,12.527,
1983-02,12.786,
1983-03,12.556,
1983-04,12.426,
1983-05,12.378,
1983-06,12.380,
1983-07,12.536,
1983-08,12.469,
1983-09,12.464,
1983-10,12.622,
1983-11,12.485,
1983-12,11.679,
1984-01,12.022,
1984-02,12.560,
1984-03,12.541,
1984-04,12.594,
1984-05,12.585,
1984-06,12.552,
1984-07,12.692,
1984-08,13.346,
1984-09,13.266,
1984-10,13.278,
1984-11,13.480,
1984-12,12.518,
1985-01,12.233,
1985-02,12.120,
1985-03,11.718,
1985-04,11.823,
1985-05,11.744,
1985-06,12.075,
1985-07,11.701,
1985-08,12.352,
1985-09,12.353,
1985-10,12.139,
1985-11,11.709,
1985-12,11.129,
1986-01,11.356,
1986-02,11.087,
1986-03,10.467,
1986-04,9.995,
1986-05,9.642,
1986-06,9.524,
1986-07,9.155,
1986-08,9.252,
1986-09,9.009,
1986-10,9.108,
1986-11,8.732,
1986-12,7.459,
1987-01,7.774,
1987-02,8.017,
1987-03,7.529,
1987-04,7.379,
1987-05,7.199,
1987-06,6.999,
1987-07,7.011,
1987-08,7.047,
1987-09,7.028,
1987-10,7.332,
1987-11,7.430,
1987-12,6.665,
1988-01,7.133,
1988-02,7.179,
1988-03,6.877,
1988-04,6.853,
1988-05,6.884,
1988-06,7.088,
1988-07,6.928,
1988-08,6.925,
1988-09,7.051,
1988-10,7.171,
1988-11,7.101,
1988-12,6.412,
1989-01,6.499,
1989-02,6.396,
1989-03,6.685,
1989-04,6.418,
1989-05,6.336,
1989-06,6.375,
1989-07,6.502,
1989-08,6.620,
1989-09,6.515,
1989-10,6.508,
1989-11,6.827,
1989-12,6.295,
1990-01,6.552,
1990-02,6.733,
1990-03,7.221,
1990-04,7.321,
1990-05,7.474,
1990-06,7.690,
1990-07,7.685,
1990-08,7.871,
1990-09,7.844,
1990-10,8.277,
1990-11,8.823,
1990-12,7.275,
1991-01,8.076,
1991-02,9.491,
1991-03,9.286,
1991-04,9.878,
1991-05,10.228,
1991-06,10.610,
1991-07,10.781,
1991-08,11.303,
1991-09,11.449,
1991-10,10.928,
1991-11,11.011,
1991-12,10.924,
1992-01,11.940,
1992-02,11.995,
1992-03,10.906,
1992-04,10.186,
1992-05,10.283,
1992-06,11.131,
1992-07,12.458,
1992-08,12.532,
1992-09,14.062,
1992-10,13.453,
1992-11,13.736,
1992-12,13.375,
1993-01,14.527,
1993-02,15.040,
1993-03,14.215,
1993-04,15.140,
1993-05,14.782,
1993-06,14.251,
1993-07,13.243,
1993-08,13.615,
1993-09,12.797,
1993-10,12.436,
1993-11,12.417,
1993-12,12.588,
1994-01,12.575,
1994-02,12.113,
1994-03,12.026,
1994-04,11.504,
1994-05,11.772,
1994-06,11.737,
1994-07,11.708,
1994-08,11.794,
1994-09,11.884,
1994-10,12.340,
1994-11,12.072,
1994-12,11.089,
1995-01,11.775,
1995-02,11.912,
1995-03,11.844,
1995-04,11.783,
1995-05,12.445,
1995-06,12.306,
1995-07,12.121,
1995-08,12.719,
1995-09,13.171,
1995-10,13.091,
1995-11,14.071,
1995-12,13.766,
1996-01,13.454,
1996-02,14.362,
1996-03,12.854,
1996-04,12.571,
1996-05,12.331,
1996-06,11.221,
1996-07,10.941,
1996-08,11.162,
1996-09,11.741,
1996-10,11.388,
1996-11,13.073,
1996-12,13.205,
1997-01,11.015,
1997-02,11.587,
1997-03,12.979,
1997-04,11.844,
1997-05,12.369,
1997-06,13.823,
1997-07,14.102,
1997-08,15.002,
1997-09,14.619,
1997-10,14.695,
1997-11,14.474,
1997-12,13.870,
1998-01,14.904,
1998-02,14.604,
1998-03,14.965,
1998-04,15.402,
1998-05,14.052,
1998-06,11.980,
1998-07,12.095,
1998-08,11.599,
1998-09,12.058,
1998-10,11.647,
1998-11,12.231,
1998-12,11.553,
1999-01,11.328,
1999-02,11.467,
1999-03,12.430,
1999-04,11.930,
1999-05,11.153,
1999-06,13.137,
1999-07,13.920,
1999-08,16.007,
1999-09,14.959,
1999-10,16.554,
1999-11,14.255,
1999-12,21.423,
2000-01,23.345,
2000-02,23.753,
2000-03,22.975,
2000-04,19.666,
2000-05,16.697,
2000-06,15.321,
2000-07,11.875,
2000-08,12.084,
2000-09,17.906,
2000-10,17.173,
2000-11,15.377,
2000-12,16.093,
2001-01,17.418,
2001-02,13.136,
2001-03,12.770,
2001-04,13.542,
2001-05,13.407,
2001-06,14.494,
2001-07,13.765,
2001-08,13.363,
2001-09,12.683,
2001-10,12.143,
2001-11,12.639,
2001-12,12.194,
2002-01,12.589,
2002-02,12.348,
2002-03,12.136,
2002-04,12.013,
2002-05,14.855,
2002-06,15.517,
2002-07,14.438,
2002-08,14.542,
2002-09,14.444,
2002-10,13.823,
2002-11,14.443,
2002-12,12.548,
2003-01,14.303,
2003-02,12.233,
2003-03,10.218,
2003-04,9.480,
2003-05,9.318,
2003-06,8.509,
2003-07,8.643,
2003-08,9.160,
2003-09,8.729,
2003-10,8.651,
2003-11,9.324,
2003-12,8.536,
2004-01,10.842,
2004-02,10.325,
2004-03,11.639,
2004-04,11.013,
2004-05,10.785,
2004-06,9.357,
2004-07,8.051,
2004-08,7.770,
2004-09,7.342,
2004-10,6.431,
2004-11,6.607,
2004-12,6.104,
2005-01,6.630,
2005-02,5.958,
2005-03,5.935,
2005-04,5.937,
2005-05,6.391,
2005-06,6.782,
2005-07,6.100,
2005-08,6.930,
2005-09,7.017,
2005-10,7.440,
2005-11,7.565,
2005-12,6.346,
2006-01,6.401,
2006-02,6.568,
2006-03,7.024,
2006-04,7.494,
2006-05,6.992,
2006-06,7.846,
2006-07,7.772,
2006-08,10.548,
2006-09,13.372,
2006-10,12.183,
2006-11,10.646,
2006-12,7.130,
2007-01,15.418,
2007-02,14.909,
2007-03,13.935,
2007-04,13.302,
2007-05,12.200,
2007-06,11.981,
2007-07,11.680,
2007-08,11.141,
2007-09,11.131,
2007-10,6.192,
2007-11,6.569,
2007-12,7.645,
2008-01,9.462,
2008-02,9.470,
2008-03,5.855,
2008-04,6.811,
2008-05,7.608,
2008-06,7.134,
2008-07,7.165,
2008-08,6.477,
2008-09,6.417,
2008-10,7.571,
2008-11,8.223,
2008-12,8.424,
2009-01,8.618,
2009-02,9.437,
2009-03,9.719,
2009-04,9.491,
2009-05,8.962,
2009-06,7.792,
2009-07,6.904,
2009-08,6.353,
2009-09,6.573,
2009-10,6.127,
2009-11,6.260,
2009-12,5.872,
2010-01,6.071,
2010-02,6.314,
2010-03,5.721,
2010-04,5.803,
2010-05,5.793,
2010-06,5.659,
2010-07,5.798,
2010-08,5.632,
2010-09,5.316,
2010-10,5.534,
2010-11,5.239,
2010-12,5.652,
2011-01,5.832,
2011-02,5.404,
2011-03,6.730,
2011-04,7.139,
2011-05,6.546,
2011-06,9.463,
2011-07,9.651,
2011-08,10.165,
2011-09,11.470,
2011-10,7.553,
2011-11,9.791,
2011-12,13.009,
2012-01,11.582,
2012-02,9.661,
2012-03,13.297,
2012-04,13.404,
2012-05,12.714,
2012-06,12.005,
2012-07,14.651,
2012-08,13.815,
2012-09,11.981,
2012-10,15.199,
2012-11,15.965,
2012-12,15.664,
2013-01,9.784,
2013-02,13.739,
2013-03,15.911,
2013-04,16.537,
2013-05,18.280,
2013-06,17.194,
2013-07,14.987,
2013-08,19.194,
2013-09,18.397,
2013-10,18.760,
2013-11,17.853,
2013-12,18.062,
2014-01,17.110,
2014-02,17.210,
2014-03,18.765,
2014-04,17.291,
2014-05,14.546,
2014-06,11.408,
2014-07,12.382,
2014-08,11.378,
2014-09,11.857,
2014-10,12.872,
2014-11,13.452,
2014-12,21.799,
