"",BBK01.CEH00I,BBK01.CEH00I_FLAGS
"",Acquisition of financial assets debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:58,
1991-01,35.4,
1991-04,30.0,
1991-07,28.8,
1991-10,48.0,
1992-01,40.8,
1992-04,34.9,
1992-07,31.2,
1992-10,44.6,
1993-01,41.5,
1993-04,33.7,
1993-07,30.9,
1993-10,52.9,
1994-01,41.4,
1994-04,30.1,
1994-07,28.4,
1994-10,48.5,
1995-01,31.8,
1995-04,30.1,
1995-07,27.0,
1995-10,43.7,
1996-01,38.7,
1996-04,28.8,
1996-07,26.2,
1996-10,46.9,
1997-01,38.1,
1997-04,30.3,
1997-07,25.2,
1997-10,33.5,
1998-01,35.9,
1998-04,32.2,
1998-07,23.9,
1998-10,50.6,
1999-01,46.8,
1999-04,41.6,
1999-07,25.3,
1999-10,39.3,
2000-01,38.3,
2000-04,31.8,
2000-07,20.7,
2000-10,28.1,
2001-01,40.8,
2001-04,24.6,
2001-07,24.8,
2001-10,28.5,
2002-01,39.5,
2002-04,21.4,
2002-07,23.3,
2002-10,32.8,
2003-01,49.7,
2003-04,32.4,
2003-07,29.2,
2003-10,31.3,
2004-01,43.4,
2004-04,32.9,
2004-07,29.8,
2004-10,28.4,
2005-01,45.4,
2005-04,31.9,
2005-07,28.8,
2005-10,31.3,
2006-01,48.4,
2006-04,30.8,
2006-07,27.5,
2006-10,24.3,
2007-01,45.7,
2007-04,27.1,
2007-07,18.9,
2007-10,23.6,
2008-01,43.9,
2008-04,31.6,
2008-07,22.0,
2008-10,24.9,
2009-01,49.3,
2009-04,36.4,
2009-07,30.7,
2009-10,28.4,
2010-01,51.4,
2010-04,38.6,
2010-07,31.4,
2010-10,32.9,
2011-01,46.4,
2011-04,33.9,
2011-07,29.4,
2011-10,34.1,
2012-01,49.8,
2012-04,38.5,
2012-07,30.0,
2012-10,34.6,
2013-01,47.0,
2013-04,36.9,
2013-07,31.9,
2013-10,31.6,
2014-01,49.2,
