"",BBK01.BJ2933,BBK01.BJ2933_FLAGS
"","Central, state and local government - budgetary accounts (Germany as a whole) - current grants (expenditure)",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:05,
1991,152597,
1992,155844,
1993,174082,
1994,180665,
1995,187769,
1996,185172,
1997,182166,
1998,191085,
1999,202731,
2000,205685,
2001,213882,
2002,226854,
2003,235005,
2004,237263,
2005,245472,
2006,251790,
2007,256480,
2008,272837,
2009,286644,
2010,308475,
2011,301256,Provisional value
2012,285065,Provisional value
2013,286592,Provisional value
"",General: For Germany as a whole (excluding hospitals with commercial accounting practices),
