"",BBSF2.M.1.S.I1251.GEF01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.GEF01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net sales receipts / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:46,
2009-09,-292,
2009-10,-114,
2009-11,206,
2009-12,156,
2010-01,-36,
2010-02,-390,
2010-03,-18,
2010-04,248,
2010-05,264,
2010-06,37,
2010-07,52,
2010-08,415,
2010-09,239,
2010-10,157,
2010-11,370,
2010-12,52,
2011-01,-445,
2011-02,62,
2011-03,231,
2011-04,-15,
2011-05,-25,
2011-06,127,
2011-07,-14,
2011-08,196,
2011-09,140,
2011-10,4,
2011-11,-76,
2011-12,142,
2012-01,4,
2012-02,-51,
2012-03,19,
2012-04,-16,
2012-05,-44,
2012-06,144,
2012-07,80,
2012-08,27,
2012-09,17,
2012-10,260,
2012-11,204,
2012-12,265,
2013-01,40,
2013-02,125,
2013-03,0,
2013-04,53,
2013-05,301,
2013-06,472,
2013-07,33,
2013-08,12,
2013-09,366,
2013-10,-11,
2013-11,130,
2013-12,164,
2014-01,19,
2014-02,169,
2014-03,88,
2014-04,132,
2014-05,31,
2014-06,241,
2014-07,10,
2014-08,181,
2014-09,163,
2014-10,353,
2014-11,330,
