"",BBSF2.M.1.S.I1252.SON01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.SON01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Number / Other insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:53:35,
2009-09,2,
2009-10,2,
2009-11,2,
2009-12,2,
2010-01,2,
2010-02,2,
2010-03,2,
2010-04,2,
2010-05,2,
2010-06,2,
2010-07,2,
2010-08,2,
2010-09,2,
2010-10,2,
2010-11,2,
2010-12,2,
2011-01,2,
2011-02,2,
2011-03,3,
2011-04,3,
2011-05,3,
2011-06,3,
2011-07,3,
2011-08,3,
2011-09,4,
2011-10,4,
2011-11,4,
2011-12,4,
2012-01,4,
2012-02,4,
2012-03,5,
2012-04,5,
2012-05,5,
2012-06,5,
2012-07,5,
2012-08,5,
2012-09,5,
2012-10,5,
2012-11,5,
2012-12,5,
2013-01,5,
2013-02,5,
2013-03,5,
2013-04,5,
2013-05,5,
2013-06,5,
2013-07,5,
2013-08,5,
2013-09,5,
2013-10,4,
2013-11,4,
2013-12,4,
2014-01,4,
2014-02,4,
2014-03,4,
2014-04,4,
2014-05,4,
2014-06,4,
2014-07,4,
2014-08,5,
2014-09,5,
2014-10,5,
2014-11,5,
