"",BBAI3.Q.DE.N.V.LE.F61.SK.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F61.SK.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Death benefit funds / Net equity of households in life insurance and pension funds reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:34,
2005-10,1511,
2006-01,1331,
2006-04,1314,
2006-07,1307,
2006-10,1572,
2007-01,1332,
2007-04,1344,
2007-07,1351,
2007-10,1623,
2008-01,1400,
2008-04,1393,
2008-07,1417,
2008-10,1651,
2009-01,1426,
2009-04,1432,
2009-07,1454,
2009-10,1716,
2010-01,1478,
2010-04,1485,
2010-07,1501,
2010-10,1767,
2011-01,1526,
2011-04,1545,
2011-07,1546,
2011-10,1794,
2012-01,1636,
2012-04,1647,
2012-07,1652,
2012-10,1843,
2013-01,1704,
2013-04,1706,
2013-07,1714,
2013-10,1871,
2014-01,1756,
2014-04,1775,
2014-07,1781,
