"",BBK01.CEHE0X,BBK01.CEHE0X_FLAGS
"",short-term loans debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:01,
1991-01,0.2,
1991-04,-0.1,
1991-07,0.3,
1991-10,0.2,
1992-01,0.2,
1992-04,0.4,
1992-07,0.6,
1992-10,-1.3,
1993-01,1.3,
1993-04,-0.3,
1993-07,0.2,
1993-10,0.4,
1994-01,1.8,
1994-04,1.1,
1994-07,0.2,
1994-10,-0.4,
1995-01,0.8,
1995-04,-0.3,
1995-07,0.3,
1995-10,-0.1,
1996-01,2.6,
1996-04,0.8,
1996-07,2.2,
1996-10,5.9,
1997-01,8.3,
1997-04,0.6,
1997-07,-3.2,
1997-10,-1.9,
1998-01,13.8,
1998-04,-0.4,
1998-07,-4.6,
1998-10,-2.0,
1999-01,-4.7,
1999-04,15.7,
1999-07,-14.3,
1999-10,2.7,
2000-01,23.8,
2000-04,16.0,
2000-07,-16.8,
2000-10,-5.5,
2001-01,36.3,
2001-04,-2.5,
2001-07,-19.9,
2001-10,-9.3,
2002-01,-6.0,
2002-04,-10.0,
2002-07,7.6,
2002-10,-3.0,
2003-01,10.0,
2003-04,0.5,
2003-07,-3.2,
2003-10,-6.9,
2004-01,10.1,
2004-04,2.9,
2004-07,-2.7,
2004-10,-6.9,
2005-01,8.3,
2005-04,-1.0,
2005-07,12.5,
2005-10,-4.5,
2006-01,13.9,
2006-04,0.6,
2006-07,1.1,
2006-10,-10.8,
2007-01,5.4,
2007-04,10.2,
2007-07,-8.8,
2007-10,-8.1,
2008-01,6.8,
2008-04,5.8,
2008-07,-3.0,
2008-10,9.4,
2009-01,-10.1,
2009-04,4.2,
2009-07,-8.5,
2009-10,7.8,
2010-01,2.1,
2010-04,5.9,
2010-07,-1.1,
2010-10,1.7,
2011-01,7.9,
2011-04,-1.0,
2011-07,16.4,
2011-10,-16.1,
2012-01,11.9,
2012-04,-8.2,
2012-07,-5.1,
2012-10,10.1,
2013-01,-4.1,
2013-04,20.0,
2013-07,-7.1,
2013-10,-7.5,
2014-01,8.5,
