"",BBK01.CEFZ0K,BBK01.CEFZ0K_FLAGS
"","Other accounts receivable, excluding trade credits and advances  debtor: Total               creditor: Insurance corporations",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:27,
1999-01,30.0,
1999-04,30.4,
1999-07,30.9,
1999-10,33.7,
2000-01,35.8,
2000-04,36.2,
2000-07,36.7,
2000-10,34.4,
2001-01,36.0,
2001-04,36.2,
2001-07,37.6,
2001-10,36.8,
2002-01,40.3,
2002-04,40.3,
2002-07,40.8,
2002-10,39.0,
2003-01,39.2,
2003-04,39.3,
2003-07,38.9,
2003-10,43.2,
2004-01,44.1,
2004-04,43.4,
2004-07,43.4,
2004-10,42.9,
2005-01,45.5,
2005-04,46.4,
2005-07,48.6,
2005-10,66.0,
2006-01,66.1,
2006-04,65.4,
2006-07,65.1,
2006-10,58.8,
2007-01,59.4,
2007-04,58.8,
2007-07,58.4,
2007-10,54.0,
2008-01,53.4,
2008-04,54.7,
2008-07,55.7,
2008-10,52.9,
2009-01,55.6,
2009-04,52.8,
2009-07,53.5,
2009-10,51.3,
2010-01,53.6,
2010-04,52.8,
2010-07,51.9,
2010-10,53.4,
2011-01,53.9,
2011-04,54.2,
2011-07,54.2,
2011-10,50.9,
2012-01,51.7,
2012-04,50.7,
2012-07,50.8,
2012-10,50.9,
2013-01,54.1,
2013-04,52.9,
2013-07,52.6,
2013-10,49.2,
2014-01,52.1,
2014-04,51.6,
2014-07,51.6,
